"N","Time","avg(X)","avg(Y)","avg(Z)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(X)","max(Y)","max(Z)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(X)","med(Y)","med(Z)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(X)","min(Y)","min(Z)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(X)","q1(Y)","q1(Z)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(X)","q3(Y)","q3(Z)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(X)","std(Y)","std(Z)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
3216,50,0.0015,0.0015,0.05,-3.9857e-05,-3.9857e-05,1517.1,1521.5,0.003,0.003,0.1,0.061879,0.061879,18916,18916,0.0015,0.0015,0.05,-3.3111e-09,-3.3085e-09,3.1416,14.517,0,0,0,-0.049801,-0.049801,-27.83,2.9928e-05,0.0005,0.0005,0.025,-0.00014968,-0.00014968,-0.057787,0.60368,0.0025,0.0025,0.075,0.00015354,0.00015354,482.27,482.27,0.0011182,0.0011182,0.029016,0.0067697,0.0067697,3782.5,3780.7,1
3216,100,0.0015,0.0015,0.05,-5.6103e-05,-5.6103e-05,1627.2,1630.6,0.003,0.003,0.1,0.063651,0.063651,13553,13553,0.0015,0.0015,0.05,-1.6665e-09,-1.6643e-09,23.006,23.006,0,0,0,-0.049489,-0.049489,-18.845,0.00032153,0.0005,0.0005,0.025,-0.00042392,-0.00042392,-0.03563,2.0889,0.0025,0.0025,0.075,0.00037959,0.00037959,1144.6,1144.6,0.0011182,0.0011182,0.029016,0.0070923,0.0070923,3328.5,3326.8,1
3216,150,0.0015,0.0015,0.05,-1.7506e-06,-1.7506e-06,1679,1681.2,0.003,0.003,0.1,0.043869,0.043869,11096,11096,0.0015,0.0015,0.05,-2.8388e-09,-2.8425e-09,69.258,69.258,0,0,0,-0.03951,-0.03951,-12.918,0.001908,0.0005,0.0005,0.025,-0.00052961,-0.00052961,-0.0060191,3.5302,0.0025,0.0025,0.075,0.00058565,0.00058565,1758.5,1758.5,0.0011182,0.0011182,0.029016,0.0047699,0.0047699,3016.5,3015.3,1
3216,200,0.0015,0.0015,0.05,9.3993e-06,9.3993e-06,1710.5,1711.6,0.003,0.003,0.1,0.056266,0.056266,9620.2,9620.2,0.0015,0.0015,0.05,-1.0747e-07,-1.0745e-07,143.11,143.11,0,0,0,-0.070217,-0.070217,-7.3986,0.0060675,0.0005,0.0005,0.025,-0.0010104,-0.0010104,0.47295,4.4262,0.0025,0.0025,0.075,0.001022,0.001022,2297.2,2297.2,0.0011182,0.0011182,0.029016,0.012518,0.012518,2784.9,2784.2,1
3216,250,0.0015,0.0015,0.05,3.9856e-05,3.9856e-05,1731.9,1732.6,0.003,0.003,0.1,0.067979,0.067979,8610.3,8610.3,0.0015,0.0015,0.05,4.7888e-08,4.7882e-08,239.22,239.22,0,0,0,-0.067282,-0.067282,-4.5096,0.017837,0.0005,0.0005,0.025,-0.0013732,-0.0013732,3.6476,4.4819,0.0025,0.0025,0.075,0.0011294,0.0011294,2554,2554,0.0011182,0.0011182,0.029016,0.011507,0.011507,2601.8,2601.4,1
3216,300,0.0015,0.0015,0.05,-5.9514e-05,-5.9514e-05,1747.5,1747.9,0.003,0.003,0.1,0.077165,0.077165,7863.3,7863.3,0.0015,0.0015,0.05,-1.0239e-07,-1.0239e-07,349.49,349.49,0,0,0,-0.10456,-0.10456,-2.6698,0.036483,0.0005,0.0005,0.025,-0.0032953,-0.0032953,9.7149,9.7149,0.0025,0.0025,0.075,0.0029924,0.0029924,2781.8,2781.8,0.0011182,0.0011182,0.029016,0.014944,0.014944,2450.9,2450.7,1
3216,350,0.0015,0.0015,0.05,6.5112e-05,6.5112e-05,1759.1,1759.3,0.003,0.003,0.1,0.08574,0.08574,7281.9,7281.9,0.0015,0.0015,0.05,1.739e-07,1.7391e-07,465.76,465.76,0,0,0,-0.062823,-0.062823,-1.5418,0.017495,0.0005,0.0005,0.025,-0.0058109,-0.0058109,20.144,20.144,0.0025,0.0025,0.075,0.0061115,0.0061115,2943.8,2943.8,0.0011182,0.0011182,0.029016,0.015016,0.015016,2322.8,2322.7,1
3216,400,0.0015,0.0015,0.05,7.3343e-05,7.3343e-05,1767.9,1768,0.003,0.003,0.1,0.067553,0.067553,6812.9,6812.9,0.0015,0.0015,0.05,-7.9538e-09,-7.9559e-09,581.64,581.64,0,0,0,-0.051938,-0.051938,-0.82676,0.070883,0.0005,0.0005,0.025,-0.0058664,-0.0058664,31.808,31.808,0.0025,0.0025,0.075,0.0053358,0.0053358,2984.4,2984.4,0.0011182,0.0011182,0.029016,0.012935,0.012935,2211.7,2211.6,1
3216,450,0.0015,0.0015,0.05,7.3055e-05,7.3055e-05,1774.5,1774.5,0.003,0.003,0.1,0.049049,0.049049,6424.2,6424.2,0.0015,0.0015,0.05,-5.2068e-08,-5.2065e-08,705.12,705.12,0,0,0,-0.041749,-0.041749,-0.20265,0.016095,0.0005,0.0005,0.025,-0.0050994,-0.0050994,48.774,48.774,0.0025,0.0025,0.075,0.0046954,0.0046954,2980.8,2980.8,0.0011182,0.0011182,0.029016,0.010681,0.010681,2113.8,2113.8,1
3216,500,0.0015,0.0015,0.05,6.4598e-05,6.4598e-05,1779.3,1779.3,0.003,0.003,0.1,0.033947,0.033947,6095.2,6095.2,0.0015,0.0015,0.05,1.2529e-07,1.2529e-07,828.01,828.01,0,0,0,-0.034262,-0.034262,0.60915,0.60915,0.0005,0.0005,0.025,-0.0043435,-0.0043435,68.655,68.655,0.0025,0.0025,0.075,0.0041467,0.0041467,2995.9,2995.9,0.0011182,0.0011182,0.029016,0.008784,0.008784,2026.4,2026.4,1
