"N","Time","avg(X)","avg(Y)","avg(Z)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(X)","max(Y)","max(Z)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(X)","med(Y)","med(Z)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(X)","min(Y)","min(Z)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(X)","q1(Y)","q1(Z)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(X)","q3(Y)","q3(Z)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(X)","std(Y)","std(Z)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
3216,50,0.0015,0.0015,0.05,-1.7311e-05,-1.7311e-05,1202.1,1202.5,0.003,0.003,0.1,0.044738,0.044738,20880,20880,0.0015,0.0015,0.05,-3.565e-09,-3.5575e-09,0.61103,1.6677,0,0,0,-0.054969,-0.054969,-2.6893,5.5312e-05,0.0005,0.0005,0.025,-1.4986e-05,-1.4986e-05,-0.018484,0.12708,0.0025,0.0025,0.075,1.4861e-05,1.4861e-05,187.1,187.1,0.0011182,0.0011182,0.029016,0.006125,0.006125,3477.5,3477.4,1
3216,100,0.0015,0.0015,0.05,1.9387e-05,1.9387e-05,1291.8,1292.1,0.003,0.003,0.1,0.055265,0.055265,15111,15111,0.0015,0.0015,0.05,-5.2781e-10,-5.281e-10,4.0531,4.0531,0,0,0,-0.065759,-0.065759,-1.8415,0.00083617,0.0005,0.0005,0.025,-6.0541e-05,-6.0541e-05,-0.026245,0.40922,0.0025,0.0025,0.075,5.5568e-05,5.5568e-05,491.55,491.55,0.0011182,0.0011182,0.029016,0.0083496,0.0083496,3120.5,3120.3,1
3216,150,0.0015,0.0015,0.05,7.7461e-06,7.7461e-06,1336.2,1336.5,0.003,0.003,0.1,0.075819,0.075819,12385,12385,0.0015,0.0015,0.05,3.9444e-09,3.9433e-09,12.163,12.163,0,0,0,-0.095785,-0.095785,-1.4684,0.0039229,0.0005,0.0005,0.025,-0.0001848,-0.0001848,-0.011899,0.71465,0.0025,0.0025,0.075,0.00020589,0.00020589,843.58,843.58,0.0011182,0.0011182,0.029016,0.015304,0.015304,2865.5,2865.3,1
3216,200,0.0015,0.0015,0.05,8.4201e-06,8.4201e-06,1363.6,1363.8,0.003,0.003,0.1,0.043014,0.043014,10743,10743,0.0015,0.0015,0.05,4.7078e-10,4.6964e-10,30.551,30.551,0,0,0,-0.054721,-0.054721,-1.2184,0.0062235,0.0005,0.0005,0.025,-0.0002446,-0.0002446,0.098147,0.93249,0.0025,0.0025,0.075,0.00030034,0.00030034,1181.7,1181.7,0.0011182,0.0011182,0.029016,0.008662,0.008662,2673.2,2673.1,1
3216,250,0.0015,0.0015,0.05,-4.3734e-05,-4.3734e-05,1382.6,1382.8,0.003,0.003,0.1,0.082428,0.082428,9616.5,9616.5,0.0015,0.0015,0.05,-1.1653e-08,-1.1651e-08,53.815,53.815,0,0,0,-0.073621,-0.073621,-0.96831,0.0066975,0.0005,0.0005,0.025,-0.00060628,-0.00060628,0.56701,0.92565,0.0025,0.0025,0.075,0.00051563,0.00051563,1473.4,1473.4,0.0011182,0.0011182,0.029016,0.011957,0.011957,2520.5,2520.4,1
3216,300,0.0015,0.0015,0.05,-2.0917e-05,-2.0917e-05,1396.8,1396.9,0.003,0.003,0.1,0.068355,0.068355,8783.4,8783.4,0.0015,0.0015,0.05,-1.1827e-08,-1.1826e-08,90.99,90.99,0,0,0,-0.059475,-0.059475,-0.73364,0.0071358,0.0005,0.0005,0.025,-0.00098458,-0.00098458,1.6209,1.6209,0.0025,0.0025,0.075,0.00067184,0.00067184,1708.5,1708.5,0.0011182,0.0011182,0.029016,0.009964,0.009964,2394.3,2394.3,1
3216,350,0.0015,0.0015,0.05,1.9268e-06,1.9268e-06,1407.9,1407.9,0.003,0.003,0.1,0.058948,0.058948,8134.8,8134.8,0.0015,0.0015,0.05,-2.0046e-08,-2.005e-08,132.91,132.91,0,0,0,-0.1179,-0.1179,-0.5409,0.013192,0.0005,0.0005,0.025,-0.0012078,-0.0012078,3.4806,3.4806,0.0025,0.0025,0.075,0.0014075,0.0014075,1889.1,1889.1,0.0011182,0.0011182,0.029016,0.011501,0.011501,2287.2,2287.1,1
3216,400,0.0015,0.0015,0.05,-1.8054e-05,-1.8054e-05,1416.8,1416.9,0.003,0.003,0.1,0.068123,0.068123,7611.5,7611.5,0.0015,0.0015,0.05,-9.0255e-09,-9.0243e-09,180.44,180.44,0,0,0,-0.080195,-0.080195,-0.35295,0.030849,0.0005,0.0005,0.025,-0.0012909,-0.0012909,6.4153,6.4153,0.0025,0.0025,0.075,0.0017385,0.0017385,2022.6,2022.6,0.0011182,0.0011182,0.029016,0.010611,0.010611,2194.1,2194.1,1
3216,450,0.0015,0.0015,0.05,1.7131e-05,1.7131e-05,1424.3,1424.3,0.003,0.003,0.1,0.081909,0.081909,7177.8,7177.8,0.0015,0.0015,0.05,2.0423e-07,2.0425e-07,241.88,241.88,0,0,0,-0.12273,-0.12273,-0.13103,0.01713,0.0005,0.0005,0.025,-0.0019662,-0.0019662,10.845,10.845,0.0025,0.0025,0.075,0.0021489,0.0021489,2117.9,2117.9,0.0011182,0.0011182,0.029016,0.015028,0.015028,2111.9,2111.9,1
3216,500,0.0015,0.0015,0.05,1.2684e-05,1.2684e-05,1430.6,1430.6,0.003,0.003,0.1,0.072058,0.072058,6810.6,6810.6,0.0015,0.0015,0.05,7.9312e-08,7.9312e-08,289.1,289.1,0,0,0,-0.11286,-0.11286,0.19051,0.19051,0.0005,0.0005,0.025,-0.0020643,-0.0020643,16.125,16.125,0.0025,0.0025,0.075,0.0021899,0.0021899,2183.3,2183.3,0.0011182,0.0011182,0.029016,0.013758,0.013758,2038.4,2038.4,1
3216,550,0.0015,0.0015,0.05,8.4923e-06,8.4923e-06,1436,1436,0.003,0.003,0.1,0.063047,0.063047,6494.5,6494.5,0.0015,0.0015,0.05,-3.2382e-08,-3.2382e-08,357.84,357.84,0,0,0,-0.10471,-0.10471,0.67678,0.67678,0.0005,0.0005,0.025,-0.002319,-0.002319,23.597,23.597,0.0025,0.0025,0.075,0.0023981,0.0023981,2261.3,2261.3,0.0011182,0.0011182,0.029016,0.012549,0.012549,1971.9,1971.9,1
3216,600,0.0015,0.0015,0.05,4.9552e-06,4.9552e-06,1440.8,1440.8,0.003,0.003,0.1,0.055476,0.055476,6218.8,6218.8,0.0015,0.0015,0.05,8.757e-07,8.757e-07,413.36,413.36,0,0,0,-0.098161,-0.098161,1.3865,1.3865,0.0005,0.0005,0.025,-0.0025481,-0.0025481,32.257,32.257,0.0025,0.0025,0.075,0.0026882,0.0026882,2319.5,2319.5,0.0011182,0.0011182,0.029016,0.011527,0.011527,1911.1,1911.1,1
3216,650,0.0015,0.0015,0.05,1.9686e-06,1.9686e-06,1444.9,1444.9,0.003,0.003,0.1,0.049226,0.049226,5975.4,5975.4,0.0015,0.0015,0.05,3.8987e-07,3.8987e-07,468.86,468.86,0,0,0,-0.092002,-0.092002,2.382,2.382,0.0005,0.0005,0.025,-0.0027602,-0.0027602,42.196,42.196,0.0025,0.0025,0.075,0.0028876,0.0028876,2360.9,2360.9,0.0011182,0.0011182,0.029016,0.010681,0.010681,1855.2,1855.2,1
3216,700,0.0015,0.0015,0.05,-5.3803e-07,-5.3803e-07,1448.6,1448.6,0.003,0.003,0.1,0.045189,0.045189,5758.5,5758.5,0.0015,0.0015,0.05,4.7949e-08,4.7949e-08,536.52,536.52,0,0,0,-0.0863,-0.0863,3.7251,3.7251,0.0005,0.0005,0.025,-0.0029796,-0.0029796,55.155,55.155,0.0025,0.0025,0.075,0.0031463,0.0031463,2368.3,2368.3,0.0011182,0.0011182,0.029016,0.0099959,0.0099959,1803.4,1803.4,1
3216,750,0.0015,0.0015,0.05,-2.6194e-06,-2.6194e-06,1451.8,1451.8,0.003,0.003,0.1,0.042677,0.042677,5563.6,5563.6,0.0015,0.0015,0.05,5.8125e-07,5.8125e-07,574.31,574.31,0,0,0,-0.080975,-0.080975,5.4922,5.4922,0.0005,0.0005,0.025,-0.0031372,-0.0031372,66.305,66.305,0.0025,0.0025,0.075,0.0033712,0.0033712,2354.5,2354.5,0.0011182,0.0011182,0.029016,0.0094598,0.0094598,1755.2,1755.2,1
3216,800,0.0015,0.0015,0.05,-4.3239e-06,-4.3239e-06,1454.7,1454.7,0.003,0.003,0.1,0.040664,0.040664,5387.3,5387.3,0.0015,0.0015,0.05,1.2681e-07,1.2681e-07,643.53,643.53,0,0,0,-0.07584,-0.07584,7.7037,7.7037,0.0005,0.0005,0.025,-0.0032377,-0.0032377,83.826,83.826,0.0025,0.0025,0.075,0.0035767,0.0035767,2343.3,2343.3,0.0011182,0.0011182,0.029016,0.009067,0.009067,1710.1,1710.1,1
3216,850,0.0015,0.0015,0.05,-5.7188e-06,-5.7188e-06,1457.3,1457.3,0.003,0.003,0.1,0.038951,0.038951,5226.7,5226.7,0.0015,0.0015,0.05,-5.1409e-07,-5.1409e-07,682.23,682.23,0,0,0,-0.070592,-0.070592,10.449,10.449,0.0005,0.0005,0.025,-0.0032943,-0.0032943,96.19,96.19,0.0025,0.0025,0.075,0.0037835,0.0037835,2346.9,2346.9,0.0011182,0.0011182,0.029016,0.008808,0.008808,1667.7,1667.7,1
3216,900,0.0015,0.0015,0.05,-6.9188e-06,-6.9188e-06,1459.6,1459.6,0.003,0.003,0.1,0.037217,0.037217,5079.7,5079.7,0.0015,0.0015,0.05,5.4178e-07,5.4166e-07,733.75,733.75,0,0,0,-0.064829,-0.064829,13.767,13.767,0.0005,0.0005,0.025,-0.0034232,-0.0034232,115.56,115.56,0.0025,0.0025,0.075,0.0039374,0.0039374,2341.9,2341.9,0.0011182,0.0011182,0.029016,0.0086623,0.0086623,1627.7,1627.7,1
3216,950,0.0015,0.0015,0.05,-8.1194e-06,-8.1194e-06,1461.7,1461.7,0.003,0.003,0.1,0.035033,0.035033,4944.5,4944.5,0.0015,0.0015,0.05,-2.1815e-06,-2.1815e-06,778.17,778.17,0,0,0,-0.058086,-0.058086,17.654,17.654,0.0005,0.0005,0.025,-0.0034999,-0.0034999,131.55,131.55,0.0025,0.0025,0.075,0.0039653,0.0039653,2329,2329,0.0011182,0.0011182,0.029016,0.0085904,0.0085904,1589.8,1589.8,1
3216,1000,0.0015,0.0015,0.05,-9.5909e-06,-9.5909e-06,1463.6,1463.6,0.003,0.003,0.1,0.031922,0.031922,4819.4,4819.4,0.0015,0.0015,0.05,1.5393e-06,1.5393e-06,813.46,813.46,0,0,0,-0.049971,-0.049971,22.193,22.193,0.0005,0.0005,0.025,-0.0036216,-0.0036216,150.4,150.4,0.0025,0.0025,0.075,0.004047,0.004047,2308.1,2308.1,0.0011182,0.0011182,0.029016,0.0085237,0.0085237,1553.8,1553.8,1
