"N","Time","avg(X)","avg(Y)","avg(Z)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(X)","max(Y)","max(Z)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(X)","med(Y)","med(Z)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(X)","min(Y)","min(Z)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(X)","q1(Y)","q1(Z)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(X)","q3(Y)","q3(Z)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(X)","std(Y)","std(Z)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
3216,50,0.0015,0.0015,0.05,7.9445e-05,7.9445e-05,-1055.1,1055.1,0.003,0.003,0.1,0.02195,0.02195,-0.00094288,19498,0.0015,0.0015,0.05,-2.5975e-09,-2.6232e-09,-12.383,12.383,0,0,0,-0.039677,-0.039677,-19498,0.00094294,0.0005,0.0005,0.025,-8.8076e-05,-8.8076e-05,-297.13,1.3791,0.0025,0.0025,0.075,8.4769e-05,8.4769e-05,-1.3791,297.13,0.0011182,0.0011182,0.029016,0.0035543,0.0035543,2926.2,2926.2,1
3216,100,0.0015,0.0015,0.05,1.2344e-05,1.2344e-05,-1125.1,1125.1,0.003,0.003,0.1,0.038756,0.038756,-0.011358,14010,0.0015,0.0015,0.05,-1.6707e-10,-1.6621e-10,-18.571,18.571,0,0,0,-0.033446,-0.033446,-14010,0.011358,0.0005,0.0005,0.025,-0.00026336,-0.00026336,-671.44,4.7316,0.0025,0.0025,0.075,0.00026196,0.00026196,-4.7316,671.44,0.0011182,0.0011182,0.029016,0.0039274,0.0039274,2583.6,2583.6,1
3216,150,0.0015,0.0015,0.05,-2.5903e-05,-2.5903e-05,-1160.6,1160.6,0.003,0.003,0.1,0.055734,0.055734,-0.054078,11472,0.0015,0.0015,0.05,2.9942e-09,2.9938e-09,-42.219,42.219,0,0,0,-0.06069,-0.06069,-11472,0.054078,0.0005,0.0005,0.025,-0.00029637,-0.00029637,-1008.3,8.3296,0.0025,0.0025,0.075,0.0002716,0.0002716,-8.3296,1008.3,0.0011182,0.0011182,0.029016,0.0081958,0.0081958,2356.2,2356.2,1
3216,200,0.0015,0.0015,0.05,-3.3682e-06,-3.3682e-06,-1182.7,1182.7,0.003,0.003,0.1,0.060059,0.060059,-0.16681,9947.1,0.0015,0.0015,0.05,1.4003e-10,1.4003e-10,-85.084,85.084,0,0,0,-0.05949,-0.05949,-9947.1,0.16681,0.0005,0.0005,0.025,-0.0032892,-0.0032892,-1296.4,10.798,0.0025,0.0025,0.075,0.0031099,0.0031099,-10.798,1296.4,0.0011182,0.0011182,0.029016,0.01163,0.01163,2188.4,2188.4,1
3216,250,0.0015,0.0015,0.05,6.0027e-05,6.0027e-05,-1198.2,1198.2,0.003,0.003,0.1,0.044801,0.044801,-0.38683,8903.1,0.0015,0.0015,0.05,1.3553e-09,1.3553e-09,-142.04,142.04,0,0,0,-0.05546,-0.05546,-8903.1,0.38683,0.0005,0.0005,0.025,-0.00088346,-0.00088346,-1517.8,13.658,0.0025,0.0025,0.075,0.001023,0.001023,-13.658,1517.8,0.0011182,0.0011182,0.029016,0.007404,0.007404,2056.4,2056.4,1
3216,300,0.0015,0.0015,0.05,-3.7734e-06,-3.7734e-06,-1209.6,1209.6,0.003,0.003,0.1,0.039394,0.039394,-0.75049,8130.6,0.0015,0.0015,0.05,-1.1306e-08,-1.1307e-08,-203.43,203.43,0,0,0,-0.030907,-0.030907,-8130.6,0.75049,0.0005,0.0005,0.025,-0.0011753,-0.0011753,-1670.3,19.483,0.0025,0.0025,0.075,0.001244,0.001244,-19.483,1670.3,0.0011182,0.0011182,0.029016,0.0064626,0.0064626,1947.8,1947.8,1
3216,350,0.0015,0.0015,0.05,-3.2268e-06,-3.2268e-06,-1218.5,1218.5,0.003,0.003,0.1,0.028574,0.028574,-1.2739,7529.7,0.0015,0.0015,0.05,1.3868e-09,1.3868e-09,-263.98,263.98,0,0,0,-0.02273,-0.02273,-7529.7,1.2739,0.0005,0.0005,0.025,-0.0011818,-0.0011818,-1768.4,26.822,0.0025,0.0025,0.075,0.0012228,0.0012228,-26.822,1768.4,0.0011182,0.0011182,0.029016,0.0047837,0.0047837,1855.9,1855.9,1
3216,400,0.0015,0.0015,0.05,0.00014737,0.00014737,-1225.6,1225.6,0.003,0.003,0.1,0.06052,0.06052,-1.9655,7045,0.0015,0.0015,0.05,2.5574e-08,2.5549e-08,-335.21,335.21,0,0,0,-0.084729,-0.084729,-7045,1.9655,0.0005,0.0005,0.025,-0.0043417,-0.0043417,-1826.1,37.147,0.0025,0.0025,0.075,0.0048818,0.0048818,-37.147,1826.1,0.0011182,0.0011182,0.029016,0.012719,0.012719,1776.2,1776.2,1
3216,450,0.0015,0.0015,0.05,0.00014005,0.00014005,-1231.4,1231.4,0.003,0.003,0.1,0.049075,0.049075,-2.865,6643.2,0.0015,0.0015,0.05,-5.9108e-08,-5.9102e-08,-405.97,405.97,0,0,0,-0.071047,-0.071047,-6643.2,2.865,0.0005,0.0005,0.025,-0.0046579,-0.0046579,-1854.4,50.959,0.0025,0.0025,0.075,0.0052627,0.0052627,-50.959,1854.4,0.0011182,0.0011182,0.029016,0.011025,0.011025,1706,1706,1
3216,500,0.0015,0.0015,0.05,0.00012909,0.00012909,-1236.1,1236.1,0.003,0.003,0.1,0.040815,0.040815,-4.0124,6303.1,0.0015,0.0015,0.05,-4.6491e-07,-4.6491e-07,-454.42,454.42,0,0,0,-0.061321,-0.061321,-6303.1,4.0124,0.0005,0.0005,0.025,-0.0043741,-0.0043741,-1869.5,64.434,0.0025,0.0025,0.075,0.0049316,0.0049316,-64.434,1869.5,0.0011182,0.0011182,0.029016,0.0097695,0.0097695,1643.3,1643.3,1
