"N","Time","avg(qr)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(qr)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(qr)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(qr)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(qr)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(qr)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(qr)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
180,50,0,-2.9945e-10,4.3462e-10,5801.6,5801.6,0,0.12353,0.12353,13449,13449,0,-0.00036633,-0.00036577,4304.5,4304.5,0,-0.13783,-0.13783,2276.2,2276.2,0,-0.017979,-0.017979,2789.7,2789.7,0,0.017281,0.017281,8406.3,8406.3,0,0.030761,0.030761,3660.1,3660.1,1
180,100,0,-2.3377e-09,9.3181e-10,6125.1,6125.1,0,0.082635,0.082635,9848,9848,0,-0.0010921,-0.0010927,5320.7,5320.7,0,-0.074719,-0.074719,3842.3,3842.3,0,-0.023429,-0.023429,4112.8,4112.8,0,0.021138,0.021137,8257.5,8257.5,0,0.035226,0.035226,2176.5,2176.5,1
180,150,0,1.8954e-09,1.3163e-09,6231,6231,0,0.057721,0.057721,8402.5,8402.5,0,0.00029848,0.00029912,6123.9,6123.9,0,-0.053942,-0.053942,4404.2,4404.2,0,-0.015555,-0.015555,4733.7,4733.7,0,0.012659,0.012659,7679.2,7679.2,0,0.027266,0.027266,1454,1454,1
180,200,0,-3.5022e-10,-5.3777e-10,6265.3,6265.3,0,0.039942,0.039942,7660.5,7660.5,0,0.00074752,0.00074751,6346.3,6346.3,0,-0.037348,-0.037348,4686.4,4686.4,0,-0.013029,-0.013029,5274.7,5274.7,0,0.012578,0.012579,7262.9,7262.9,0,0.020061,0.020061,1025.5,1025.5,1
180,250,0,1.6076e-10,1.6355e-10,6272.9,6272.9,0,0.057483,0.057482,7221.2,7221.2,0,0.00090459,0.00090459,6383.9,6383.9,0,-0.054359,-0.054358,5027.4,5027.4,0,-0.012981,-0.012981,5598.6,5598.6,0,0.012504,0.012504,6974.6,6974.6,0,0.026472,0.026472,735.98,735.98,1
180,300,0,1.1248e-09,5.4806e-10,6271.4,6271.4,0,0.043046,0.043046,6935.8,6935.8,0,-0.00017313,-0.00017321,6368.3,6368.3,0,-0.04021,-0.04021,5335,5335,0,-0.0091896,-0.0091895,5800.4,5800.4,0,0.0092952,0.0092952,6770.9,6770.9,0,0.019193,0.019193,529.99,529.99,1
180,350,0,1.7994e-09,-1.0866e-09,6267.7,6267.7,0,0.031386,0.031386,6739.8,6739.8,0,-0.00076997,-0.00076999,6342.4,6342.4,0,-0.029113,-0.029113,5581.6,5581.6,0,-0.0062573,-0.0062573,5933.9,5933.9,0,0.005551,0.005551,6625,6625,0,0.01411,0.01411,381.13,381.13,1
180,400,0,-2.8639e-09,-2.3629e-09,6264.1,6264.1,0,0.042676,0.042676,6601.4,6601.4,0,0.00132,0.00132,6318.9,6318.9,0,-0.045359,-0.045359,5768.4,5768.4,0,-0.012554,-0.012554,6026.1,6026.1,0,0.014328,0.014328,6519.8,6519.8,0,0.021295,0.021295,273.4,273.4,1
180,450,0,1.5795e-09,-8.9688e-10,6261.3,6261.3,0,0.06759,0.06759,6502.4,6502.4,0,0.0019321,0.0019319,6300.6,6300.6,0,-0.068292,-0.068292,5905.7,5905.7,0,-0.029146,-0.029148,6091.2,6091.2,0,0.02662,0.026619,6444.1,6444.1,0,0.035956,0.035956,195.64,195.64,1
180,500,0,2.2862e-09,5.3868e-10,6259.1,6259.1,0,0.048115,0.048115,6431.5,6431.5,0,0.0013497,0.0013497,6287.1,6287.1,0,-0.049604,-0.049604,6005.2,6005.2,0,-0.021454,-0.021455,6137.7,6137.7,0,0.019754,0.019754,6389.7,6389.7,0,0.025843,0.025843,139.7,139.7,1
180,550,0,7.3741e-10,-6.8897e-10,6257.6,6257.6,0,0.034442,0.034442,6380.6,6380.6,0,0.00094976,0.00094975,6277.4,6277.4,0,-0.035549,-0.035549,6076.6,6076.6,0,-0.015396,-0.015397,6171,6171,0,0.014184,0.014184,6350.7,6350.7,0,0.018507,0.018507,99.598,99.598,1
180,600,0,1.0573e-09,-5.5875e-11,6256.5,6256.5,0,0.024605,0.024605,6344.1,6344.1,0,0.00068155,0.00068154,6270.5,6270.5,0,-0.025394,-0.025394,6127.7,6127.7,0,-0.010999,-0.010999,6194.8,6194.8,0,0.010133,0.010133,6322.8,6322.8,0,0.01322,0.01322,70.921,70.921,1
180,650,0,1.473e-09,-2.7499e-09,6255.7,6255.7,0,0.098755,0.098755,6318.1,6318.1,0,-0.00053643,-0.0005362,6265.6,6265.6,0,-0.094294,-0.094294,6164.1,6164.1,0,-0.044101,-0.044101,6211.8,6211.8,0,0.045152,0.045151,6302.9,6302.9,0,0.054423,0.054423,50.464,50.464,1
180,700,0,5.0172e-10,-1.5373e-09,6255.1,6255.1,0,0.065438,0.065438,6299.5,6299.5,0,-0.0010588,-0.0010588,6262.2,6262.2,0,-0.062584,-0.062584,6190.1,6190.1,0,-0.024142,-0.024142,6223.9,6223.9,0,0.025429,0.025429,6288.6,6288.6,0,0.031592,0.031592,35.88,35.88,1
180,750,0,3.0126e-09,1.5797e-09,6254.7,6254.7,0,0.064815,0.064815,6286.4,6286.4,0,-0.00031987,-0.00031982,6259.7,6259.7,0,-0.067312,-0.067312,6208.5,6208.5,0,-0.01078,-0.01078,6232.5,6232.5,0,0.013545,0.013545,6278.6,6278.6,0,0.030702,0.030702,25.525,25.525,1
180,800,0,-3.7852e-09,-1.3094e-09,6254.4,6254.4,0,0.09962,0.09962,6277.1,6277.1,0,-0.00062955,-0.00062631,6257.9,6257.9,0,-0.10175,-0.10175,6221.5,6221.5,0,-0.023719,-0.023721,6238.5,6238.5,0,0.025863,0.025861,6271.5,6271.5,0,0.041483,0.041483,18.225,18.225,1
180,850,0,-2.0098e-10,2.0259e-09,6254.3,6254.3,0,0.063069,0.063071,6270.5,6270.5,0,-4.9967e-05,-4.4754e-05,6256.7,6256.7,0,-0.072493,-0.072493,6230.7,6230.7,0,-0.018076,-0.01807,6242.9,6242.9,0,0.01791,0.017908,6266.4,6266.4,0,0.028099,0.028099,13.033,13.033,1
180,900,0,4.0908e-09,3.4312e-09,6254.1,6254.1,0,0.16013,0.16013,6265.8,6265.8,0,-0.00063377,-0.00063406,6255.9,6255.9,0,-0.16592,-0.16592,6237.2,6237.2,0,-0.023357,-0.023357,6245.9,6245.9,0,0.021249,0.021249,6262.9,6262.9,0,0.048943,0.048944,9.3839,9.3839,1
180,950,0,2.5792e-09,-4.5628e-10,6254,6254,0,0.20878,0.20878,6262.6,6262.6,0,0.00070589,0.00070596,6255.3,6255.3,0,-0.20839,-0.20839,6241.7,6241.7,0,-0.037306,-0.037305,6248,6248,0,0.037482,0.037483,6260.5,6260.5,0,0.059258,0.059255,6.8623,6.8623,1
180,1000,0,7.4172e-10,-2.3698e-09,6254,6254,0,0.088351,0.088351,6260.5,6260.5,0,0.00010562,0.0001018,6254.9,6254.9,0,-0.088666,-0.08867,6244.8,6244.8,0,-0.015191,-0.015187,6249.4,6249.4,0,0.014519,0.014522,6258.8,6258.8,0,0.034911,0.034912,5.1491,5.1491,1
180,1050,0,1.8486e-09,-4.98e-11,6253.9,6253.9,0,0.042477,0.042477,6258.9,6258.9,0,0.00049251,0.00049285,6254.6,6254.6,0,-0.042932,-0.042933,6247.1,6247.1,0,-0.0098181,-0.009818,6250.5,6250.5,0,0.011274,0.011273,6257.5,6257.5,0,0.015652,0.015651,3.8469,3.8469,1
180,1100,0,1.3905e-10,2.6019e-09,6253.9,6253.9,0,0.087495,0.087495,6257.8,6257.8,0,0.0032716,0.0032749,6254.3,6254.3,0,-0.080748,-0.080748,6248.6,6248.6,0,-0.023978,-0.02397,6251.2,6251.2,0,0.024629,0.024632,6256.7,6256.7,0,0.033466,0.033466,3.0118,3.0118,1
180,1150,0,2.4656e-09,-1.9606e-09,6253.8,6253.8,0,0.093541,0.093541,6257,6257,0,-0.0011682,-0.0011663,6254.1,6254.1,0,-0.10245,-0.10245,6249.7,6249.7,0,-0.029246,-0.029246,6251.6,6251.6,0,0.034118,0.034115,6256.2,6256.2,0,0.043464,0.043464,2.4309,2.4309,1
180,1200,0,8.4492e-10,-9.905e-10,6253.8,6253.8,0,0.064263,0.064263,6256.6,6256.6,0,0.00030671,0.00030671,6254.1,6254.1,0,-0.066631,-0.066631,6250.4,6250.4,0,-0.0093423,-0.0093449,6251.9,6251.9,0,0.011931,0.011927,6255.8,6255.8,0,0.022183,0.022182,2.0633,2.0633,1
180,1250,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,1300,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,1350,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,1400,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,1450,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,1500,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,1550,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,1600,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,1650,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,1700,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,1750,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,1800,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,1850,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,1900,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,1950,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,2000,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,2050,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,2100,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,2150,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,2200,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
180,2250,0,3.1597e-09,-1.8347e-09,6253.8,6253.8,0,0.04806,0.04806,6256.4,6256.4,0,-0.00013255,-0.00013582,6254,6254,0,-0.049357,-0.049356,6250.8,6250.8,0,-0.012197,-0.012197,6252,6252,0,0.014434,0.014426,6255.6,6255.6,0,0.020111,0.020109,1.8746,1.8746,1
