%"N","Time","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
180,50,0.0010099,0.0010099,5173.6,5173.6,30.298,30.298,18956,18956,0.0019873,0.0019873,3106.7,3106.7,-30.334,-30.334,884.14,884.14,-0.019113,-0.019113,1360.2,1360.2,0.011114,0.011114,6990.3,6990.3,5.0524,5.0524,5106.7,5106.7,1
180,100,-0.023881,-0.023881,5661.4,5661.4,19.297,19.297,14340,14340,-0.027994,-0.027994,4215,4215,-19.162,-19.162,1914.3,1914.3,-0.068911,-0.068911,2497.1,2497.1,-0.004489,-0.004489,7845.8,7845.8,3.3401,3.3401,3901.2,3901.2,1
180,150,-0.0073229,-0.0073229,5896,5896,15.2,15.2,11928,11928,-0.010876,-0.010876,4727.4,4727.4,-15.148,-15.148,2843.4,2843.4,-0.025365,-0.025365,3341.9,3341.9,0.00065301,0.00065301,8333.5,8333.5,2.6889,2.6889,3023.4,3023.4,1
180,200,0.038531,0.038531,6032.1,6032.1,13.005,13.005,10481,10481,0.061024,0.061024,4961.4,4961.4,-13.137,-13.137,3552.9,3552.9,-0.026655,-0.026655,3936,3936,0.13712,0.13712,8253.1,8253.1,2.3447,2.3447,2402.9,2402.9,1
180,250,0.033697,0.033697,6117.5,6117.5,11.685,11.685,9527.8,9527.8,0.053861,0.053861,5353,5353,-11.782,-11.782,4046.4,4046.4,-0.019772,-0.019772,4330.3,4330.3,0.10874,0.10874,8030.5,8030.5,2.1218,2.1218,1958.7,1958.7,1
180,300,0.026147,0.026147,6172.8,6172.8,10.79,10.79,8861.8,8861.8,0.042992,0.042992,5772,5772,-10.859,-10.859,4368.5,4368.5,-0.010663,-0.010663,4580.4,4580.4,0.080303,0.080303,7796.8,7796.8,1.9734,1.9734,1631.8,1631.8,1
180,350,0.014859,0.014859,6208.7,6208.7,10.14,10.14,8377.2,8377.2,0.020222,0.020222,6030.5,6030.5,-10.198,-10.198,4567.9,4567.9,-0.041082,-0.041082,4753.6,4753.6,0.080218,0.080218,7586.3,7586.3,1.8687,1.8687,1382.7,1382.7,1
180,400,0.0068428,0.0068428,6231.8,6231.8,9.6786,9.6786,8013.2,8013.2,0.007073,0.007073,6185.7,6185.7,-9.7062,-9.7062,4686.8,4686.8,-0.036242,-0.036242,5013.4,5013.4,0.0593,0.0593,7404.7,7404.7,1.8018,1.8018,1185.8,1185.8,1
180,450,0.00063134,0.00063134,6246.2,6246.2,9.3238,9.3238,7732.2,7732.2,0.0038507,0.0038507,6275.9,6275.9,-9.3308,-9.3308,4799.8,4799.8,-0.030896,-0.030896,5222.3,5222.3,0.038023,0.038023,7249.8,7249.8,1.7561,1.7561,1025.5,1025.5,1
180,500,-0.040856,-0.040856,6254.8,6254.8,9.0877,9.0877,7510.2,7510.2,-0.049275,-0.049275,6325.5,6325.5,-8.9837,-8.9837,4908.8,4908.8,-0.14915,-0.14915,5389.6,5389.6,0.03811,0.03811,7117.5,7117.5,1.73,1.73,891.55,891.55,1
180,550,-0.039702,-0.039702,6259.6,6259.6,8.8503,8.8503,7331.1,7331.1,-0.048808,-0.048808,6350,6350,-8.7618,-8.7618,5027,5027,-0.14229,-0.14229,5523.7,5523.7,0.036096,0.036096,7004.2,7004.2,1.7084,1.7084,777.71,777.71,1
180,600,-0.035061,-0.035061,6261.7,6261.7,8.6557,8.6557,7184.1,7184.1,-0.040441,-0.040441,6359.1,6359.1,-8.5821,-8.5821,5146.9,5146.9,-0.12812,-0.12812,5632.1,5632.1,0.033948,0.033948,6906.6,6906.6,1.6947,1.6947,679.74,679.74,1
180,650,-0.030483,-0.030483,6262.3,6262.3,8.4949,8.4949,7061.6,7061.6,-0.036184,-0.036184,6359,6359,-8.433,-8.433,5263.4,5263.4,-0.11085,-0.11085,5720.6,5720.6,0.031195,0.031195,6822.2,6822.2,1.6867,1.6867,594.74,594.74,1
180,700,-0.026484,-0.026484,6261.8,6261.8,8.3602,8.3602,6958.4,6958.4,-0.030939,-0.030939,6353.6,6353.6,-8.3076,-8.3076,5373.7,5373.7,-0.096447,-0.096447,5793.7,5793.7,0.029516,0.029516,6748.9,6748.9,1.6825,1.6825,520.63,520.63,1
180,750,-0.023055,-0.023055,6260.8,6260.8,8.2461,8.2461,6870.4,6870.4,-0.026102,-0.026102,6345.5,6345.5,-8.201,-8.201,5476,5476,-0.086577,-0.086577,5854.8,5854.8,0.027746,0.027746,6685.1,6685.1,1.6808,1.6808,455.8,455.8,1
180,800,-0.020112,-0.020112,6259.5,6259.5,8.1485,8.1485,6794.9,6794.9,-0.022224,-0.022224,6336.1,6336.1,-8.1096,-8.1096,5569.4,5569.4,-0.075687,-0.075687,5906.3,5906.3,0.025578,0.025578,6629.3,6629.3,1.6808,1.6808,399.01,399.01,1
180,850,-0.017572,-0.017572,6258,6258,8.0645,8.0645,6729.7,6729.7,-0.019106,-0.019106,6326.4,6326.4,-8.0308,-8.0308,5653.8,5653.8,-0.065641,-0.065641,5950.1,5950.1,0.023251,0.023251,6580.6,6580.6,1.6818,1.6818,349.2,349.2,1
180,900,-0.01537,-0.01537,6256.6,6256.6,7.9919,7.9919,6673.2,6673.2,-0.016501,-0.016501,6317,6317,-7.9625,-7.9625,5729.5,5729.5,-0.057506,-0.057506,5987.7,5987.7,0.021037,0.021037,6537.9,6537.9,1.6834,1.6834,305.51,305.51,1
180,950,-0.013452,-0.013452,6255.2,6255.2,7.9287,7.9287,6624,6624,-0.013851,-0.013851,6308.2,6308.2,-7.9032,-7.9032,5796.9,5796.9,-0.050554,-0.050554,6020.1,6020.1,0.018912,0.018912,6500.6,6500.6,1.6853,1.6853,267.2,267.2,1
180,1000,-0.011777,-0.011777,6253.9,6253.9,7.8738,7.8738,6581.1,6581.1,-0.011483,-0.011483,6300.1,6300.1,-7.8514,-7.8514,5856.6,5856.7,-0.04671,-0.04671,6048.2,6048.2,0.016647,0.016647,6467.8,6467.8,1.6873,1.6873,233.6,233.6,1
180,1050,-0.010312,-0.010312,6252.8,6252.8,7.8258,7.8258,6543.7,6543.7,-0.010009,-0.010009,6292.8,6292.8,-7.8063,-7.8063,5905.6,5905.6,-0.041306,-0.041306,6072.6,6072.6,0.014657,0.014657,6439.2,6439.2,1.6892,1.6892,204.16,204.16,1
180,1100,-0.009028,-0.009028,6251.7,6251.7,7.7839,7.7839,6511,6511,-0.0089738,-0.0089738,6286.2,6286.2,-7.7668,-7.7668,5947.1,5947.1,-0.036144,-0.036144,6093.9,6093.9,0.012914,0.012914,6414.1,6414.1,1.6912,1.6912,178.38,178.38,1
180,1150,-0.0079022,-0.0079022,6250.8,6250.8,7.7473,7.7473,6482.4,6482.4,-0.0081077,-0.0081077,6280.4,6280.4,-7.7323,-7.7323,5983.6,5983.6,-0.031626,-0.031626,6112.4,6112.4,0.012486,0.012486,6392.1,6392.1,1.6929,1.6929,155.81,155.81,1
180,1200,-0.0069148,-0.0069148,6250,6250,7.7153,7.7153,6457.3,6457.3,-0.0070535,-0.0070535,6275.3,6275.3,-7.7022,-7.7022,6015.5,6015.5,-0.027982,-0.027982,6128.6,6128.6,0.010989,0.010989,6372.9,6372.9,1.6946,1.6946,136.08,136.08,1
180,1250,-0.0060492,-0.0060492,6249.3,6249.3,7.6872,7.6872,6435.5,6435.5,-0.0062695,-0.0062695,6270.8,6270.8,-7.6758,-7.6758,6043.5,6043.5,-0.024861,-0.024861,6142.7,6142.7,0.01033,0.01033,6356,6356,1.6961,1.6961,118.82,118.82,1
180,1300,-0.0052901,-0.0052901,6248.6,6248.6,7.6627,7.6627,6416.3,6416.3,-0.0057431,-0.0057431,6266.9,6266.9,-7.6528,-7.6528,6067.9,6067.9,-0.021601,-0.021601,6155.1,6155.1,0.0092723,0.0092723,6341.3,6341.3,1.6974,1.6974,103.76,103.76,1
