"N","Time","avg(X)","avg(Y)","avg(Z)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(X)","max(Y)","max(Z)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(X)","med(Y)","med(Z)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(X)","min(Y)","min(Z)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(X)","q1(Y)","q1(Z)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(X)","q3(Y)","q3(Z)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(X)","std(Y)","std(Z)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
336,50,0.0015,0.0015,0.01,26.856,17.767,5843,6524.1,0.003,0.003,0.02,3023.2,4252,50375,50475,0.0015,0.0015,0.01,0.74995,0,314.62,1272.1,0,0,0,-4310.6,-2125.1,-2828.8,3.7134,0.0005,0.0005,0.005,-0.54031,-1.7722,-206.18,294.34,0.0025,0.0025,0.015,27.649,23.772,5581.8,5587,0.0011197,0.0011197,0.0060643,424.64,506.66,11640,11290,1
336,100,0.0015,0.0015,0.01,21.321,16.728,6321.1,6998.2,0.003,0.003,0.02,2811.5,4217.4,41918,42022,0.0015,0.0015,0.01,0.71687,0,618.02,1676.6,0,0,0,-3838.2,-1823.2,-2717.2,14.199,0.0005,0.0005,0.005,-1.6218,-6.4807,-219.12,377.99,0.0025,0.0025,0.015,39.502,23.067,9350.9,9356.6,0.0011197,0.0011197,0.0060643,395.4,462.39,10680,10266,1
336,150,0.0015,0.0015,0.01,24.772,6.1782,6571.2,7240.4,0.003,0.003,0.02,2388,3573.3,35033,35123,0.0015,0.0015,0.01,2.226,0,1095.3,1987.8,0,0,0,-3248.2,-1578.8,-2605.2,23.508,0.0005,0.0005,0.005,-2.8312,-13.888,-222.54,548.12,0.0025,0.0025,0.015,47.965,21.006,12959,12961,0.0011197,0.0011197,0.0060643,349.06,402.35,9765.5,9294.1,1
336,200,0.0015,0.0015,0.01,23.413,2.6406,6708.5,7365.2,0.003,0.003,0.02,2083.5,3124.3,30504,30583,0.0015,0.0015,0.01,0.090376,0,1775.7,2274,0,0,0,-2840.2,-1393.5,-2487.1,14.085,0.0005,0.0005,0.005,-5.1762,-22.954,-210.37,712.21,0.0025,0.0025,0.015,60.034,21.665,15114,15128,0.0011197,0.0011197,0.0060643,317.33,359.66,9001.4,8484.5,1
336,250,0.0015,0.0015,0.01,18.393,-2.1213,6793.5,7434.1,0.003,0.003,0.02,1866,2809.1,27355,27427,0.0015,0.0015,0.01,0,0,2679.2,2681.3,0,0,0,-2556.1,-1256.8,-2366.4,53.946,0.0005,0.0005,0.005,-9.5756,-33.641,-177.35,881.07,0.0025,0.0025,0.015,60.598,24.122,15588,15593,0.0011197,0.0011197,0.0060643,296.77,328.3,8361.7,7808.6,1
336,300,0.0015,0.0015,0.01,15.968,-6.7789,6850.1,7465.9,0.003,0.003,0.02,1704.4,2572.6,25013,25078,0.0015,0.0015,0.01,0,0,3788.2,3791.1,0,0,0,-2342.7,-1153.2,-2244.5,18.317,0.0005,0.0005,0.005,-11.58,-39.169,-105.36,1122.5,0.0025,0.0025,0.015,71.751,29.467,15121,15132,0.0011197,0.0011197,0.0060643,279.6,304.13,7809.8,7233.4,1
336,350,0.0015,0.0015,0.01,15.172,-9.495,6888.1,7470.7,0.003,0.003,0.02,1578.8,2386.3,23176,23237,0.0015,0.0015,0.01,0,0,5011.7,5014.3,0,0,0,-2173.6,-1070.8,-2120.8,9.213,0.0005,0.0005,0.005,-12.155,-41.758,-4.4118,1225,0.0025,0.0025,0.015,77.905,30.799,14302,14304,0.0011197,0.0011197,0.0060643,264.65,284.79,7320.6,6734.5,1
336,400,0.0015,0.0015,0.01,14.475,-10.068,6913.9,7459.6,0.003,0.003,0.02,1476.8,2234.1,21681,21738,0.0015,0.0015,0.01,0,0,6184,6185.8,0,0,0,-2035.2,-1003.1,-1993.1,130.79,0.0005,0.0005,0.005,-15.452,-44.842,149.23,1416.9,0.0025,0.0025,0.015,79.39,33.679,13684,13686,0.0011197,0.0011197,0.0060643,252.44,268.82,6879.5,6292.6,1
336,450,0.0015,0.0015,0.01,13.359,-9.6352,6932.1,7429.2,0.003,0.003,0.02,1391.6,2106.7,20432,20486,0.0015,0.0015,0.01,0,0,7151.6,7156.1,0,0,0,-1919.1,-946.49,-1857.6,50.605,0.0005,0.0005,0.005,-15.376,-49.788,378.68,1427.2,0.0025,0.0025,0.015,73.086,36.181,13023,13026,0.0011197,0.0011197,0.0060643,242.37,255.39,6475.5,5907.2,1
336,500,0.0015,0.0015,0.01,11.741,-9.2053,6945.5,7384.3,0.003,0.003,0.02,1319.1,1997.9,19368,19419,0.0015,0.0015,0.01,0,0,7869,7872.5,0,0,0,-1820,-898.23,-1708.6,5.013,0.0005,0.0005,0.005,-15.145,-52.372,673.3,1478.2,0.0025,0.0025,0.015,70.741,36.177,12527,12532,0.0011197,0.0011197,0.0060643,233.56,243.98,6099,5568.3,1
