"N","Time","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
180,50,5.1635,8.0944,5056,5635.6,1861.7,3746.3,53627,53633,1.302,0.90112,311.63,930.83,-1577.5,-4339.2,-3254.3,5.7398,-19.823,-15.48,-164.56,207.72,22.564,34.443,4716.6,4724.2,377.7,546.94,10519,10240,1
180,100,6.5086,10.454,5817.6,6399.1,1595.3,2925.6,46007,46011,1.5351,0.66085,616.43,1425.4,-1487,-3086.3,-3179,13.187,-30.714,-25.026,-176.92,297.38,35.471,38.621,7896.5,7905.4,337.67,488.59,10295,9960.2,1
180,150,5.1818,11.618,6222.3,6805,1159.6,2384.6,38679,38682,0.70016,1.3119,1095.6,1843.4,-1215,-2304.8,-3093,8.0617,-36.701,-26.649,-181.47,450.42,42.788,45.021,10899,10938,303.92,434.15,9691.9,9305,1
180,200,3.0192,12.446,6455.4,7037.1,967.7,2064.3,33720,33724,1.9036,0.49893,1782.4,2118.5,-1070,-1932.1,-2997.3,30.933,-59.292,-34.332,-173.02,596.81,63.629,50.952,12210,12243,289.1,405.56,9088.6,8657.9,1
180,250,2.0714,12.96,6604.5,7178.5,884.01,1844.5,30258,30261,2.8096,2.7514,2700.5,2862.7,-963.95,-1703.5,-2892.8,33.547,-69.657,-42.942,-145.19,759.61,72.701,49.647,12684,12691,278.86,380.06,8545.3,8080.1,1
180,300,2.4741,12.944,6706.5,7266.2,892.36,1683.3,27680,27683,2.3114,3.679,3840.5,3841.5,-899.7,-1543.1,-2779.9,12.058,-70.876,-52.047,-91.22,881.93,86.354,67.021,13102,13124,270.31,358.68,8055,7564.4,1
180,350,3.2577,12.554,6777.8,7317.9,871.91,1558.1,25665,25668,5.6994,4.094,5091.5,5099.1,-878.3,-1421.7,-2658.1,94.184,-74.448,-68.888,-8.3298,1026.5,84.862,71.342,12801,12826,264.9,341.22,7605.2,7097.1,1
180,400,3.8941,12.008,6828.3,7338.4,842.77,1457.2,24502,24513,6.2505,5.0257,6262.8,6265.3,-848.54,-1325.3,-2525.6,26.444,-84.975,-76.776,117.35,1233.6,91.687,74.651,12306,12331,261.05,326.43,7189.2,6677.8,1
180,450,4.3467,11.512,6865.2,7334.5,812.18,1373.3,23754,23763,3.1615,5.2306,7055.3,7062,-817.49,-1246,-2378.6,8.3917,-103.2,-77.27,282.65,1327.3,105.79,77.896,11965,11971,257.22,313.53,6802.5,6303.8,1
180,500,4.7203,11.137,6893.3,7319.2,782.57,1302.1,22974,22983,2.6792,6.664,7570.2,7631.6,-787.51,-1179.2,-2211.9,97.127,-108.13,-80.573,523.04,1344.7,114.54,88.719,11497,11507,252.86,302.04,6439.7,5961.4,1
180,550,5.0788,10.878,6915.5,7286.2,754.65,1240.5,22213,22221,1.9666,6.5708,7820,7827,-759.28,-1121.8,-2018.2,85.067,-106.95,-79.131,889.77,1389.4,116.86,96.154,11177,11184,247.84,291.64,6095.6,5657.6,1
180,600,5.3896,10.707,6933.1,7238,728.53,1186.4,21485,21493,5.7172,10.489,7917.3,7922.8,-732.91,-1071.7,-1788.4,46.682,-97.744,-79.912,1341.6,1522,114.53,97.076,11011,11019,242.37,282.11,5765.3,5388.1,1
180,650,5.5797,10.593,6946.3,7183,704.12,1138.2,20796,20803,6.4296,7.7551,7803.4,7812,-708.29,-1027.2,-1511.8,184.75,-100.72,-81.093,1808,1812.5,113.8,101.84,10742,10747,236.83,273.25,5444.8,5139.5,1
180,700,5.6186,10.509,6955,7116.8,681.28,1094.8,20144,20151,11.511,4.0991,7777.4,7784.7,-685.26,-987.32,-1176.9,22.211,-109.79,-82.77,2247.3,2252.4,113.9,103.24,10583,10589,231.48,264.96,5130.5,4915,1
180,750,5.5339,10.429,6958.9,7053.2,659.82,1055.2,19527,19533,8.2852,1.7797,7678.5,7683,-663.64,-951.08,-772.94,125.44,-108.03,-84.986,2670.1,2675.8,119.53,106.17,10325,10331,226.45,257.16,4819.9,4692.7,1
180,800,5.3716,10.331,6958.1,6991.8,639.59,1018.9,18942,18948,0.82258,1.8262,7665.6,7669.5,-643.25,-917.85,-292.46,48.982,-110.8,-83.873,3048.4,3054.4,122.8,103.56,10104,10105,221.76,249.84,4512.2,4472.1,1
180,850,5.1649,10.207,6952.8,6959.9,620.41,985.16,18384,18390,-0.37269,2.8671,7562.5,7577.8,-623.94,-887.12,40.036,48.398,-110.32,-86.664,3458.9,3461,124.46,105.8,9871.2,9872.2,217.42,242.99,4208.8,4209.5,1
180,900,4.9306,10.06,6943.5,6950.1,602.19,953.7,17853,17859,-1.8352,2.9904,7369.2,7391.7,-605.6,-858.49,334.18,341.43,-108.07,-85.067,3780.2,3793,123.25,104.15,9688.2,9708.6,213.42,236.68,3913.2,3914.4,1
180,950,4.6787,9.8952,6930.9,6937.4,584.88,924.15,17347,17353,1.5445,0.94486,7209.5,7223,-588.17,-831.65,657.76,666.57,-111.18,-92.843,4002.9,4013.1,120.02,112.38,9521.4,9521.9,209.8,230.95,3629.8,3630.8,1
180,1000,4.4178,9.72,6916,6922.4,568.48,896.32,16867,16873,-1.8586,1.9739,7156.1,7161.5,-571.66,-806.39,1001.3,1012,-113.68,-95.298,4163,4173.9,120.57,109.66,9274.1,9276.3,206.56,225.87,3363.1,3363.8,1
180,1050,4.1571,9.5393,6899.7,6906,553.02,870.11,16415,16420,-3.1537,0.05286,7083.9,7096.4,-556.1,-782.59,1353.1,1365.8,-111.79,-96.82,4333,4343.2,120.19,114.96,9012.3,9014.5,203.76,221.48,3116.8,3117.3,1
180,1100,3.9043,9.3578,6882.9,6889.2,538.54,845.46,15991,15997,-0.40011,-0.09215,6956.9,6968.1,-541.52,-760.2,1656.5,1661.1,-110.29,-97.602,4638.8,4640.5,123.26,119.1,8775.3,8779.7,201.42,217.77,2893.6,2893.8,1
180,1150,3.6655,9.178,6866.4,6872.7,525.09,822.3,15598,15604,-3.7605,-0.67077,6814.9,6832.7,-527.98,-739.13,1919.5,1926.3,-115.63,-98.651,4796,4806.3,123.91,126.8,8658.5,8662.8,199.54,214.71,2695,2694.8,1
180,1200,3.4444,9.0094,6850.8,6857.1,512.7,800.82,15237,15242,-0.92557,-1.2375,6753.7,6772.1,-515.5,-719.58,2160.7,2169.9,-115.03,-98.309,4980.3,4984.8,122.02,126.22,8517.2,8531.4,198.1,212.25,2521.3,2520.8,1
180,1250,3.2437,8.8529,6836.7,6843,501.38,780.96,14907,14912,-3.4711,-1.8405,6634.7,6645.2,-504.11,-701.47,2378.4,2390.2,-117.76,-97.188,5038.8,5049.4,118.73,125.76,8361.2,8368.5,197.05,210.29,2371.9,2371.2,1
180,1300,3.0642,8.7107,6824,6830.3,491.13,762.73,14609,14614,-4.9168,-0.32967,6618.5,6626.6,-493.78,-684.81,2572.7,2587,-117.36,-97.131,5069,5069.4,120.19,129.08,8203.6,8203.9,196.32,208.76,2245.6,2244.6,1
180,1350,2.9044,8.5861,6813,6819.3,481.9,746.2,14341,14346,-8.3723,2.3681,6617.8,6622,-484.48,-669.67,2744.6,2761.2,-115.15,-96.258,5132.3,5133.3,120.49,130.28,8074.5,8078.4,195.85,207.59,2140.4,2139.2,1
180,1400,2.7659,8.4732,6803.5,6809.8,479.61,731.19,14103,14107,-8.239,3.3129,6574.8,6581.7,-476.2,-655.92,2895.6,2914.3,-114.06,-95.97,5226.8,5231.7,120.57,130.32,7955.2,7959.6,195.58,206.68,2054.1,2052.7,1
180,1450,2.649,8.3746,6795.3,6801.7,489.77,717.63,13892,13896,-7.6581,3.627,6556,6558.6,-481.12,-643.47,3027.6,3048.1,-113.15,-95.462,5222.3,5230,120.55,130.22,7900.8,7904,195.45,205.99,1984.2,1982.6,1
180,1500,2.5452,8.2883,6788.4,6794.8,498.84,705.61,13706,13710,-7.1819,3.9023,6538,6542.2,-488.9,-632.42,3142.3,3164.5,-112.42,-95.959,5208.1,5215.1,120.98,130.55,7830.7,7835.5,195.43,205.46,1928.1,1926.4,1
180,1550,2.456,8.2135,6782.6,6789,506.85,694.97,13543,13548,-6.7721,4.0798,6536.7,6545.1,-495.81,-622.61,3241.7,3265.3,-111.93,-95.776,5255.2,5260.3,123.53,129.14,7783.7,7801.2,195.47,205.06,1883.7,1881.9,1
180,1600,2.3796,8.1488,6777.7,6784.1,513.89,685.58,13402,13406,-6.4205,3.0769,6559.9,6561.9,-501.9,-613.95,3327.6,3352.4,-112.82,-96.244,5292.7,5297.2,124.68,127.81,7731.6,7736,195.56,204.76,1848.7,1846.8,1
180,1650,2.3143,8.093,6773.6,6780,520.04,677.35,13279,13283,-6.1196,2.0328,6555.2,6555.9,-507.24,-606.35,3401.6,3427.5,-112.41,-96.752,5299.5,5302,123.58,127.3,7731.1,7732.5,195.68,204.54,1821.2,1819.3,1
180,1700,2.2585,8.045,6770.1,6776.5,525.39,670.16,13172,13176,-5.8624,1.1358,6523.4,6527.2,-511.91,-599.71,3465.3,3492,-111.87,-96.731,5316.8,5326.8,123.76,127.82,7690,7696.1,195.8,204.37,1799.8,1797.8,1
180,1750,2.2109,8.0038,6767.1,6773.6,530.03,663.91,13080,13084,-5.6428,0.36666,6488.1,6490.1,-515.96,-593.93,3520,3547.5,-111.38,-97.259,5349.8,5353.1,123.6,128.26,7638.4,7649.5,195.94,204.25,1783.1,1781.1,1
180,1800,2.17,7.9676,6764.7,6771.1,534.06,658.41,13001,13005,-4.8901,-0.29612,6481.4,6484.9,-519.47,-588.84,3566.9,3595.1,-111.52,-96.878,5389.3,5392.6,123.37,127.87,7634,7635,196.06,204.15,1770.1,1768.1,1
180,1850,2.1338,7.9376,6762.6,6769,537.53,654.06,12933,12936,-4.213,-0.80941,6472.5,6474.4,-522.5,-584.79,3607.1,3635.8,-111.33,-96.332,5382.8,5394,123.08,127.41,7639.5,7643.8,196.18,204.09,1760,1757.9,1
180,1900,2.1046,7.9118,6760.8,6767.2,540.51,649.99,12874,12878,-3.6322,-1.2979,6480.2,6480.7,-525.12,-581.02,3641.5,3670.7,-111.15,-95.908,5372,5383.1,122.92,127.01,7634.6,7640.9,196.29,204.04,1752.1,1750,1
180,1950,2.0797,7.8897,6759.3,6765.7,543.06,646.49,12824,12828,-3.1387,-1.715,6474.8,6479.5,-527.37,-577.78,3670.9,3700.5,-110.77,-95.545,5362.7,5373.8,122.79,126.72,7649.3,7654.9,196.4,204,1745.9,1743.8,1
180,2000,2.0585,7.8708,6758,6764.5,545.26,643.48,12781,12785,-2.7194,-2.0711,6482,6482.6,-529.31,-574.99,3696,3726,-110.4,-95.337,5354.8,5374.6,122.68,126.56,7626.1,7631.4,196.49,203.97,1741,1738.9,1
180,2050,2.0405,7.8548,6756.9,6763.4,547.14,640.9,12744,12748,-2.3629,-2.3748,6478.2,6479.3,-530.97,-572.59,3687.1,3742.5,-110.08,-95.194,5359,5382.8,122.58,126.42,7608.2,7611.3,196.57,203.95,1737.2,1735.1,1
180,2100,2.0252,7.841,6756,6762.5,548.75,638.69,12713,12717,-2.0599,-2.6338,6475.4,6476.6,-532.39,-574.56,3674.9,3730.1,-109.82,-95.073,5367.8,5389.2,122.5,126.31,7592.9,7595.9,196.64,203.93,1734.1,1732,1
180,2150,2.0121,7.8292,6755.2,6761.7,550.12,636.8,12686,12690,-1.8022,-2.8546,6473.1,6474.3,-533.62,-576.89,3664.5,3719.5,-109.59,-94.969,5383.1,5388.3,122.44,126.21,7579.9,7582.8,196.71,203.92,1731.7,1729.6,1
180,2200,2.001,7.8193,6754.6,6761,551.3,635.18,12663,12667,-1.5831,-3.0428,6476.3,6477,-535.47,-578.88,3655.6,3710.4,-109.39,-94.882,5385.6,5389.4,122.38,126.13,7568.7,7571.7,196.76,203.91,1729.7,1727.6,1
180,2250,1.9906,7.8092,6754,6760.5,552.26,633.77,12644,12648,-1.3568,-3.1646,6472.8,6479.1,-537.07,-580.59,3648,3702.7,-109.21,-94.74,5387.7,5390.3,122.36,126.03,7559.2,7562.1,196.81,203.9,1728.2,1726,1
180,2300,1.9827,7.8021,6753.6,6760,553.12,632.59,12627,12631,-1.4134,-3.3066,6468.1,6476.5,-538.41,-582.03,3641.5,3696.1,-109.3,-94.688,5389.5,5391.1,122.32,125.97,7551.1,7554,196.85,203.9,1726.9,1724.8,1
180,2350,1.976,7.7957,6753.2,6759.6,553.84,631.52,12613,12617,-1.4365,-3.4963,6466.6,6472.7,-539.5,-583.22,3635.9,3690.4,-109.41,-94.634,5391,5392.6,122.28,125.96,7544.2,7552.2,196.89,203.89,1725.9,1723.7,1
180,2400,1.9714,7.7923,6752.8,6759.3,554.48,630.7,12601,12605,-1.5372,-3.594,6460.6,6467.5,-540.47,-584.21,3631.2,3685.7,-109.48,-94.625,5395.4,5395.5,122.27,125.85,7548.9,7557.7,196.92,203.89,1725,1722.9,1
180,2450,1.9663,7.7875,6752.5,6759,555.01,629.98,12591,12595,-1.5688,-3.6708,6455.5,6460.3,-541.3,-585.12,3627.2,3681.6,-109.53,-94.585,5401.5,5401.5,122.25,125.83,7553.6,7562.4,196.95,203.89,1724.3,1722.2,1
