%"N","Time","avg(X)","avg(Y)","avg(Z)","avg(gammaRad)","max(X)","max(Y)","max(Z)","max(gammaRad)","med(X)","med(Y)","med(Z)","med(gammaRad)","min(X)","min(Y)","min(Z)","min(gammaRad)","q1(X)","q1(Y)","q1(Z)","q1(gammaRad)","q3(X)","q3(Y)","q3(Z)","q3(gammaRad)","std(X)","std(Y)","std(Z)","std(gammaRad)","vtkValidPointMask"
336,500,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
336,1000,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
336,1500,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
336,2000,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
336,2500,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
336,3000,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
336,3500,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
336,4000,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
336,4500,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
336,5000,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
336,5500,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
336,6000,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
336,6500,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
336,7000,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
336,7500,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
336,8000,0.0015,0.0015,0.01,0.00075918,0.003,0.003,0.02,0.0018302,0.0015,0.0015,0.01,0.00072657,0,0,0,0.00046671,0.0005,0.0005,0.005,0.00066108,0.0025,0.0025,0.015,0.00082546,0.0011197,0.0011197,0.0060643,0.00015454,1
