%"N","Time","avg(X)","avg(Y)","avg(Z)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(X)","max(Y)","max(Z)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(X)","med(Y)","med(Z)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(X)","min(Y)","min(Z)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(X)","q1(Y)","q1(Z)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(X)","q3(Y)","q3(Z)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(X)","std(Y)","std(Z)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
336,500,0.0015,0.0015,0.01,-0.27561,4.2013,2511,3067.2,0.003,0.003,0.02,953.04,1579.6,9918.8,9920,0.0015,0.0015,0.01,1.5262,1.5836,1038.7,1468.9,0,0,0,-615.22,-2587.9,-1574.2,27.232,0.0005,0.0005,0.005,-13.413,-14.629,-373.91,616.05,0.0025,0.0025,0.015,16.117,22.686,5956.6,5957.5,0.0011197,0.0011197,0.0060643,121.32,227.61,3502.7,3037,1
336,1000,0.0015,0.0015,0.01,1.5803,4.8562,3280.4,3560.3,0.003,0.003,0.02,800.14,1339,9217.8,9218.6,0.0015,0.0015,0.01,1.774,1.6029,3498.8,3499.3,0,0,0,-523.28,-2190.8,-958.24,55.805,0.0005,0.0005,0.005,-19.081,-22.151,247.45,836.24,0.0025,0.0025,0.015,23.453,32.63,6176,6177.1,0.0011197,0.0011197,0.0060643,105.9,193.24,3009,2680,1
336,1500,0.0015,0.0015,0.01,3.3676,5.3825,3734.4,3737.9,0.003,0.003,0.02,695.37,1166.4,8191.8,8192.6,0.0015,0.0015,0.01,2.7544,2.738,4048.8,4049,0,0,0,-456.18,-1907.8,243.49,245.44,0.0005,0.0005,0.005,-23.845,-23.17,1802.7,1803.5,0.0025,0.0025,0.015,30.688,32.25,5566.9,5568.9,0.0011197,0.0011197,0.0060643,93.749,168.12,2110.4,2112.9,1
336,2000,0.0015,0.0015,0.01,4.8385,5.7039,4035,4039.9,0.003,0.003,0.02,831.98,1031.6,7342.7,7343.4,0.0015,0.0015,0.01,2.8517,4.1797,4067.4,4067.5,0,0,0,-405.41,-1686.9,1748.6,1749,0.0005,0.0005,0.005,-28.716,-28.536,2918.8,2919.1,0.0025,0.0025,0.015,34.962,38.486,5041.6,5042,0.0011197,0.0011197,0.0060643,109.61,160.33,1277.4,1276.7,1
336,2500,0.0015,0.0015,0.01,5.8668,5.9208,4241.1,4246.9,0.003,0.003,0.02,1309.1,940.21,6799,6799.6,0.0015,0.0015,0.01,3.4683,4.043,4241.8,4242.1,0,0,0,-634.46,-1537.1,2675.8,2676.1,0.0005,0.0005,0.005,-31.152,-28.534,3643.3,3643.6,0.0025,0.0025,0.015,36.102,39.801,4787.9,4788,0.0011197,0.0011197,0.0060643,134.4,165.03,789.89,787.21,1
336,3000,0.0015,0.0015,0.01,6.4288,6.0508,4361.2,4367.5,0.003,0.003,0.02,1557,1034.6,6511.4,6511.9,0.0015,0.0015,0.01,2.2236,4.3741,4335.6,4337.9,0,0,0,-753.51,-1453.2,3158,3158.3,0.0005,0.0005,0.005,-32.4,-29.118,3945.4,3945.6,0.0025,0.0025,0.015,37.316,40.661,4682.7,4692.2,0.0011197,0.0011197,0.0060643,149.78,170.13,590.01,586.8,1
336,3500,0.0015,0.0015,0.01,6.6994,6.1169,4421.9,4428.4,0.003,0.003,0.02,1675.5,1112.5,6372.7,6373.2,0.0015,0.0015,0.01,2.3134,4.8408,4353.8,4354.8,0,0,0,-810.47,-1411.5,3389,3389.3,0.0005,0.0005,0.005,-34.191,-29.07,4058.9,4082.4,0.0025,0.0025,0.015,38.569,41.601,4686.7,4693.2,0.0011197,0.0011197,0.0060643,157.56,173.18,527.69,524.69,1
336,4000,0.0015,0.0015,0.01,6.8273,6.1487,4450.5,4457.2,0.003,0.003,0.02,1730.3,1148.4,6308.5,6309,0.0015,0.0015,0.01,2.6077,4.8538,4381.1,4388,0,0,0,-836.78,-1392.1,3375.7,3381.4,0.0005,0.0005,0.005,-35.073,-29.021,4103.4,4127.8,0.0025,0.0025,0.015,39.064,41.711,4701.4,4702.2,0.0011197,0.0011197,0.0060643,161.23,174.71,510.11,507.37,1
336,4500,0.0015,0.0015,0.01,6.8874,6.1645,4463.6,4470.3,0.003,0.003,0.02,1755.1,1164.7,6279.4,6279.9,0.0015,0.0015,0.01,2.5211,4.8958,4380.8,4394,0,0,0,-848.71,-1383.2,3362.4,3368,0.0005,0.0005,0.005,-35.553,-29.247,4138.5,4143.6,0.0025,0.0025,0.015,39.293,41.582,4700.8,4701.1,0.0011197,0.0011197,0.0060643,162.91,175.44,504.84,502.26,1
336,5000,0.0015,0.0015,0.01,6.9108,6.1692,4469.4,4476.1,0.003,0.003,0.02,1766.2,1172,6266.4,6266.9,0.0015,0.0015,0.01,2.4864,4.9283,4385.7,4392.3,0,0,0,-854.03,-1379.2,3356.4,3362,0.0005,0.0005,0.005,-35.77,-29.343,4140.3,4153.3,0.0025,0.0025,0.015,39.351,41.502,4705.9,4706.2,0.0011197,0.0011197,0.0060643,163.65,175.76,503.06,500.56,1
336,5500,0.0015,0.0015,0.01,6.9234,6.1723,4472,4478.7,0.003,0.003,0.02,1771,1175.2,6260.6,6261.1,0.0015,0.0015,0.01,2.4763,4.9364,4386.2,4391.7,0,0,0,-856.36,-1377.5,3353.7,3359.3,0.0005,0.0005,0.005,-35.865,-29.401,4146.9,4155.4,0.0025,0.0025,0.015,39.359,41.483,4711.7,4713.9,0.0011197,0.0011197,0.0060643,163.99,175.91,502.39,499.93,1
336,6000,0.0015,0.0015,0.01,6.9281,6.1743,4473.1,4479.8,0.003,0.003,0.02,1773.2,1176.6,6258.1,6258.6,0.0015,0.0015,0.01,2.4652,4.9344,4384.8,4392.5,0,0,0,-857.41,-1376.7,3352.6,3358.2,0.0005,0.0005,0.005,-35.909,-29.43,4148.9,4156.2,0.0025,0.0025,0.015,39.371,41.479,4713.2,4715.4,0.0011197,0.0011197,0.0060643,164.13,175.98,502.11,499.67,1
336,6500,0.0015,0.0015,0.01,6.9307,6.1757,4473.6,4480.3,0.003,0.003,0.02,1774.2,1177.2,6257,6257.5,0.0015,0.0015,0.01,2.47,4.9291,4383.8,4392.1,0,0,0,-857.88,-1376.4,3352.1,3357.7,0.0005,0.0005,0.005,-35.926,-29.439,4149.5,4157.6,0.0025,0.0025,0.015,39.373,41.495,4715.3,4715.9,0.0011197,0.0011197,0.0060643,164.2,176,501.99,499.56,1
336,7000,0.0015,0.0015,0.01,6.9312,6.1746,4473.7,4480.5,0.003,0.003,0.02,1774.5,1177.4,6256.6,6257.1,0.0015,0.0015,0.01,2.4612,4.9373,4383.9,4392,0,0,0,-858.02,-1376.3,3351.9,3357.5,0.0005,0.0005,0.005,-35.932,-29.442,4149.6,4157.8,0.0025,0.0025,0.015,39.382,41.472,4716,4716.6,0.0011197,0.0011197,0.0060643,164.22,176.01,501.96,499.52,1
336,7500,0.0015,0.0015,0.01,6.9313,6.1745,4473.8,4480.5,0.003,0.003,0.02,1774.5,1177.5,6256.6,6257.1,0.0015,0.0015,0.01,2.4604,4.9368,4383.9,4392,0,0,0,-858.03,-1376.3,3351.9,3357.5,0.0005,0.0005,0.005,-35.934,-29.444,4149.6,4157.8,0.0025,0.0025,0.015,39.378,41.47,4716.1,4716.6,0.0011197,0.0011197,0.0060643,164.22,176.01,501.95,499.52,1
336,8000,0.0015,0.0015,0.01,6.9313,6.1745,4473.8,4480.5,0.003,0.003,0.02,1774.5,1177.5,6256.6,6257.1,0.0015,0.0015,0.01,2.4604,4.9368,4383.9,4392,0,0,0,-858.03,-1376.3,3351.9,3357.5,0.0005,0.0005,0.005,-35.934,-29.444,4149.6,4157.8,0.0025,0.0025,0.015,39.378,41.47,4716.1,4716.6,0.0011197,0.0011197,0.0060643,164.22,176.01,501.95,499.52,1
