%"N","Time","avg(Temp)","avg(X)","avg(Y)","avg(Z)","avg(radius)","avg(v (0))","avg(v (1))","avg(v (2))","avg(v (Magnitude))","max(Temp)","max(X)","max(Y)","max(Z)","max(radius)","max(v (0))","max(v (1))","max(v (2))","max(v (Magnitude))","med(Temp)","med(X)","med(Y)","med(Z)","med(radius)","med(v (0))","med(v (1))","med(v (2))","med(v (Magnitude))","min(Temp)","min(X)","min(Y)","min(Z)","min(radius)","min(v (0))","min(v (1))","min(v (2))","min(v (Magnitude))","q1(Temp)","q1(X)","q1(Y)","q1(Z)","q1(radius)","q1(v (0))","q1(v (1))","q1(v (2))","q1(v (Magnitude))","q3(Temp)","q3(X)","q3(Y)","q3(Z)","q3(radius)","q3(v (0))","q3(v (1))","q3(v (2))","q3(v (Magnitude))","std(Temp)","std(X)","std(Y)","std(Z)","std(radius)","std(v (0))","std(v (1))","std(v (2))","std(v (Magnitude))","vtkValidPointMask"
1000,500,451.03,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,752.98,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,397.72,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,318.29,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,343.91,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,539.76,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,132.16,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,1000,563.24,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,811.55,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,518.03,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,408.46,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,443.08,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,687.24,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,132.07,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,1500,651.9,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,844.55,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,645.3,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,500.27,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,541.2,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,753.73,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,111.5,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,2000,710.25,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,867.69,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,712.88,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,543.38,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,626.8,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,795.63,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,96.367,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,2500,741.49,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,882.58,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,748.74,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,567.56,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,667.5,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,820.52,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,90.475,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,3000,756.61,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,890.68,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,766.01,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,578.99,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,686.01,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,833.48,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,88.492,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,3500,763.64,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,894.63,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,774.03,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,584.21,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,694.43,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,839.68,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,87.753,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,4000,766.83,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,896.47,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,777.67,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,586.56,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,698.25,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,842.54,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,87.45,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,4500,768.27,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,897.31,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,779.31,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,587.62,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,699.96,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,843.83,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,87.32,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,5000,768.91,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,897.68,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,780.04,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,588.1,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,700.72,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,844.41,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,87.262,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
