%"N","Time","avg(X)","avg(Y)","avg(Z)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(X)","max(Y)","max(Z)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(X)","med(Y)","med(Z)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(X)","min(Y)","min(Z)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(X)","q1(Y)","q1(Z)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(X)","q3(Y)","q3(Z)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(X)","std(Y)","std(Z)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
336,500,0.0015,0.0015,0.01,2.6888,9.1565,6777.6,6884.3,0.003,0.003,0.02,1468.7,2214.1,18177,18179,0.0015,0.0015,0.01,2.5028,2.1116,7021.2,7021.8,0,0,0,-1006.5,-3878.3,-525.61,97.276,0.0005,0.0005,0.005,-35.901,-35.279,898.67,899.24,0.0025,0.0025,0.015,47.784,53.732,12190,12192,0.0011197,0.0011197,0.0060643,193.39,341.16,5615.1,5497.3,1
336,1000,0.0015,0.0015,0.01,5.7484,8.8668,6673.5,6680.4,0.003,0.003,0.02,1040.1,1571.7,13198,13199,0.0015,0.0015,0.01,5.5708,6.8216,7520.1,7520.6,0,0,0,-715.07,-2752.2,29.169,41.008,0.0005,0.0005,0.005,-51.465,-46.966,4359.4,4359.8,0.0025,0.0025,0.015,62.609,58.404,9094.2,9111.4,0.0011197,0.0011197,0.0060643,150.61,245.36,3245.1,3243.6,1
336,1500,0.0015,0.0015,0.01,6.5346,7.6496,5716.4,5722.7,0.003,0.003,0.02,981.56,1222.5,10280,10281,0.0015,0.0015,0.01,5.2331,6.5986,6012,6012.5,0,0,0,-556.23,-2140.6,1867.4,1876.9,0.0005,0.0005,0.005,-45.006,-40.858,4245.9,4246.5,0.0025,0.0025,0.015,53.1,54.99,7096.5,7107.2,0.0011197,0.0011197,0.0060643,142.82,201.9,1920.7,1918,1
336,2000,0.0015,0.0015,0.01,7.1658,6.7331,5015.7,5022.5,0.003,0.003,0.02,1592.3,1026.3,8090.6,8091.2,0.0015,0.0015,0.01,4.7008,5.4556,5056.1,5057.2,0,0,0,-769.48,-1677.4,3009.3,3010.3,0.0005,0.0005,0.005,-38.367,-34.897,4294.2,4298,0.0025,0.0025,0.015,43.586,48.661,5679.7,5692.7,0.0011197,0.0011197,0.0060643,159.09,183.27,1010.5,1005.9,1
336,2500,0.0015,0.0015,0.01,7.5123,6.3444,4717.5,4724.6,0.003,0.003,0.02,1862.5,1193.8,7009.5,7010,0.0015,0.0015,0.01,4.2921,5.4439,4687.4,4692.2,0,0,0,-896.9,-1442.2,3456.5,3457.2,0.0005,0.0005,0.005,-36.025,-31.767,4266.9,4280,0.0025,0.0025,0.015,40.153,45.101,5071.3,5079,0.0011197,0.0011197,0.0060643,170.99,178.56,639.35,635.09,1
336,3000,0.0015,0.0015,0.01,7.6466,6.1977,4605.8,4613,0.003,0.003,0.02,1964.9,1257.4,6588.5,6589,0.0015,0.0015,0.01,3.8811,5.3379,4518.4,4523.3,0,0,0,-945.23,-1349.6,3524.7,3530.6,0.0005,0.0005,0.005,-36.441,-30.567,4205.3,4226.2,0.0025,0.0025,0.015,39.946,44.319,4885.1,4890,0.0011197,0.0011197,0.0060643,176.13,177.65,542.21,539.19,1
336,3500,0.0015,0.0015,0.01,7.6973,6.1456,4566.1,4573.3,0.003,0.003,0.02,2001.5,1280.1,6437,6437.5,0.0015,0.0015,0.01,3.6931,5.4455,4486.9,4492.4,0,0,0,-962.5,-1361.1,3446.5,3452.3,0.0005,0.0005,0.005,-36.873,-30.139,4201.9,4222.8,0.0025,0.0025,0.015,39.901,43.553,4825.1,4825.5,0.0011197,0.0011197,0.0060643,178.04,177.45,519.18,516.86,1
336,4000,0.0015,0.0015,0.01,7.7148,6.1274,4552.3,4559.5,0.003,0.003,0.02,2014.1,1287.9,6384.3,6384.8,0.0015,0.0015,0.01,3.6144,5.4379,4464.8,4470.7,0,0,0,-968.45,-1369.5,3419.2,3425,0.0005,0.0005,0.005,-36.659,-30.117,4211,4230.4,0.0025,0.0025,0.015,39.8,43.293,4810.5,4813.4,0.0011197,0.0011197,0.0060643,178.71,177.4,512.95,510.9,1
336,4500,0.0015,0.0015,0.01,7.7213,6.1216,4547.6,4554.8,0.003,0.003,0.02,2018.4,1290.6,6366.4,6366.9,0.0015,0.0015,0.01,3.6226,5.4285,4455.3,4463.3,0,0,0,-970.52,-1372.3,3410,3415.7,0.0005,0.0005,0.005,-36.605,-30.099,4212.9,4227.1,0.0025,0.0025,0.015,39.773,43.201,4798.7,4799.5,0.0011197,0.0011197,0.0060643,178.94,177.38,511.05,509.11,1
336,5000,0.0015,0.0015,0.01,7.7232,6.1197,4546.1,4553.2,0.003,0.003,0.02,2019.8,1291.5,6360.5,6361,0.0015,0.0015,0.01,3.6299,5.4275,4453.6,4461.6,0,0,0,-971.22,-1373.3,3407,3412.7,0.0005,0.0005,0.005,-36.589,-30.09,4214.7,4225.2,0.0025,0.0025,0.015,39.772,43.17,4796,4796.7,0.0011197,0.0011197,0.0060643,179.02,177.38,510.45,508.54,1
