%"N","Time","avg(Temp)","avg(X)","avg(Y)","avg(Z)","avg(radius)","avg(v (0))","avg(v (1))","avg(v (2))","avg(v (Magnitude))","max(Temp)","max(X)","max(Y)","max(Z)","max(radius)","max(v (0))","max(v (1))","max(v (2))","max(v (Magnitude))","med(Temp)","med(X)","med(Y)","med(Z)","med(radius)","med(v (0))","med(v (1))","med(v (2))","med(v (Magnitude))","min(Temp)","min(X)","min(Y)","min(Z)","min(radius)","min(v (0))","min(v (1))","min(v (2))","min(v (Magnitude))","q1(Temp)","q1(X)","q1(Y)","q1(Z)","q1(radius)","q1(v (0))","q1(v (1))","q1(v (2))","q1(v (Magnitude))","q3(Temp)","q3(X)","q3(Y)","q3(Z)","q3(radius)","q3(v (0))","q3(v (1))","q3(v (2))","q3(v (Magnitude))","std(Temp)","std(X)","std(Y)","std(Z)","std(radius)","std(v (0))","std(v (1))","std(v (2))","std(v (Magnitude))","vtkValidPointMask"
1000,500,581.13,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,949.04,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,540.98,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,327.36,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,356.52,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,795.53,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,217.92,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,1000,727.78,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,964.92,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,743.29,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,464.73,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,583.69,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,869.3,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,156.52,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,1500,821.88,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,973.05,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,822.28,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,672.88,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,739.68,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,903.43,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,91.404,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,2000,868.08,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,979.1,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,868.83,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,753.02,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,810.09,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,926.83,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,66.904,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,2500,886.45,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,982.16,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,888.57,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,780.27,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,836.37,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,937.93,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,58.917,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,3000,893.13,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,983.36,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,895.84,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,789.83,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,845.76,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,942.17,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,56.213,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,3500,895.47,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,983.79,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,898.4,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,793.16,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,849.05,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,943.68,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,55.286,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,4000,896.28,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,983.94,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,899.29,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,794.3,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,850.18,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,944.21,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,54.968,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,4500,896.56,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,983.99,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,899.59,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,794.69,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,850.57,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,944.39,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,54.861,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,5000,896.65,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,984.01,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,899.69,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,794.82,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,850.7,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,944.45,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,54.825,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
