%"N","Time","avg(X)","avg(Y)","avg(Z)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(X)","max(Y)","max(Z)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(X)","med(Y)","med(Z)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(X)","min(Y)","min(Z)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(X)","q1(Y)","q1(Z)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(X)","q3(Y)","q3(Z)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(X)","std(Y)","std(Z)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
336,500,0.0015,0.0015,0.01,-0.087149,2.3201,1345.1,2017.3,0.003,0.003,0.02,703.7,1188.8,7000.4,7002.8,0.0015,0.0015,0.01,0.71836,0.39469,368.7,1266.7,0,0,0,-598.52,-1910.8,-1765.3,3.5609,0.0005,0.0005,0.005,-9.6769,-12.867,-530.82,463.32,0.0025,0.0025,0.015,11.962,16.959,3219.2,3219.6,0.0011197,0.0011197,0.0060643,93.62,170.05,2508.7,2015.9,1
336,1000,0.0015,0.0015,0.01,0.51949,3.7022,2222.7,2684.5,0.003,0.003,0.02,706.79,1212.8,7592.6,7593.4,0.0015,0.0015,0.01,1.7937,0.92908,1767,1767.3,0,0,0,-451.72,-1945.1,-1224.8,48.498,0.0005,0.0005,0.005,-15.354,-16.16,-385.82,780.91,0.0025,0.0025,0.015,16.871,24.673,4926.3,4927.5,0.0011197,0.0011197,0.0060643,91.95,171.56,2685.6,2231,1
336,1500,0.0015,0.0015,0.01,2.1625,4.592,3019.2,3096.2,0.003,0.003,0.02,707.92,1219.4,7895,7895.7,0.0015,0.0015,0.01,1.8843,0.85081,3122.3,3124,0,0,0,-454.73,-1954.6,-376.92,47.087,0.0005,0.0005,0.005,-16.401,-19.045,669.12,669.49,0.0025,0.0025,0.015,20.035,26.939,5282.4,5284.7,0.0011197,0.0011197,0.0060643,90.24,171.08,2395.1,2302.5,1
336,2000,0.0015,0.0015,0.01,3.8751,5.6187,3812.7,3817,0.003,0.003,0.02,708.57,1223,8053.6,8054.3,0.0015,0.0015,0.01,2.6047,3.4874,3867.9,3868.2,0,0,0,-456.35,-1959.8,874.74,888.84,0.0005,0.0005,0.005,-25.572,-26.199,2053.8,2054,0.0025,0.0025,0.015,31.424,33.747,5418.7,5420.1,0.0011197,0.0011197,0.0060643,99.313,174.58,1852.8,1854.9,1
336,2500,0.0015,0.0015,0.01,5.5663,6.5757,4567.2,4573,0.003,0.003,0.02,1031.4,1227.6,8242,8242.8,0.0015,0.0015,0.01,3.5753,2.7237,4451.5,4451.6,0,0,0,-502.18,-1966.6,2227.8,2228.2,0.0005,0.0005,0.005,-31.28,-30.888,3414.9,3416.4,0.0025,0.0025,0.015,39.596,42.057,5659.1,5659.9,0.0011197,0.0011197,0.0060643,129.51,189.14,1346,1345.7,1
336,3000,0.0015,0.0015,0.01,6.9349,7.3696,5189.8,5196.9,0.003,0.003,0.02,1522.2,1232.8,8441.8,8442.5,0.0015,0.0015,0.01,3.3833,4.741,5106.2,5106.6,0,0,0,-739.38,-1974.2,3246.8,3247.3,0.0005,0.0005,0.005,-37.435,-33.905,4413.3,4414.6,0.0025,0.0025,0.015,44.148,48.175,5887.9,5893,0.0011197,0.0011197,0.0060643,161.64,207.43,1007.3,1005.1,1
336,3500,0.0015,0.0015,0.01,7.8969,7.9438,5635,5643,0.003,0.003,0.02,1858.2,1256.7,8602,8602.7,0.0015,0.0015,0.01,3.7874,4.9957,5600.9,5602.1,0,0,0,-901.79,-1980.5,3944.5,3945.1,0.0005,0.0005,0.005,-41.301,-37.002,5031.1,5032.5,0.0025,0.0025,0.015,47.883,52.759,6205,6205.9,0.0011197,0.0011197,0.0060643,185.83,222.61,828.05,824.66,1
336,4000,0.0015,0.0015,0.01,8.514,8.3175,5924.5,5933,0.003,0.003,0.02,2072.3,1400.5,8712,8712.7,0.0015,0.0015,0.01,4.3515,5.9804,5845.4,5846.5,0,0,0,-1005.3,-1984.7,4389,4389.7,0.0005,0.0005,0.005,-44.592,-39.045,5397.6,5411.1,0.0025,0.0025,0.015,50.766,56.182,6297.6,6325.6,0.0011197,0.0011197,0.0060643,201.84,233.19,751.71,747.84,1
336,4500,0.0015,0.0015,0.01,8.8882,8.5441,6102.2,6111.1,0.003,0.003,0.02,2202.6,1488.1,8780.9,8781.6,0.0015,0.0015,0.01,4.6915,6.4472,6012.6,6015.7,0,0,0,-1068.3,-1987.5,4659.6,4660.3,0.0005,0.0005,0.005,-47.27,-39.332,5605.1,5634.4,0.0025,0.0025,0.015,53.095,58.818,6456.8,6470.9,0.0011197,0.0011197,0.0060643,211.74,239.92,724.49,720.54,1
336,5000,0.0015,0.0015,0.01,9.113,8.6822,6207.8,6216.8,0.003,0.003,0.02,2279.7,1539.9,8822.4,8823.1,0.0015,0.0015,0.01,4.7819,6.5623,6129.7,6130.1,0,0,0,-1105.6,-1989.1,4718.4,4726.3,0.0005,0.0005,0.005,-48.862,-40.399,5723.8,5749.8,0.0025,0.0025,0.015,54.353,59.364,6558.2,6566.2,0.0011197,0.0011197,0.0060643,217.66,243.99,716.16,712.26,1
336,5500,0.0015,0.0015,0.01,9.2444,8.7639,6269.3,6278.5,0.003,0.003,0.02,2324.6,1570,8846.7,8847.4,0.0015,0.0015,0.01,4.6373,6.627,6184.4,6195.5,0,0,0,-1127.2,-1990,4735.1,4743,0.0005,0.0005,0.005,-49.736,-41.019,5806.5,5824.9,0.0025,0.0025,0.015,55.083,59.691,6598,6600.5,0.0011197,0.0011197,0.0060643,221.11,246.39,714.08,710.25,1
336,6000,0.0015,0.0015,0.01,9.3187,8.8076,6304.7,6313.9,0.003,0.003,0.02,2350.4,1587.3,8860.8,8861.5,0.0015,0.0015,0.01,4.5702,6.675,6205,6213.5,0,0,0,-1139.7,-1990.6,4744.7,4752.7,0.0005,0.0005,0.005,-49.94,-41.291,5851.6,5859.6,0.0025,0.0025,0.015,55.476,59.855,6639.2,6640.1,0.0011197,0.0011197,0.0060643,223.1,247.78,713.81,710.02,1
336,6500,0.0015,0.0015,0.01,9.3648,8.8383,6324.7,6333.9,0.003,0.003,0.02,2364.9,1597.2,8868.6,8869.3,0.0015,0.0015,0.01,4.5461,6.7056,6205,6217.1,0,0,0,-1146.7,-1990.8,4750.1,4758,0.0005,0.0005,0.005,-50.063,-41.416,5866.9,5876.4,0.0025,0.0025,0.015,55.639,59.991,6670.7,6673.7,0.0011197,0.0011197,0.0060643,224.23,248.57,713.95,710.19,1
336,7000,0.0015,0.0015,0.01,9.3851,8.8497,6336,6345.3,0.003,0.003,0.02,2373.2,1602.7,8873.1,8873.8,0.0015,0.0015,0.01,4.5161,6.7442,6205,6226.8,0,0,0,-1150.7,-1991,4753.1,4761.1,0.0005,0.0005,0.005,-50.121,-41.492,5872.5,5885,0.0025,0.0025,0.015,55.788,60.018,6680.4,6683.9,0.0011197,0.0011197,0.0060643,224.86,249.02,714.12,710.39,1
