%"N","Time","avg(Temp)","avg(X)","avg(Y)","avg(Z)","avg(radius)","avg(v (0))","avg(v (1))","avg(v (2))","avg(v (Magnitude))","max(Temp)","max(X)","max(Y)","max(Z)","max(radius)","max(v (0))","max(v (1))","max(v (2))","max(v (Magnitude))","med(Temp)","med(X)","med(Y)","med(Z)","med(radius)","med(v (0))","med(v (1))","med(v (2))","med(v (Magnitude))","min(Temp)","min(X)","min(Y)","min(Z)","min(radius)","min(v (0))","min(v (1))","min(v (2))","min(v (Magnitude))","q1(Temp)","q1(X)","q1(Y)","q1(Z)","q1(radius)","q1(v (0))","q1(v (1))","q1(v (2))","q1(v (Magnitude))","q3(Temp)","q3(X)","q3(Y)","q3(Z)","q3(radius)","q3(v (0))","q3(v (1))","q3(v (2))","q3(v (Magnitude))","std(Temp)","std(X)","std(Y)","std(Z)","std(radius)","std(v (0))","std(v (1))","std(v (2))","std(v (Magnitude))","vtkValidPointMask"
1000,500,411.75,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,660.94,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,375.9,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,314.1,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,331.13,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,457.08,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,97.089,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,1000,506.24,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,743.49,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,462.6,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,373.67,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,413.52,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,599.54,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,111.49,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,1500,594.62,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,801,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,567.61,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,472.1,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,487.77,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,693,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,108.07,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,2000,669.79,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,849.33,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,664.85,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,514.76,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,574.6,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,761.7,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,102.98,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,2500,724.54,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,889.1,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,728.78,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,540.3,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,639.54,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,813.4,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,101.29,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,3000,760.39,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,918.26,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,769.79,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,558.34,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,678.59,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,849.11,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,102.09,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,3500,782.62,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,937.48,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,794.79,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,569.78,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,701.92,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,871.91,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,103.25,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,4000,795.95,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,949.36,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,809.67,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,576.72,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,715.67,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,885.76,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,104.14,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,4500,803.77,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,956.43,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,818.38,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,580.83,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,723.72,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,893.95,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,104.71,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,5000,808.3,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,960.56,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,823.4,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,583.22,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,728.36,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,898.7,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,105.05,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
