%"N","Time","avg(X)","avg(Y)","avg(Z)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(X)","max(Y)","max(Z)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(X)","med(Y)","med(Z)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(X)","min(Y)","min(Z)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(X)","q1(Y)","q1(Z)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(X)","q3(Y)","q3(Z)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(X)","std(Y)","std(Z)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
336,500,0.0015,0.0015,0.01,5.1795,2.8318,1288.5,1866.6,0.003,0.003,0.02,1258.9,1628.3,6954.3,6956.5,0.0015,0.0015,0.01,0.52485,-0.28671,265.39,1098.3,0,0,0,-457.54,-946.99,-1516.3,3.6725,0.0005,0.0005,0.005,-7.7901,-10.557,-418.54,375.88,0.0025,0.0025,0.015,9.8986,8.9236,2862.2,2862.7,0.0011197,0.0011197,0.0060643,114.41,174.63,2410.4,2006.1,1
336,1000,0.0015,0.0015,0.01,5.6702,3.6777,2097.4,2538,0.003,0.003,0.02,1275.8,1647,7559.1,7560.1,0.0015,0.0015,0.01,1.6859,0.48554,1493.3,1493.5,0,0,0,-462.16,-962.78,-1090.9,111.85,0.0005,0.0005,0.005,-11.532,-14.331,-391.19,692.73,0.0025,0.0025,0.015,14.044,15.753,4656.9,4658.2,0.0011197,0.0011197,0.0060643,116.19,176.81,2613.1,2196.5,1
336,1500,0.0015,0.0015,0.01,6.7883,4.1812,2814.3,2953.2,0.003,0.003,0.02,1280.6,1652.2,7750,7751,0.0015,0.0015,0.01,1.6556,0.87669,2899.3,2899.4,0,0,0,-463.39,-967.28,-528.51,56.818,0.0005,0.0005,0.005,-14.412,-17.208,395.71,482.93,0.0025,0.0025,0.015,15.663,21.855,5082.9,5084.5,0.0011197,0.0011197,0.0060643,116.95,177.45,2424.5,2262.7,1
336,2000,0.0015,0.0015,0.01,7.8535,4.8151,3519.2,3523.2,0.003,0.003,0.02,1282.7,1654.5,7833.2,7834.3,0.0015,0.0015,0.01,2.333,1.3763,3633.1,3633.2,0,0,0,-463.93,-969.27,492.86,499.19,0.0005,0.0005,0.005,-20.934,-19.833,1691.1,1691.2,0.0025,0.0025,0.015,25.789,25.538,5280.6,5281.2,0.0011197,0.0011197,0.0060643,118.86,178.28,1961.7,1966.2,1
336,2500,0.0015,0.0015,0.01,8.8889,5.3528,4210,4214.7,0.003,0.003,0.02,1285,1657.1,7921.9,7923,0.0015,0.0015,0.01,3.3056,2.4623,4184.6,4184.8,0,0,0,-464.5,-971.46,1815.8,1844.2,0.0005,0.0005,0.005,-26.445,-25.168,2867.5,2867.7,0.0025,0.0025,0.015,31.041,31.71,5420.9,5421.5,0.0011197,0.0011197,0.0060643,127.74,183.18,1455.3,1458.9,1
336,3000,0.0015,0.0015,0.01,9.8041,5.8145,4817.6,4822.9,0.003,0.003,0.02,1287.8,1660.2,8029.7,8030.8,0.0015,0.0015,0.01,3.2225,3.0052,4685.5,4685.7,0,0,0,-465.13,-974.19,2955.9,2956.4,0.0005,0.0005,0.005,-31.106,-30.252,3909.7,3910.8,0.0025,0.0025,0.015,35.376,38.322,5590.1,5591.4,0.0011197,0.0011197,0.0060643,140.93,191.1,1066.8,1069.5,1
336,3500,0.0015,0.0015,0.01,10.499,6.1777,5281.9,5287.6,0.003,0.003,0.02,1290.6,1663.2,8128.5,8129.7,0.0015,0.0015,0.01,3.5738,2.3687,5175.6,5177.3,0,0,0,-483.78,-976.78,3743.3,3744,0.0005,0.0005,0.005,-34.414,-31.635,4637.2,4637.6,0.0025,0.0025,0.015,42.304,41.961,5805.7,5806.1,0.0011197,0.0011197,0.0060643,152.94,198.72,820.38,822.18,1
336,4000,0.0015,0.0015,0.01,10.973,6.4212,5600.9,5606.9,0.003,0.003,0.02,1292.7,1665.4,8201.6,8202.8,0.0015,0.0015,0.01,3.3488,2.2032,5555.5,5556.3,0,0,0,-552.7,-1031.4,4268.5,4269.3,0.0005,0.0005,0.005,-36.589,-33.355,5104.4,5110,0.0025,0.0025,0.015,44.071,44.117,6015.4,6016.9,0.0011197,0.0011197,0.0060643,161.85,204.58,684.76,685.72,1
336,4500,0.0015,0.0015,0.01,11.272,6.5778,5806.3,5812.4,0.003,0.003,0.02,1294,1666.9,8250.6,8251.8,0.0015,0.0015,0.01,3.5063,2.0358,5732.5,5736.1,0,0,0,-596.48,-1113.2,4602,4602.8,0.0005,0.0005,0.005,-37.961,-34.135,5367.1,5367.5,0.0025,0.0025,0.015,45.937,44.826,6190.2,6190.4,0.0011197,0.0011197,0.0060643,167.81,208.6,618.51,618.84,1
336,5000,0.0015,0.0015,0.01,11.46,6.6764,5933.5,5939.8,0.003,0.003,0.02,1294.8,1667.8,8281.7,8282.8,0.0015,0.0015,0.01,3.5905,2.0334,5862.1,5863.1,0,0,0,-623.4,-1163.5,4807.1,4808,0.0005,0.0005,0.005,-38.547,-34.944,5511.1,5521.5,0.0025,0.0025,0.015,46.964,45.378,6205,6264.9,0.0011197,0.0011197,0.0060643,171.59,211.18,588.21,588.1,1
