%"N","Time","avg(X)","avg(Y)","avg(Z)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(X)","max(Y)","max(Z)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(X)","med(Y)","med(Z)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(X)","min(Y)","min(Z)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(X)","q1(Y)","q1(Z)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(X)","q3(Y)","q3(Z)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(X)","std(Y)","std(Z)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
336,500,0.0015,0.0015,0.01,3.4044,1.5614,1245.9,1857.9,0.003,0.003,0.02,545.39,669.48,6205,6289.6,0.0015,0.0015,0.01,0.083121,-0.062783,305.34,1082.9,0,0,0,-271.63,-1021.9,-1670.3,6.4388,0.0005,0.0005,0.005,-13.051,-13.259,-466.62,457.31,0.0025,0.0025,0.015,16.654,12.716,2717.6,2719.2,0.0011197,0.0011197,0.0060643,64.258,144.01,2338.3,1894.1,1
336,1000,0.0015,0.0015,0.01,7.8377,3.704,2046.8,2484.4,0.003,0.003,0.02,827.35,1020.6,6343.8,6478,0.0015,0.0015,0.01,-0.069574,-0.20125,1553.9,1554.5,0,0,0,-412.43,-1562.3,-1169.5,93.594,0.0005,0.0005,0.005,-35.011,-27.152,-386.39,722.84,0.0025,0.0025,0.015,39.63,34.926,4325.5,4336.7,0.0011197,0.0011197,0.0060643,115.04,255.54,2487.7,2068.4,1
336,1500,0.0015,0.0015,0.01,13.61,6.0098,2773.5,2857.1,0.003,0.003,0.02,1082.2,1479.9,6576.8,6825.8,0.0015,0.0015,0.01,-0.13,-0.26573,2721.4,2723,0,0,0,-539.68,-2049.5,-536.26,21.534,0.0005,0.0005,0.005,-66.394,-68.957,535.86,537.72,0.0025,0.0025,0.015,71.413,65.094,4740.7,4766.2,0.0011197,0.0011197,0.0060643,173.7,362.26,2221.1,2150.1,1
336,2000,0.0015,0.0015,0.01,20.266,8.867,3501.8,3529.1,0.003,0.003,0.02,1344.4,1963.2,6783.5,7181.5,0.0015,0.0015,0.01,-0.15074,-0.46606,3277.8,3286,0,0,0,-696.69,-2550.5,784.83,785.36,0.0005,0.0005,0.005,-105.36,-122.33,1853.6,1855.8,0.0025,0.0025,0.015,113.3,125.13,4987.8,5017.4,0.0011197,0.0011197,0.0060643,245.26,477.76,1688,1716.2,1
336,2500,0.0015,0.0015,0.01,26.808,11.87,4218.6,4260.1,0.003,0.003,0.02,1606.5,2445.6,6997.5,7569.7,0.0015,0.0015,0.01,0.4189,0.076026,3933.9,3961,0,0,0,-864.11,-3051.3,2439.6,2439.8,0.0005,0.0005,0.005,-149.47,-178.62,3111.4,3123,0.0025,0.0025,0.015,166.07,181.72,5238.2,5286,0.0011197,0.0011197,0.0060643,320.98,595.65,1156.9,1201.7,1
336,3000,0.0015,0.0015,0.01,32.368,14.43,4841.3,4896.8,0.003,0.003,0.02,1834.1,2863.7,7195,7935.4,0.0015,0.0015,0.01,0.64162,-0.37955,4665,4692,0,0,0,-1009.2,-3486.2,3708.9,3713.1,0.0005,0.0005,0.005,-183.18,-219.02,4207,4227.9,0.0025,0.0025,0.015,205.3,231.46,5449.9,5526.6,0.0011197,0.0011197,0.0060643,386.57,698.22,784.75,843.62,1
336,3500,0.0015,0.0015,0.01,36.496,16.316,5310,5376.8,0.003,0.003,0.02,2005.2,3177.6,7348.7,8224.2,0.0015,0.0015,0.01,0.44662,-0.21601,5262.2,5293.2,0,0,0,-1118.2,-3813,4005.3,4006.7,0.0005,0.0005,0.005,-211.08,-246.37,4879.1,4905.7,0.0025,0.0025,0.015,225.14,261.43,5628.4,5662.5,0.0011197,0.0011197,0.0060643,435.46,775.2,601.72,661.57,1
336,4000,0.0015,0.0015,0.01,39.287,17.587,5628.9,5703.8,0.003,0.003,0.02,2121.5,3390.8,7455,8426.2,0.0015,0.0015,0.01,0.32537,-0.10957,5622,5657.2,0,0,0,-1192.1,-4035.2,4168,4169.6,0.0005,0.0005,0.005,-229.03,-264.91,5233.1,5302.6,0.0025,0.0025,0.015,241.82,281.73,6014.1,6069.4,0.0011197,0.0011197,0.0060643,468.55,827.49,558.58,605.64,1
336,4500,0.0015,0.0015,0.01,41.064,18.396,5832.6,5912.8,0.003,0.003,0.02,2195.8,3527,7523.3,8557.1,0.0015,0.0015,0.01,0.24837,-0.041774,5848.6,5911.1,0,0,0,-1239.3,-4177.1,4274.1,4275.8,0.0005,0.0005,0.005,-239.93,-276.75,5455.4,5517.4,0.0025,0.0025,0.015,253.91,294.7,6205,6349.7,0.0011197,0.0011197,0.0060643,489.65,860.89,573.41,605.85,1
336,5000,0.0015,0.0015,0.01,42.158,18.894,5958.1,6041.6,0.003,0.003,0.02,2241.6,3610.8,7565.6,8638.5,0.0015,0.0015,0.01,0.20344,-0.00053513,6015.1,6067.8,0,0,0,-1268.4,-4264.5,4340.2,4342,0.0005,0.0005,0.005,-245.32,-284.02,5589.9,5662,0.0025,0.0025,0.015,261.6,302.65,6356.3,6457.4,0.0011197,0.0011197,0.0060643,502.63,881.45,597.95,619.93,1
