%"N","Time","avg(X)","avg(Y)","avg(Z)","avg(gammaRad)","max(X)","max(Y)","max(Z)","max(gammaRad)","med(X)","med(Y)","med(Z)","med(gammaRad)","min(X)","min(Y)","min(Z)","min(gammaRad)","q1(X)","q1(Y)","q1(Z)","q1(gammaRad)","q3(X)","q3(Y)","q3(Z)","q3(gammaRad)","std(X)","std(Y)","std(Z)","std(gammaRad)","vtkValidPointMask"
816,500,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,1000,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,1500,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,2000,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,2500,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,3000,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,3500,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,4000,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,4500,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,5000,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,5500,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,6000,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,6500,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,7000,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,7500,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,8000,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,8500,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,9000,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,9500,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
816,10000,0.0015,0.0015,0.01,0.00067068,0.003,0.003,0.02,0.00078609,0.0015,0.0015,0.01,0.00066899,0,0,0,0.0006068,0.0005,0.0005,0.0048,0.00064846,0.0025,0.0025,0.0152,0.00068841,0.0011187,0.0011187,0.0058915,3.0218e-05,1
