%"N","Time","avg(X)","avg(Y)","avg(Z)","avg(gammaRad)","max(X)","max(Y)","max(Z)","max(gammaRad)","med(X)","med(Y)","med(Z)","med(gammaRad)","min(X)","min(Y)","min(Z)","min(gammaRad)","q1(X)","q1(Y)","q1(Z)","q1(gammaRad)","q3(X)","q3(Y)","q3(Z)","q3(gammaRad)","std(X)","std(Y)","std(Z)","std(gammaRad)","vtkValidPointMask"
1616,500,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,1000,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,1500,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,2000,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,2500,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,3000,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,3500,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,4000,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,4500,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,5000,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,5500,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,6000,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,6500,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,7000,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,7500,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,8000,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,8500,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
1616,9000,0.0015,0.0015,0.01,0.00069443,0.003,0.003,0.02,0.001265,0.0015,0.0015,0.01,0.00068188,0,0,0,0.00049091,0.0005,0.0005,0.005,0.00062647,0.0025,0.0025,0.015,0.00074011,0.0011184,0.0011184,0.0058328,9.8484e-05,1
