%"N","Time","avg(X)","avg(Y)","avg(Z)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(X)","max(Y)","max(Z)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(X)","med(Y)","med(Z)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(X)","min(Y)","min(Z)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(X)","q1(Y)","q1(Z)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(X)","q3(Y)","q3(Z)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(X)","std(Y)","std(Z)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
1616,500,0.0015,0.0015,0.01,0.73543,0.61166,1194.4,1785.8,0.003,0.003,0.02,624.71,544.42,7431.8,7436.5,0.0015,0.0015,0.01,-0.083765,0.041712,278.47,1058.8,0,0,0,-444.11,-881.51,-1674.8,1.961,0.0005,0.0005,0.005,-7.4907,-10.079,-456.2,378.45,0.0025,0.0025,0.015,7.8519,8.3505,2688,2688.4,0.0011184,0.0011184,0.0058328,57.511,83.932,2295.5,1875.2,1
1616,1000,0.0015,0.0015,0.01,2.2797,1.7266,2033,2484.3,0.003,0.003,0.02,802.71,781.58,8357.8,8357.9,0.0015,0.0015,0.01,0.27715,-0.0026216,1539.3,1539.3,0,0,0,-579.25,-1084.8,-1332.4,9.1086,0.0005,0.0005,0.005,-18.058,-18.648,-445.76,720.39,0.0025,0.0025,0.015,18.27,15.738,4401,4406.5,0.0011184,0.0011184,0.0058328,91.89,131.98,2528.7,2092.8,1
1616,1500,0.0015,0.0015,0.01,4.7663,2.7746,2801.5,2917.3,0.003,0.003,0.02,963.67,1102.7,9175.2,9175.8,0.0015,0.0015,0.01,0.96085,-0.039892,2951.4,2951.5,0,0,0,-717.93,-1380.6,-711.07,11.714,0.0005,0.0005,0.005,-36.284,-33.657,411.3,504.37,0.0025,0.0025,0.015,34.738,31.902,4833.9,4836.9,0.0011184,0.0011184,0.0058328,131.68,182.47,2332.7,2197.5,1
1616,2000,0.0015,0.0015,0.01,7.7305,4.1365,3564.7,3573.9,0.003,0.003,0.02,1129.3,1466.8,9989.5,9991,0.0015,0.0015,0.01,0.56624,-0.69142,3604.6,3616.1,0,0,0,-931.59,-1682.8,326.25,344.5,0.0005,0.0005,0.005,-60.633,-59.137,1811.6,1815.3,0.0025,0.0025,0.015,61.624,60.619,5045.6,5055.2,0.0011184,0.0011184,0.0058328,180.37,240.47,1873.3,1880,1
1616,2500,0.0015,0.0015,0.01,10.598,5.6594,4316.3,4330.8,0.003,0.003,0.02,1297.5,1854.2,10820,10823,0.0015,0.0015,0.01,0.91827,-0.57734,4201.1,4214.1,0,0,0,-1154.7,-1989.7,1714.3,1717.9,0.0005,0.0005,0.005,-93.158,-91.413,3071,3078.7,0.0025,0.0025,0.015,91.2,91.078,5295.7,5318.8,0.0011184,0.0011184,0.0058328,234.04,303.34,1449.2,1456.6,1
1616,3000,0.0015,0.0015,0.01,13.085,7.0042,4986.7,5007,0.003,0.003,0.02,1447.9,2200,11572,11576,0.0015,0.0015,0.01,-0.23512,-1.0914,4767.3,4779.5,0,0,0,-1353.9,-2264.8,1128.2,1438,0.0005,0.0005,0.005,-119.56,-118.88,4075.4,4089,0.0025,0.0025,0.015,120.59,120.28,5708.9,5730.1,0.0011184,0.0011184,0.0058328,282.77,360.67,1233.3,1236.2,1
1616,3500,0.0015,0.0015,0.01,14.984,8.0215,5507.9,5533.4,0.003,0.003,0.02,1564.4,2467.7,12159,12164,0.0015,0.0015,0.01,-0.40481,-1.4685,5323.9,5348.9,0,0,0,-1508.3,-2478.4,544.79,1122.3,0.0005,0.0005,0.005,-139.49,-142.54,4753.4,4775.3,0.0025,0.0025,0.015,143.93,141.78,6144.6,6158,0.0011184,0.0011184,0.0058328,320.5,405.25,1196.4,1190.5,1
1616,4000,0.0015,0.0015,0.01,16.305,8.724,5872.8,5902.2,0.003,0.003,0.02,1687.1,2654.9,12571,12577,0.0015,0.0015,0.01,-0.55034,-1.3905,5769.2,5784.9,0,0,0,-1616.1,-2630.9,138.63,1053.1,0.0005,0.0005,0.005,-154.01,-157.16,5187.9,5205.6,0.0025,0.0025,0.015,158.64,155.78,6512.1,6527.4,0.0011184,0.0011184,0.0058328,346.84,436.48,1235.9,1221.3,1
1616,4500,0.0015,0.0015,0.01,17.167,9.1813,6111.6,6143.9,0.003,0.003,0.02,1776.2,2777.4,12842,12848,0.0015,0.0015,0.01,-1.1434,-0.51472,6057.5,6079.4,0,0,0,-1686.6,-2735.6,-126.78,1092.4,0.0005,0.0005,0.005,-163.3,-168.49,5450.3,5475.1,0.0025,0.0025,0.015,167.68,165.17,6810.8,6824.4,0.0011184,0.0011184,0.0058328,364.06,456.94,1286.9,1265.6,1
1616,5000,0.0015,0.0015,0.01,17.708,9.4685,6261.8,6296,0.003,0.003,0.02,1832.1,2854.3,13012,13019,0.0015,0.0015,0.01,-1.3585,-0.11297,6220.2,6263.7,0,0,0,-1730.9,-2801.5,-293.56,1149,0.0005,0.0005,0.005,-168.99,-174.38,5602.2,5622.2,0.0025,0.0025,0.015,172.78,170.4,6990.5,7000.6,0.0011184,0.0011184,0.0058328,374.89,469.83,1327.7,1302,1
1616,5500,0.0015,0.0015,0.01,18.039,9.644,6354,6389.3,0.003,0.003,0.02,1866.3,2901.5,13116,13124,0.0015,0.0015,0.01,-1.0432,-0.42415,6348.8,6372.5,0,0,0,-1758.1,-2841.8,-395.89,1128.3,0.0005,0.0005,0.005,-172.06,-177.5,5685.7,5706.8,0.0025,0.0025,0.015,176.61,173.19,7101.1,7109.7,0.0011184,0.0011184,0.0058328,381.53,477.72,1355.7,1327.2,1
