%"N","Time","avg(Temp)","avg(X)","avg(Y)","avg(Z)","avg(radius)","avg(v (0))","avg(v (1))","avg(v (2))","avg(v (Magnitude))","max(Temp)","max(X)","max(Y)","max(Z)","max(radius)","max(v (0))","max(v (1))","max(v (2))","max(v (Magnitude))","med(Temp)","med(X)","med(Y)","med(Z)","med(radius)","med(v (0))","med(v (1))","med(v (2))","med(v (Magnitude))","min(Temp)","min(X)","min(Y)","min(Z)","min(radius)","min(v (0))","min(v (1))","min(v (2))","min(v (Magnitude))","q1(Temp)","q1(X)","q1(Y)","q1(Z)","q1(radius)","q1(v (0))","q1(v (1))","q1(v (2))","q1(v (Magnitude))","q3(Temp)","q3(X)","q3(Y)","q3(Z)","q3(radius)","q3(v (0))","q3(v (1))","q3(v (2))","q3(v (Magnitude))","std(Temp)","std(X)","std(Y)","std(Z)","std(radius)","std(v (0))","std(v (1))","std(v (2))","std(v (Magnitude))","vtkValidPointMask"
1000,500,406.41,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,658.04,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,369.03,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,311.99,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,325.76,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,452.15,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,97.239,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,1000,497.87,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,743.95,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,455.96,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,363.64,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,401.4,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,592.68,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,114.82,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,1500,585.66,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,803.53,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,552.05,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,460.65,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,479.94,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,689.33,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,112.74,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,2000,664.05,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,853.77,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,656.82,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,509.79,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,563.13,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,760.7,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,107.17,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,2500,724.77,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,896.98,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,728.41,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,537.02,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,637.05,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,816.69,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,104.28,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,3000,766.8,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,930.84,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,776.58,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,558.34,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,684.08,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,858.1,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,104.63,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,3500,794.28,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,954.72,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,807.56,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,572.62,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,713.28,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,886.33,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,105.91,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,4000,811.64,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,970.39,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,826.98,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,581.76,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,731.33,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,904.41,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,107.03,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,4500,822.34,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,980.25,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,838.89,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,587.45,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,742.36,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,915.65,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,107.82,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,5000,828.85,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,986.29,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,846.11,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,590.93,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,749,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,922.5,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,108.32,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
