"avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
4.8798,-19.005,4234.6,4670,1548.5,1679.9,39193,39195,1.1223,1.7386,127.74,632.83,-1379.7,-2413.9,-2391.4,1.2583,243.63,338.64,8486.3,8263.9
-13.254,2.6212,4749.4,5204.1,830.5,970.53,29243,29257,1.091,4.2563,416.84,1189.6,-873.35,-1357.2,-2269,16.811,198.88,269.11,7587.8,7289.5
-7.1693,-5.9604,4963,5427.7,562.11,740.39,24091,24106,0.34293,5.2835,1035.9,1716.3,-698.79,-1071.3,-2131.2,15.304,184,236.4,6800,6440
0.99304,-17.22,5081.1,5543.8,464.88,658.9,21388,21399,1.1541,6.204,2070.7,2071.8,-596.32,-927.43,-1989.3,50.63,174.41,215.72,6157,5748.3
-1.0456,-19.945,5160.2,5604.6,413.17,596.72,19321,19330,1.7006,7.3263,3294.2,3295.7,-529.01,-826.53,-1848.2,16.579,161.35,201.58,5628.3,5189.8
-1.6668,-17.69,5217,5630.1,395.95,548.45,17720,17728,0.73022,8.6277,4522.3,4522.6,-479.77,-751.03,-1705.6,100.2,152.7,189.89,5176.1,4727.2
-2.6179,-16.186,5260.9,5619.8,379.79,509.89,16446,16453,-2.0718,6.9501,5492.2,5493,-441.75,-692.52,-1552.2,17.704,145.95,180.65,4766.2,4341.1
-4.787,-15.035,5297.2,5591.4,362.37,477.91,15396,15402,0.02483,7.209,6108,6109.2,-414.32,-645.4,-1371,157.56,140.37,173.59,4380.2,4001.7
-6.2463,-13.563,5326.7,5537.9,345.89,450.63,14504,14510,-1.4206,8.861,6187.8,6188.6,-391.75,-606.1,-1137.2,89.831,135.86,167.51,4005.6,3712.7
-6.2363,-13.046,5348.4,5470.4,330.58,426.89,13729,13735,-1.1708,9.6578,6158.3,6164.1,-371.78,-572.3,-820.44,21.806,131.81,161.37,3634,3453
-5.3118,-13.621,5360.8,5404,316.22,405.66,13040,13046,-3.0315,7.0801,6151.1,6151.7,-361.04,-542.69,-405.97,13.206,127.99,155.08,3262.5,3196.4
-4.3465,-14.511,5363.3,5366.3,302.7,386.4,12418,12423,-4.0478,4.2582,6009.8,6011.8,-349.9,-516.13,80.281,82.433,124.37,148.99,2894.6,2895.6
-3.6212,-15.382,5356.9,5359.7,289.98,368.73,11847,11852,-1.6155,2.5496,5845.1,5847.1,-338.44,-491.95,562.63,563.07,120.98,143.32,2539.1,2540.3
-2.9835,-16.357,5344.2,5346.9,278.14,352.43,11321,11325,0.94813,-2.0511,5678.9,5683.1,-327.4,-469.72,1098.2,1098.5,117.92,138.17,2207.1,2208.2
-2.3354,-17.468,5328.4,5331,267.27,337.45,10837,10842,2.1275,-5.9996,5511.9,5515.9,-317.27,-449.28,1644.1,1644.2,115.28,133.61,1908,1909
-1.7051,-18.599,5312.3,5314.8,260.67,323.81,10396,10401,2.424,-8.6711,5372.6,5374,-308.33,-430.58,2161.1,2161.3,113.12,129.69,1647.8,1648.8
-1.1424,-19.637,5297.7,5300.2,262.46,311.56,9999.8,10004,0.51758,-9.8531,5276.4,5281.7,-300.72,-413.67,2624.4,2624.5,111.42,126.41,1429.4,1430.3
-0.66778,-20.529,5285.6,5288,264.42,300.73,9648.5,9652.4,0.33786,-10.336,5239.6,5241.6,-294.39,-398.61,2954,2955.1,110.13,123.73,1252.8,1253.6
-0.27851,-21.269,5275.9,5278.3,270.23,291.32,9342.3,9346,0.57815,-10.58,5207.2,5212.3,-289.24,-385.39,3200.8,3201.9,109.18,121.58,1115.7,1116.4
0.036732,-21.869,5268.3,5270.7,280.09,283.26,9079.3,9082.9,0.023095,-10.76,5162.8,5164.4,-285.1,-373.98,3376.3,3377.6,108.5,119.87,1013.8,1014.4
0.29065,-22.352,5262.6,5265,288.39,276.44,8856.6,8860.1,-0.46549,-11.553,5160.9,5164.8,-281.8,-364.26,3521.5,3522.9,108.01,118.52,941.49,942.03
