%"avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
-0.43107,-0.43107,5782.9,5782.9,17.206,17.206,13548,13548,-0.068284,-0.068284,4275.1,4275.1,-23.013,-23.013,2261.2,2261.2,3.5996,3.5996,3665.6,3665.6
-0.29354,-0.29354,6111,6111,11.979,11.979,9922.7,9922.7,-0.013963,-0.013963,5295.8,5295.8,-16.1,-16.1,3823.1,3823.1,2.5695,2.5695,2184.1,2184.1
-0.21044,-0.21044,6218.8,6218.8,10.019,10.019,8464.3,8464.3,0.04767,0.04767,6103.4,6103.4,-13.616,-13.616,4381.4,4381.4,2.2234,2.2234,1460.3,1460.3
-0.25166,-0.25166,6254,6254,9.1278,9.1278,7714.9,7714.9,-0.026438,-0.026438,6329,6329,-12.264,-12.264,4700.5,4700.5,2.0671,2.0671,1030.5,1030.5
-0.25441,-0.25441,6261.9,6261.9,8.5784,8.5784,7270.9,7270.9,-0.032055,-0.032055,6367.9,6367.9,-11.509,-11.509,5043,5043.1,2.0137,2.0137,740.21,740.21
-0.24984,-0.24984,6260.5,6260.5,8.216,8.216,6982.1,6982.1,-0.024895,-0.024895,6352.9,6352.9,-11.033,-11.033,5352.7,5352.7,1.9999,1.9999,533.47,533.47
-0.28564,-0.28564,6256.8,6256.8,8.0039,8.0039,6783.6,6783.6,-0.084633,-0.084633,6327.1,6327.1,-10.663,-10.663,5601.5,5601.5,2.0007,2.0007,383.96,383.96
-0.27622,-0.27622,6253.1,6253.1,7.8205,7.8205,6643.2,6643.2,-0.062528,-0.062528,6303.6,6303.6,-10.446,-10.446,5790.4,5790.4,2.0057,2.0057,275.66,275.66
-0.26779,-0.26779,6250.2,6250.2,7.6894,7.6894,6542.7,6542.7,-0.046434,-0.046434,6285.2,6285.2,-10.291,-10.291,5915.1,5915.1,2.0113,2.0113,197.44,197.44
-0.26163,-0.26163,6248,6248,7.5953,7.5953,6470.5,6470.5,-0.035246,-0.035246,6271.6,6271.6,-10.18,-10.18,6005.2,6005.2,2.0163,2.0163,141.2,141.2
-0.25717,-0.25717,6246.4,6246.4,7.5277,7.5277,6418.6,6418.6,-0.027696,-0.027696,6261.8,6261.8,-10.1,-10.1,6070,6070,2.0202,2.0202,100.95,100.95
-0.25395,-0.25395,6245.3,6245.3,7.4791,7.4791,6381.5,6381.5,-0.021586,-0.021586,6254.8,6254.8,-10.042,-10.042,6116.4,6116.4,2.0232,2.0232,72.33,72.33
-0.25163,-0.25163,6244.5,6244.5,7.4444,7.4444,6354.8,6354.8,-0.018596,-0.018596,6249.8,6249.8,-10.001,-10.001,6149.6,6149.6,2.0254,2.0254,52.159,52.16
-0.24996,-0.24996,6243.9,6243.9,7.4196,7.4196,6335.8,6335.8,-0.015802,-0.015802,6246.3,6246.3,-9.9718,-9.9718,6173.2,6173.2,2.027,2.027,38.152,38.153
-0.25383,-0.25383,6243.5,6243.5,7.3877,7.3877,6322.3,6322.3,-0.056609,-0.056609,6244.1,6244.1,-9.9304,-9.9304,6190.1,6190.1,2.0299,2.0299,28.688,28.689
-0.24871,-0.24871,6243.2,6243.2,7.3888,7.3888,6312.6,6312.6,-0.012873,-0.012873,6245.4,6245.4,-9.9347,-9.9347,6202,6202,2.029,2.029,22.535,22.536
-0.25029,-0.25029,6243,6243,7.3989,7.3989,6305.9,6305.9,-0.051582,-0.051582,6243.2,6243.2,-9.9351,-9.9351,6210.3,6210.3,2.0289,2.0289,18.877,18.878
-0.24879,-0.24879,6242.9,6242.9,7.375,7.375,6301.3,6301.3,-0.012626,-0.012626,6241.6,6241.6,-9.9163,-9.9163,6216.2,6216.2,2.03,2.03,16.796,16.798
-0.25024,-0.25024,6242.8,6242.8,7.3829,7.3829,6297.8,6297.8,-0.043819,-0.043819,6240.2,6240.2,-9.9181,-9.9181,6220.5,6220.5,2.0296,2.0296,15.651,15.652
