"Time","avg(qr)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(qr)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(qr)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(qr)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(qr)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(qr)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(qr)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
50,0,-0.87728,-0.87728,3092.7,3092.7,0,38.973,38.973,9104.2,9104.4,0,-0.026867,-0.026867,2069.5,2069.5,0,-51.689,-51.689,512.24,512.24,0,-0.25912,-0.25912,876.22,876.22,0,0.00079154,0.00079154,4478.1,4478.1,0,8.1132,8.1132,2690,2690
100,0,-0.64941,-0.64941,3221.2,3221.2,0,27.327,27.327,6533.7,6533.8,0,-0.11966,-0.11966,2563.5,2563.5,0,-35.947,-35.947,1428,1428,0,-0.30164,-0.30164,1758.2,1758.2,0,-0.037313,-0.037313,4763.4,4763.4,0,5.6765,5.6765,1720.4,1720.4
150,0,-0.52953,-0.52953,3274.2,3274.2,0,22.442,22.442,5421,5421.1,0,-0.079424,-0.079424,2826.7,2826.7,0,-29.557,-29.557,1981.7,1981.7,0,-0.1969,-0.1969,2156.5,2156.5,0,-0.028417,-0.028417,4475,4475,0,4.6826,4.6826,1218.2,1218.2
200,0,-0.46893,-0.46893,3299.6,3299.6,0,19.816,19.816,4812.4,4812.5,0,-0.054043,-0.054043,3171.5,3171.5,0,-26.119,-26.119,2204.4,2204.4,0,-0.17744,-0.17744,2330.6,2330.7,0,-0.021396,-0.021396,4218.6,4218.6,0,4.1785,4.1785,925.59,925.6
250,0,-0.4389,-0.4389,3311.6,3311.6,0,18.226,18.226,4440.3,4440.3,0,-0.040941,-0.040941,3314.9,3314.9,0,-24.035,-24.035,2298.8,2298.8,0,-0.1738,-0.1738,2573.5,2573.5,0,-0.011746,-0.011746,4023.9,4023.9,0,3.911,3.911,730.57,730.57
300,0,-0.42498,-0.42498,3316.5,3316.5,0,17.18,17.18,4193.5,4193.6,0,-0.035076,-0.035076,3368,3368,0,-22.663,-22.663,2429.9,2429.9,0,-0.17599,-0.17599,2748.5,2748.5,0,-0.0066638,-0.0066638,3876.1,3876.1,0,3.7719,3.7719,586.12,586.13
350,0,-0.41941,-0.41941,3318,3318,0,16.445,16.445,4018.9,4019,0,-0.029297,-0.029297,3381.1,3381.1,0,-21.698,-21.698,2566.3,2566.3,0,-0.17913,-0.17913,2873.1,2873.1,0,-0.0051473,-0.0051473,3761.5,3761.5,0,3.7044,3.7044,472.75,472.75
400,0,-0.41789,-0.41789,3317.9,3317.9,0,15.901,15.901,3889.2,3889.3,0,-0.023965,-0.023965,3377.6,3377.6,0,-20.984,-20.984,2692.6,2692.6,0,-0.18251,-0.18251,2964.5,2964.5,0,-0.0048142,-0.0048142,3671,3671,0,3.6761,3.6761,381.53,381.53
450,0,-0.41815,-0.41815,3317.1,3317.1,0,15.484,15.484,3789.5,3789.6,0,-0.021942,-0.021942,3367.9,3367.9,0,-20.436,-20.436,2802.7,2802.7,0,-0.18568,-0.18568,3033.8,3033.8,0,-0.0045219,-0.0045219,3598.6,3598.6,0,3.6681,3.6681,307.59,307.59
500,0,-0.4306,-0.4306,3316.2,3316.2,0,15.147,15.147,3711,3711.1,0,-0.088103,-0.088103,3357,3357,0,-19.97,-19.97,2895.7,2895.7,0,-0.19845,-0.19845,3087.9,3087.9,0,0.069377,0.069377,3540.4,3540.4,0,3.6693,3.6693,247.63,247.63
