"N","Time","avg(E)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","avg(radHeatFlux1 (0))","avg(radHeatFlux1 (1))","avg(radHeatFlux1 (2))","avg(radHeatFlux1 (Magnitude))","avg(radHeatFlux2 (0))","avg(radHeatFlux2 (1))","avg(radHeatFlux2 (2))","avg(radHeatFlux2 (Magnitude))","avg(radHeatFlux3 (0))","avg(radHeatFlux3 (1))","avg(radHeatFlux3 (2))","avg(radHeatFlux3 (Magnitude))","max(E)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","max(radHeatFlux1 (0))","max(radHeatFlux1 (1))","max(radHeatFlux1 (2))","max(radHeatFlux1 (Magnitude))","max(radHeatFlux2 (0))","max(radHeatFlux2 (1))","max(radHeatFlux2 (2))","max(radHeatFlux2 (Magnitude))","max(radHeatFlux3 (0))","max(radHeatFlux3 (1))","max(radHeatFlux3 (2))","max(radHeatFlux3 (Magnitude))","med(E)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","med(radHeatFlux1 (0))","med(radHeatFlux1 (1))","med(radHeatFlux1 (2))","med(radHeatFlux1 (Magnitude))","med(radHeatFlux2 (0))","med(radHeatFlux2 (1))","med(radHeatFlux2 (2))","med(radHeatFlux2 (Magnitude))","med(radHeatFlux3 (0))","med(radHeatFlux3 (1))","med(radHeatFlux3 (2))","med(radHeatFlux3 (Magnitude))","min(E)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","min(radHeatFlux1 (0))","min(radHeatFlux1 (1))","min(radHeatFlux1 (2))","min(radHeatFlux1 (Magnitude))","min(radHeatFlux2 (0))","min(radHeatFlux2 (1))","min(radHeatFlux2 (2))","min(radHeatFlux2 (Magnitude))","min(radHeatFlux3 (0))","min(radHeatFlux3 (1))","min(radHeatFlux3 (2))","min(radHeatFlux3 (Magnitude))"
180,50,1.1674e+07,-0.17443,-0.17443,10531,10531,-0.17443,-0.17443,10531,10531,-2.7863e-12,3.5514e-12,5.0104e-13,4.2789e-11,0.17443,0.17443,-10531,10531,2.222e+07,6.4879,6.4879,17928,17928,6.4879,6.4879,17928,17928,3.2597e-11,4.1191e-11,1.0896e-10,1.3289e-10,8.7565,8.7565,-7036.1,17928,1.0491e+07,-0.039347,-0.039347,8810.8,8810.8,-0.039347,-0.039347,8810.8,8810.8,0,0,0,3.3496e-11,0.039347,0.039347,-8810.8,8810.8,5.0832e+06,-8.7565,-8.7565,7036.1,7036.1,-8.7565,-8.7565,7036.1,7036.1,-5.1657e-11,-3.8292e-11,-1.3197e-10,0,-6.4879,-6.4879,-17928,7036.1
180,100,1.3148e+07,-0.12715,-0.12715,11078,11078,-0.12715,-0.12715,11078,11078,-3.1916e-12,3.9757e-12,6.1584e-13,4.64e-11,0.12715,0.12715,-11078,11078,2.3984e+07,4.5391,4.5391,14111,14111,4.5391,4.5391,14111,14111,3.5604e-11,4.7631e-11,1.1579e-10,1.3864e-10,6.251,6.251,-8847.7,14111,1.2414e+07,-0.0084923,-0.0084923,10804,10804,-0.0084923,-0.0084923,10804,10804,0,0,0,3.8387e-11,0.0084923,0.0084923,-10804,10804,4.5368e+06,-6.251,-6.251,8847.7,8847.7,-6.251,-6.251,8847.7,8847.7,-5.889e-11,-4.4147e-11,-1.3769e-10,0,-4.5391,-4.5391,-14111,8847.7
180,150,1.3939e+07,-0.13478,-0.13478,11194,11194,-0.13478,-0.13478,11194,11194,-3.4321e-12,4.1669e-12,6.7846e-13,4.9195e-11,0.13478,0.13478,-11194,11194,2.4511e+07,4.0275,4.0275,12695,12695,4.0275,4.0275,12695,12695,3.6729e-11,5.092e-11,1.2341e-10,1.4697e-10,5.4652,5.4652,-9593.2,12695,1.3565e+07,-0.031318,-0.031318,11262,11262,-0.031318,-0.031318,11262,11262,0,0,0,4.1094e-11,0.031318,0.031318,-11262,11262,4.5601e+06,-5.4652,-5.4652,9593.2,9593.2,-5.4652,-5.4652,9593.2,9593.2,-6.1971e-11,-4.7358e-11,-1.4596e-10,0,-4.0275,-4.0275,-12695,9593.2
180,200,1.4395e+07,-0.1409,-0.1409,11210,11210,-0.1409,-0.1409,11210,11210,-3.5706e-12,4.2667e-12,7.1282e-13,5.1062e-11,0.1409,0.1409,-11210,11210,2.4741e+07,3.8133,3.8133,12034,12034,3.8133,3.8133,12034,12034,3.7255e-11,5.2665e-11,1.2904e-10,1.5352e-10,5.1677,5.1677,-10162,12034,1.4199e+07,-0.031664,-0.031664,11305,11305,-0.031664,-0.031664,11305,11305,0,0,0,4.243e-11,0.031664,0.031664,-11305,11305,4.7053e+06,-5.1677,-5.1677,10162,10162,-5.1677,-5.1677,10162,10162,-6.348e-11,-4.9122e-11,-1.5247e-10,0,-3.8133,-3.8133,-12034,10162
180,250,1.4664e+07,-0.13238,-0.13238,11204,11204,-0.13238,-0.13238,11204,11204,-3.6514e-12,4.3232e-12,7.3248e-13,5.2242e-11,0.13238,0.13238,-11204,11204,2.4859e+07,3.676,3.676,11684,11684,3.676,3.676,11684,11684,3.7535e-11,5.3645e-11,1.3272e-10,1.5793e-10,5.0078,5.0078,-10556,11684,1.4556e+07,-0.019421,-0.019421,11272,11272,-0.019421,-0.019421,11272,11272,0,0,0,4.3178e-11,0.019421,0.019421,-11272,11272,4.8417e+06,-5.0078,-5.0078,10556,10557,-5.0078,-5.0078,10556,10557,-6.4299e-11,-5.0128e-11,-1.5684e-10,0,-3.676,-3.676,-11684,10557
180,300,1.4825e+07,-0.15708,-0.15708,11195,11195,-0.15708,-0.15708,11195,11195,-3.6991e-12,4.3563e-12,7.4401e-13,5.2966e-11,0.15708,0.15708,-11195,11195,2.4926e+07,3.6365,3.6365,11485,11485,3.6365,3.6365,11485,11485,3.7693e-11,5.4214e-11,1.35e-10,1.607e-10,4.8769,4.8769,-10809,11485,1.4763e+07,-0.043581,-0.043581,11238,11238,-0.043581,-0.043581,11238,11238,0,0,0,4.3612e-11,0.043581,0.043581,-11238,11238,4.9405e+06,-4.8769,-4.8769,10809,10809,-4.8769,-4.8769,10809,10809,-6.4767e-11,-5.0716e-11,-1.596e-10,0,-3.6365,-3.6365,-11485,10809
180,350,1.4922e+07,-0.093173,-0.093173,11189,11189,-0.093173,-0.093173,11189,11189,-3.7275e-12,4.3759e-12,7.5086e-13,5.3405e-11,0.093173,0.093173,-11189,11189,2.4964e+07,3.5193,3.5193,11369,11369,3.5193,3.5193,11369,11369,3.7786e-11,5.4549e-11,1.3639e-10,1.624e-10,4.9076,4.9076,-10965,11369,1.4885e+07,0.0047471,0.0047471,11214,11214,0.0047471,0.0047471,11214,11214,0,0,0,4.3868e-11,-0.0047471,-0.0047471,-11214,11214,5.0051e+06,-4.9076,-4.9076,10965,10965,-4.9076,-4.9076,10965,10965,-6.504e-11,-5.1063e-11,-1.6129e-10,0,-3.5193,-3.5193,-11369,10965
180,400,1.4979e+07,-0.15122,-0.15122,11185,11185,-0.15122,-0.15122,11185,11185,-3.7443e-12,4.3876e-12,7.5491e-13,5.3667e-11,0.15122,0.15122,-11185,11185,2.4987e+07,3.5743,3.5743,11301,11301,3.5743,3.5743,11301,11301,3.784e-11,5.4747e-11,1.3722e-10,1.6342e-10,4.8165,4.8165,-11053,11301,1.4958e+07,-0.041882,-0.041882,11199,11199,-0.041882,-0.041882,11199,11199,0,0,0,4.4019e-11,0.041882,0.041882,-11199,11199,5.0453e+06,-4.8165,-4.8165,11053,11053,-4.8165,-4.8165,11053,11053,-6.5202e-11,-5.1269e-11,-1.623e-10,0,-3.5743,-3.5743,-11301,11053
180,450,1.5013e+07,-0.1265,-0.1265,11183,11183,-0.1265,-0.1265,11183,11183,-3.7543e-12,4.3945e-12,7.5734e-13,5.3824e-11,0.1265,0.1265,-11183,11183,2.5e+07,3.5103,3.5103,11261,11261,3.5103,3.5103,11261,11261,3.7873e-11,5.4865e-11,1.3772e-10,1.6403e-10,4.8202,4.8202,-11102,11261,1.5e+07,-0.0097493,-0.0097493,11190,11190,-0.0097493,-0.0097493,11190,11190,0,0,0,4.4109e-11,0.0097493,0.0097493,-11190,11190,5.0698e+06,-4.8202,-4.8202,11102,11102,-4.8202,-4.8202,11102,11102,-6.5298e-11,-5.1391e-11,-1.6291e-10,0,-3.5103,-3.5103,-11261,11102
180,500,1.5033e+07,-0.12381,-0.12381,11181,11181,-0.12381,-0.12381,11181,11181,-3.7602e-12,4.3986e-12,7.5873e-13,5.3916e-11,0.12381,0.12381,-11181,11181,2.5008e+07,3.4769,3.4769,11237,11237,3.4769,3.4769,11237,11237,3.7892e-11,5.4934e-11,1.3801e-10,1.6439e-10,4.8039,4.8039,-11131,11237,1.5026e+07,-0.0028578,-0.0028578,11185,11185,-0.0028578,-0.0028578,11185,11185,0,0,0,4.4162e-11,0.0028578,0.0028578,-11185,11185,5.0846e+06,-4.8039,-4.8039,11131,11131,-4.8039,-4.8039,11131,11131,-6.5355e-11,-5.1463e-11,-1.6326e-10,0,-3.4769,-3.4769,-11237,11131
