"N","Time","avg(qr)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(qr)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(qr)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(qr)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(qr)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(qr)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(qr)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
180,50,0,-0.020851,-0.020851,46509,46509,0,0.096294,0.096294,47656,47656,0,-0.023939,-0.023939,46480,46480,0,-0.18864,-0.18864,45461,45461,0,-0.046986,-0.046986,45924,45924,0,0.0050181,0.0050181,47079,47079,0,0.045278,0.045278,668.35,668.35,1
180,100,0,-0.005725,-0.005725,46512,46512,0,0.28121,0.28121,47754,47754,0,-0.0017436,-0.0017436,46483,46483,0,-0.37422,-0.37422,45368,45368,0,-0.014748,-0.014748,45877,45877,0,0.0083272,0.0083272,47134,47134,0,0.059191,0.059191,727.07,727.07,1
180,150,0,-0.0075269,-0.0075269,46516,46516,0,0.25048,0.25048,47686,47686,0,0.00065838,0.00065838,46489,46489,0,-0.35425,-0.35425,45436,45436,0,-0.011989,-0.011989,45917,45917,0,0.0056325,0.0056325,47102,47102,0,0.057928,0.057928,685.72,685.72,1
180,200,0,-0.012666,-0.012666,46519,46519,0,0.26114,0.26114,47620,47620,0,-0.0085459,-0.0085459,46494,46494,0,-0.34222,-0.34222,45502,45502,0,-0.021314,-0.021314,45955,45955,0,0.0036508,0.0036508,47071,47071,0,0.05763,0.05763,645.81,645.81,1
180,250,0,-0.00015298,-0.00015298,46522,46522,0,0.22606,0.22606,47557,47557,0,0.0039733,0.0039733,46498,46498,0,-0.35087,-0.35087,45566,45566,0,-0.0059531,-0.0059531,45992,45992,0,0.011596,0.011596,47041,47041,0,0.050993,0.050993,607.15,607.15,1
180,300,0,-0.00072722,-0.00072722,46525,46525,0,0.21559,0.21559,47496,47496,0,0.0042347,0.0042347,46503,46503,0,-0.33612,-0.33612,45627,45627,0,-0.0057354,-0.0057354,46027,46027,0,0.011963,0.011963,47013,47013,0,0.048757,0.048757,569.85,569.85,1
180,350,0,-0.00079246,-0.00079246,46528,46528,0,0.20462,0.20462,47438,47438,0,0.0034921,0.0034921,46508,46508,0,-0.31947,-0.31947,45686,45686,0,-0.0062997,-0.0062997,46062,46062,0,0.010922,0.010922,46985,46985,0,0.046362,0.046362,534.03,534.03,1
180,400,0,1.7396e-05,1.7396e-05,46531,46531,0,0.19377,0.19377,47382,47382,0,0.0036648,0.0036648,46512,46512,0,-0.30337,-0.30337,45742,45742,0,-0.0052783,-0.0052783,46094,46094,0,0.010603,0.010603,46958,46958,0,0.04405,0.04405,499.73,499.73,1
180,450,0,-8.2985e-06,-8.2984e-06,46534,46534,0,0.18199,0.18199,47328,47328,0,0.0037778,0.0037778,46517,46517,0,-0.2865,-0.2865,45796,45796,0,-0.0049694,-0.0049694,46126,46126,0,0.010604,0.010604,46933,46933,0,0.041639,0.041639,467.01,467.01,1
180,500,0,0.00017994,0.00017994,46536,46536,0,0.17105,0.17105,47277,47277,0,0.0035625,0.0035625,46520,46520,0,-0.26948,-0.26948,45847,45847,0,-0.0046436,-0.0046436,46156,46156,0,0.0097945,0.0097945,46909,46909,0,0.039177,0.039177,435.89,435.89,1
