"avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
-53.574,-6.7859,4785.1,5324.4,1454.3,2282.6,46476,46479,-4.6742,-0.049245,205.33,828.91,-2163.9,-2597.6,-2791.9,4.082,351.58,437.87,10354,10102
-35.925,-6.3622,5505.6,6048,1719.5,1744.8,39287,39299,-5.4006,1.1587,390.12,1093,-2186.9,-2401.4,-2735.9,17.105,371.46,441.42,10136,9836.9
-37.355,2.91,5899.1,6442.3,1692.7,1659.1,38991,38998,-9.2864,2.6734,680.79,1572.8,-1881.3,-2153.7,-2672.1,5.5544,354.36,405.24,9553.6,9209.9
-39.891,3.0064,6111,6654.7,1475.4,1499.2,36613,36618,-14.26,3.9477,1103.3,1954.5,-1595.6,-2013.9,-2600.8,34.006,327.3,377.18,8921.3,8535.8
-42.157,2.1074,6242.5,6783.7,1310.8,1362.9,33717,33723,-20.551,5.725,1684.9,2269,-1402.3,-1869.8,-2608.7,59.96,306.27,353.37,8351,7929.1
-44.046,3.6046,6333.3,6866.3,1193.3,1254.5,31220,31225,-23.055,8.6914,2416.1,2589.3,-1266.7,-1736.9,-2615.5,15.911,291.46,332.93,7855.2,7404.4
-44.694,5.5915,6400,6921.7,1103.6,1166.9,29146,29152,-25.528,7.8919,3256,3258.3,-1164.7,-1622.1,-2602.4,30.996,281.08,316.42,7420.4,6946.6
-43.842,6.7683,6450.9,6956.9,1032,1095.1,27413,27418,-26.296,7.7729,4130.2,4132.8,-1088.8,-1525.4,-2565.6,126.06,272.51,303.35,7031.8,6541.6
-41.625,7.1271,6490.7,6972.4,972.82,1034.7,25941,25946,-28.45,6.9267,5022.1,5042.7,-1030.3,-1443.6,-2501.8,89.755,264.49,292.77,6677.8,6183
-38.544,7.1846,6522.6,6970.8,922.58,982.97,24673,24677,-29.061,5.587,5980.5,5992.8,-979.89,-1373.1,-2407.6,19.215,257.1,284.04,6350,5864.1
-35.16,7.3595,6548.5,6961.7,879.18,937.97,23564,23569,-27.896,4.8723,6630.3,6635.1,-935.83,-1311.6,-2279.1,79.041,250.69,276.53,6041.9,5570.6
-31.894,7.6763,6569.8,6940.2,841.13,898.33,22584,22588,-28.299,3.8077,7145,7147.9,-896.89,-1257.2,-2110.5,202.32,245.25,269.6,5748.1,5304.9
-28.999,7.9079,6587.2,6902.7,807.35,863,21708,21712,-28.09,4.8887,7309,7309.4,-862.09,-1208.6,-1894.8,39.371,240.56,262.88,5463.7,5069.5
-26.606,7.869,6600.9,6859.5,777.02,831.17,20917,20921,-25.685,5.7664,7397,7399.6,-830.67,-1164.7,-1623.2,58.009,236.45,256.22,5184.4,4847.8
-24.723,7.5771,6611.3,6811.7,749.5,802.21,20196,20200,-23.681,4.353,7484.9,7487,-802.03,-1124.6,-1286,145.52,232.74,249.67,4907.3,4636.2
-23.281,7.1614,6618.5,6752.1,724.29,775.6,19532,19536,-22.749,5.8365,7378.8,7386.1,-775.66,-1087.7,-933.98,23.852,229.23,243.3,4630.7,4445.2
-22.191,6.7179,6622.5,6702.4,700.97,750.94,18915,18919,-19.499,5.491,7323.3,7330.4,-751.18,-1053.4,-635.05,101.69,225.78,237.19,4354.3,4242.4
-21.366,6.2758,6623.3,6654.5,679.24,727.91,18339,18342,-21.724,4.4323,7254.9,7266.1,-728.28,-1021.3,-302.38,94.976,222.33,231.37,4079.1,4040.6
