"N","Time","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","avg(radHeatFlux1 (0))","avg(radHeatFlux1 (1))","avg(radHeatFlux1 (2))","avg(radHeatFlux1 (Magnitude))","avg(radHeatFlux2 (0))","avg(radHeatFlux2 (1))","avg(radHeatFlux2 (2))","avg(radHeatFlux2 (Magnitude))","avg(radHeatFlux3 (0))","avg(radHeatFlux3 (1))","avg(radHeatFlux3 (2))","avg(radHeatFlux3 (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","max(radHeatFlux1 (0))","max(radHeatFlux1 (1))","max(radHeatFlux1 (2))","max(radHeatFlux1 (Magnitude))","max(radHeatFlux2 (0))","max(radHeatFlux2 (1))","max(radHeatFlux2 (2))","max(radHeatFlux2 (Magnitude))","max(radHeatFlux3 (0))","max(radHeatFlux3 (1))","max(radHeatFlux3 (2))","max(radHeatFlux3 (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","med(radHeatFlux1 (0))","med(radHeatFlux1 (1))","med(radHeatFlux1 (2))","med(radHeatFlux1 (Magnitude))","med(radHeatFlux2 (0))","med(radHeatFlux2 (1))","med(radHeatFlux2 (2))","med(radHeatFlux2 (Magnitude))","med(radHeatFlux3 (0))","med(radHeatFlux3 (1))","med(radHeatFlux3 (2))","med(radHeatFlux3 (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","min(radHeatFlux1 (0))","min(radHeatFlux1 (1))","min(radHeatFlux1 (2))","min(radHeatFlux1 (Magnitude))","min(radHeatFlux2 (0))","min(radHeatFlux2 (1))","min(radHeatFlux2 (2))","min(radHeatFlux2 (Magnitude))","min(radHeatFlux3 (0))","min(radHeatFlux3 (1))","min(radHeatFlux3 (2))","min(radHeatFlux3 (Magnitude))"
180,50,-0.0031233,-0.0031233,667.87,668,-0.0031233,-0.0031233,667.87,668,7.7466e-14,3.7287e-13,4.7294e-14,2.3844e-12,0.0031233,0.0031233,-667.87,668,118.86,118.86,3818.2,3820.1,118.86,118.86,3818.2,3820.1,4.7128e-12,4.7128e-12,6.047e-12,7.3319e-12,118.83,118.83,-0.53,3820.1,-0.00090515,-0.00090515,155.7,155.7,-0.00090515,-0.00090515,155.7,155.7,0,0,0,2.1992e-12,0.00090515,0.00090515,-155.7,155.7,-118.83,-118.83,0.53,0.53,-118.83,-118.83,0.53,0.53,-1.7323e-12,-1.5427e-12,-7.2955e-12,0,-118.86,-118.86,-3818.2,0.53
180,100,-0.0014297,-0.0014297,679.76,679.84,-0.0014297,-0.0014297,679.76,679.84,1.0658e-13,4.3089e-13,6.7743e-14,2.4279e-12,0.0014297,0.0014297,-679.76,679.84,82.46,82.46,2758.5,2759.8,82.46,82.46,2758.5,2759.8,5.0496e-12,5.0496e-12,5.6883e-12,7.1412e-12,82.449,82.449,-19.34,2759.8,-0.0015681,-0.0015681,356.3,356.3,-0.0015681,-0.0015681,356.3,356.3,0,0,0,2.2037e-12,0.0015681,0.0015681,-356.3,356.3,-82.449,-82.449,19.34,19.34,-82.449,-82.449,19.34,19.34,-2.2535e-12,-1.5391e-12,-6.6124e-12,0,-82.46,-82.46,-2758.5,19.34
180,150,-0.0007944,-0.0007944,685.07,685.14,-0.0007944,-0.0007944,685.07,685.14,1.1605e-13,4.7336e-13,7.9606e-14,2.4866e-12,0.0007944,0.0007944,-685.07,685.14,66.954,66.954,2267.7,2268.8,66.954,66.954,2267.7,2268.8,5.1988e-12,5.1988e-12,5.3728e-12,7.3522e-12,66.947,66.947,-71.771,2268.8,-0.001516,-0.001516,439.21,439.21,-0.001516,-0.001516,439.21,439.21,0,0,0,2.2083e-12,0.001516,0.001516,-439.21,439.21,-66.947,-66.947,71.771,71.771,-66.947,-66.947,71.771,71.771,-2.6864e-12,-1.536e-12,-6.0953e-12,0,-66.954,-66.954,-2267.7,71.771
180,200,-0.00052715,-0.00052715,688.24,688.3,-0.00052715,-0.00052715,688.24,688.3,1.186e-13,5.062e-13,8.7948e-14,2.5476e-12,0.00052715,0.00052715,-688.24,688.3,57.833,57.833,1970.6,1971.5,57.833,57.833,1970.6,1971.5,5.2878e-12,5.2878e-12,6.0145e-12,7.478e-12,57.828,57.828,-145.1,1971.5,-0.0012725,-0.0012725,487.48,487.48,-0.0012725,-0.0012725,487.48,487.48,0,0,0,2.2148e-12,0.0012725,0.0012725,-487.48,487.48,-57.828,-57.828,145.1,145.1,-57.828,-57.828,145.1,145.1,-3.0073e-12,-1.5465e-12,-5.7128e-12,0,-57.833,-57.833,-1970.6,145.1
180,250,-0.00038639,-0.00038639,690.4,690.45,-0.00038639,-0.00038639,690.4,690.45,1.1822e-13,5.3247e-13,9.4914e-14,2.6073e-12,0.00038639,0.00038639,-690.4,690.45,51.661,51.661,1766.6,1767.4,51.661,51.661,1766.6,1767.4,5.3483e-12,5.3483e-12,6.5002e-12,7.5637e-12,51.657,51.657,-214.32,1767.4,-0.0010215,-0.0010215,508.8,508.8,-0.0010215,-0.0010215,508.8,508.8,0,0,0,2.2118e-12,0.0010215,0.0010215,-508.8,508.8,-51.657,-51.657,214.32,214.32,-51.657,-51.657,214.32,214.32,-3.2501e-12,-1.5748e-12,-5.4274e-12,0,-51.661,-51.661,-1766.6,214.32
180,300,-0.00029917,-0.00029917,691.98,692.03,-0.00029917,-0.00029917,691.98,692.03,1.1652e-13,5.5403e-13,1.0072e-13,2.6649e-12,0.00029917,0.00029917,-691.98,692.03,47.15,47.15,1616.3,1617,47.15,47.15,1616.3,1617,5.3928e-12,5.3928e-12,6.8783e-12,7.8801e-12,47.147,47.147,-273.73,1617,-0.00082456,-0.00082456,526.8,526.8,-0.00082456,-0.00082456,526.8,526.8,0,0,0,2.3296e-12,0.00082456,0.00082456,-526.8,526.8,-47.147,-47.147,273.73,273.73,-47.147,-47.147,273.73,273.73,-3.4392e-12,-1.6176e-12,-5.3522e-12,0,-47.15,-47.15,-1616.3,273.73
180,350,-0.00024056,-0.00024056,693.18,693.22,-0.00024056,-0.00024056,693.18,693.22,1.1424e-13,5.7205e-13,1.054e-13,2.7204e-12,0.00024056,0.00024056,-693.18,693.22,43.696,43.696,1500.6,1501.2,43.696,43.696,1500.6,1501.2,5.4269e-12,5.4269e-12,7.1795e-12,8.2251e-12,43.694,43.694,-323.58,1501.2,-0.00068195,-0.00068195,543.3,543.3,-0.00068195,-0.00068195,543.3,543.3,0,0,0,2.4072e-12,0.00068195,0.00068195,-543.3,543.3,-43.694,-43.694,323.58,323.58,-43.694,-43.694,323.58,323.58,-3.5897e-12,-1.6695e-12,-5.6753e-12,0,-43.696,-43.696,-1500.6,323.58
180,400,-0.0001949,-0.0001949,694.11,694.15,-0.0001949,-0.0001949,694.11,694.15,1.1175e-13,5.8731e-13,1.0908e-13,2.7738e-12,0.0001949,0.0001949,-694.11,694.15,40.969,40.969,1408.9,1409.5,40.969,40.969,1408.9,1409.5,5.4539e-12,5.4539e-12,7.4237e-12,8.5049e-12,40.967,40.967,-358.49,1409.5,-0.00045642,-0.00045642,559.98,560.1,-0.00045642,-0.00045642,559.98,560.1,0,0,0,2.4192e-12,0.00045642,0.00045642,-559.98,560.1,-40.967,-40.967,358.49,358.49,-40.967,-40.967,358.49,358.49,-3.7118e-12,-1.726e-12,-5.9464e-12,0,-40.969,-40.969,-1408.9,358.49
180,450,-0.00016215,-0.00016215,694.84,694.87,-0.00016215,-0.00016215,694.84,694.87,1.0922e-13,6.0038e-13,1.1193e-13,2.8252e-12,0.00016215,0.00016215,-694.84,694.87,38.769,38.769,1334.7,1335.3,38.769,38.769,1334.7,1335.3,5.4756e-12,5.4756e-12,7.6246e-12,8.7351e-12,38.768,38.768,-384.57,1335.3,-0.00032511,-0.00032511,595.2,595.2,-0.00032511,-0.00032511,595.2,595.2,0,0,0,2.4767e-12,0.00032511,0.00032511,-595.2,595.2,-38.768,-38.768,384.57,384.57,-38.768,-38.768,384.57,384.57,-3.8123e-12,-1.784e-12,-6.1754e-12,0,-38.769,-38.769,-1334.7,384.57
180,500,-0.00013463,-0.00013463,695.41,695.44,-0.00013463,-0.00013463,695.41,695.44,1.0675e-13,6.1169e-13,1.141e-13,2.8747e-12,0.00013463,0.00013463,-695.41,695.44,36.964,36.964,1273.7,1274.3,36.964,36.964,1273.7,1274.3,5.4935e-12,5.4935e-12,7.7921e-12,8.927e-12,36.963,36.963,-402.34,1274.3,-0.0002698,-0.0002698,625.86,625.86,-0.0002698,-0.0002698,625.86,625.86,0,0,0,2.545e-12,0.0002698,0.0002698,-625.86,625.86,-36.963,-36.963,402.34,402.34,-36.963,-36.963,402.34,402.34,-3.8961e-12,-1.8414e-12,-6.3701e-12,0,-36.964,-36.964,-1273.7,402.34
