%"avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
0.0010223,0.0010223,5173.6,5173.6,30.297,30.297,18956,18956,0.0019497,0.0019497,3106.8,3106.8,-30.332,-30.332,884.16,884.16,5.0521,5.0521,5106.7,5106.7
-0.023878,-0.023878,5661.4,5661.4,19.296,19.296,14340,14340,-0.028001,-0.028001,4215.1,4215.1,-19.161,-19.161,1914.4,1914.4,3.3398,3.3398,3901.1,3901.1
-0.0073243,-0.0073243,5896,5896,15.199,15.199,11928,11928,-0.010876,-0.010876,4727.4,4727.4,-15.147,-15.147,2843.5,2843.5,2.6887,2.6887,3023.4,3023.4
0.038525,0.038525,6032.1,6032.1,13.004,13.004,10481,10481,0.061024,0.061024,4961.4,4961.4,-13.136,-13.136,3552.9,3552.9,2.3446,2.3446,2402.9,2402.9
0.033694,0.033694,6117.5,6117.5,11.684,11.684,9527.8,9527.8,0.053858,0.053858,5353,5353,-11.781,-11.781,4046.4,4046.4,2.1216,2.1216,1958.7,1958.7
0.026144,0.026144,6172.8,6172.8,10.79,10.79,8861.7,8861.7,0.042989,0.042989,5772,5772,-10.859,-10.859,4368.5,4368.5,1.9733,1.9733,1631.8,1631.8
0.01486,0.01486,6208.7,6208.7,10.139,10.139,8377.2,8377.2,0.020224,0.020224,6030.5,6030.5,-10.197,-10.197,4567.9,4567.9,1.8686,1.8686,1382.7,1382.7
0.0068436,0.0068436,6231.8,6231.8,9.678,9.678,8013.1,8013.1,0.007074,0.007074,6185.7,6185.7,-9.7056,-9.7056,4686.8,4686.8,1.8017,1.8017,1185.8,1185.8
0.00063181,0.00063181,6246.2,6246.2,9.3232,9.3232,7732.2,7732.2,0.0038506,0.0038506,6275.9,6275.9,-9.3302,-9.3302,4799.8,4799.8,1.756,1.756,1025.5,1025.5
-0.040855,-0.040855,6254.8,6254.8,9.0871,9.0871,7510.1,7510.1,-0.049274,-0.049274,6325.5,6325.5,-8.9831,-8.9831,4908.8,4908.8,1.7298,1.7298,891.55,891.55
-0.039702,-0.039702,6259.5,6259.5,8.8497,8.8497,7331.1,7331.1,-0.048807,-0.048807,6350,6350,-8.7612,-8.7612,5027,5027,1.7083,1.7083,777.71,777.71
-0.035061,-0.035061,6261.7,6261.7,8.6552,8.6552,7184.1,7184.1,-0.04044,-0.04044,6359.1,6359.1,-8.5816,-8.5816,5146.8,5146.8,1.6946,1.6946,679.74,679.74
-0.030483,-0.030483,6262.2,6262.2,8.4944,8.4944,7061.6,7061.6,-0.036183,-0.036183,6359,6359,-8.4325,-8.4325,5263.4,5263.4,1.6866,1.6866,594.74,594.74
-0.026484,-0.026484,6261.8,6261.8,8.3597,8.3597,6958.3,6958.3,-0.030939,-0.030939,6353.6,6353.6,-8.307,-8.307,5373.7,5373.7,1.6823,1.6823,520.63,520.63
-0.023055,-0.023055,6260.8,6260.8,8.2456,8.2456,6870.4,6870.4,-0.026102,-0.026102,6345.4,6345.4,-8.2004,-8.2004,5475.9,5475.9,1.6807,1.6807,455.81,455.81
-0.020111,-0.020111,6259.4,6259.4,8.148,8.148,6794.9,6794.9,-0.022224,-0.022224,6336.1,6336.1,-8.1091,-8.1091,5569.3,5569.3,1.6807,1.6807,399.01,399.01
-0.017572,-0.017572,6258,6258,8.064,8.064,6729.7,6729.7,-0.019106,-0.019106,6326.4,6326.4,-8.0303,-8.0303,5653.8,5653.8,1.6817,1.6817,349.2,349.2
-0.01537,-0.01537,6256.6,6256.6,7.9914,7.9914,6673.1,6673.1,-0.016501,-0.016501,6317,6317,-7.962,-7.962,5729.4,5729.4,1.6833,1.6833,305.51,305.51
-0.013452,-0.013452,6255.2,6255.2,7.9282,7.9282,6624,6624,-0.013851,-0.013851,6308.1,6308.1,-7.9027,-7.9027,5796.9,5796.9,1.6851,1.6851,267.2,267.2
-0.011777,-0.011777,6253.9,6253.9,7.8733,7.8733,6581.1,6581.1,-0.011483,-0.011483,6300.1,6300.1,-7.8509,-7.8509,5856.6,5856.6,1.6871,1.6871,233.6,233.6
-0.010312,-0.010312,6252.8,6252.8,7.8253,7.8253,6543.6,6543.6,-0.010009,-0.010009,6292.7,6292.7,-7.8058,-7.8058,5905.6,5905.6,1.6891,1.6891,204.16,204.16
