"avg(E)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","avg(radHeatFlux1 (0))","avg(radHeatFlux1 (1))","avg(radHeatFlux1 (2))","avg(radHeatFlux1 (Magnitude))","avg(radHeatFlux2 (0))","avg(radHeatFlux2 (1))","avg(radHeatFlux2 (2))","avg(radHeatFlux2 (Magnitude))","avg(radHeatFlux3 (0))","avg(radHeatFlux3 (1))","avg(radHeatFlux3 (2))","avg(radHeatFlux3 (Magnitude))","max(E)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","max(radHeatFlux1 (0))","max(radHeatFlux1 (1))","max(radHeatFlux1 (2))","max(radHeatFlux1 (Magnitude))","max(radHeatFlux2 (0))","max(radHeatFlux2 (1))","max(radHeatFlux2 (2))","max(radHeatFlux2 (Magnitude))","max(radHeatFlux3 (0))","max(radHeatFlux3 (1))","max(radHeatFlux3 (2))","max(radHeatFlux3 (Magnitude))","med(E)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","med(radHeatFlux1 (0))","med(radHeatFlux1 (1))","med(radHeatFlux1 (2))","med(radHeatFlux1 (Magnitude))","med(radHeatFlux2 (0))","med(radHeatFlux2 (1))","med(radHeatFlux2 (2))","med(radHeatFlux2 (Magnitude))","med(radHeatFlux3 (0))","med(radHeatFlux3 (1))","med(radHeatFlux3 (2))","med(radHeatFlux3 (Magnitude))","min(E)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","min(radHeatFlux1 (0))","min(radHeatFlux1 (1))","min(radHeatFlux1 (2))","min(radHeatFlux1 (Magnitude))","min(radHeatFlux2 (0))","min(radHeatFlux2 (1))","min(radHeatFlux2 (2))","min(radHeatFlux2 (Magnitude))","min(radHeatFlux3 (0))","min(radHeatFlux3 (1))","min(radHeatFlux3 (2))","min(radHeatFlux3 (Magnitude))"
1.9407e+06,-0.0013215,-0.0013215,28766,28766,-0.0013215,-0.0013215,28766,28766,-5.079e-13,5.4105e-11,-2.3182e-13,3.9342e-10,0.0013215,0.0013215,-28766,28766,2.1678e+06,0.27615,0.27615,37425,37425,0.27615,0.27615,37425,37425,2.4415e-10,3.8868e-10,8.6544e-10,9.7488e-10,0.2898,0.2898,-24861,37425,1.9295e+06,-0.00040158,-0.00040158,27384,27384,-0.00040158,-0.00040158,27384,27384,0,0,0,3.1908e-10,0.00040158,0.00040158,-27384,27384,1.758e+06,-0.2898,-0.2898,24861,24861,-0.2898,-0.2898,24861,24861,-3.8868e-10,-2.0091e-10,-9.58e-10,0,-0.27615,-0.27615,-37425,24861
2.0921e+06,-0.005092,-0.005092,29106,29106,-0.005092,-0.005092,29106,29106,-6.3277e-13,5.5261e-11,-2.4737e-13,4.023e-10,0.005092,0.005092,-29106,29106,2.5308e+06,0.37258,0.37258,36383,36383,0.37258,0.37258,36383,36383,2.4824e-10,3.978e-10,8.8435e-10,9.9712e-10,0.36663,0.36663,-25615,36383,2.0688e+06,-0.003228,-0.003228,28010,28010,-0.003228,-0.003228,28010,28010,0,0,0,3.267e-10,0.003228,0.003228,-28010,28010,1.7407e+06,-0.36663,-0.36663,25615,25615,-0.36663,-0.36663,25615,25615,-3.978e-10,-2.0559e-10,-9.7985e-10,0,-0.37258,-0.37258,-36383,25615
2.2304e+06,-0.0037283,-0.0037283,29400,29400,-0.0037283,-0.0037283,29400,29400,-7.5226e-13,5.6309e-11,-2.6491e-13,4.1045e-10,0.0037283,0.0037283,-29400,29400,2.8497e+06,0.43714,0.43714,35438,35438,0.43714,0.43714,35438,35438,2.5193e-10,4.0608e-10,9.0195e-10,1.0177e-09,0.42988,0.42988,-26292,35438,2.1969e+06,-0.0026794,-0.0026794,28552,28552,-0.0026794,-0.0026794,28552,28552,0,0,0,3.3386e-10,0.0026794,0.0026794,-28552,28552,1.7333e+06,-0.42988,-0.42988,26292,26292,-0.42988,-0.42988,26292,26292,-4.0608e-10,-2.0991e-10,-1.0001e-09,0,-0.43714,-0.43714,-35438,26292
2.3533e+06,-0.0024532,-0.0024532,29644,29644,-0.0024532,-0.0024532,29644,29644,-8.6469e-13,5.7234e-11,-2.8346e-13,4.1774e-10,0.0024532,0.0024532,-29644,29644,3.1179e+06,0.47743,0.47743,34605,34605,0.47743,0.47743,34605,34605,2.5517e-10,4.134e-10,9.1791e-10,1.0364e-09,0.46921,0.46921,-26884,34605,2.313e+06,-0.0020174,-0.0020174,29004,29004,-0.0020174,-0.0020174,29004,29004,0,0,0,3.4027e-10,0.0020174,0.0020174,-29004,29004,1.7334e+06,-0.46921,-0.46921,26884,26884,-0.46921,-0.46921,26884,26884,-4.134e-10,-2.1381e-10,-1.0184e-09,0,-0.47743,-0.47743,-34605,26884
2.4603e+06,0.00035672,0.00035672,29840,29840,0.00035672,0.00035672,29840,29840,-9.6888e-13,5.8031e-11,-3.0271e-13,4.2414e-10,-0.00035672,-0.00035672,-29840,29840,3.3358e+06,0.49451,0.49451,33886,33886,0.49451,0.49451,33886,33886,2.5794e-10,4.1975e-10,9.3212e-10,1.0529e-09,0.48605,0.48605,-27407,33886,2.4168e+06,0.00098923,0.00098923,29369,29369,0.00098923,0.00098923,29369,29369,0,0,0,3.4589e-10,-0.00098923,-0.00098923,-29369,29369,1.7389e+06,-0.48605,-0.48605,27407,27407,-0.48605,-0.48605,27407,27407,-4.1975e-10,-2.1727e-10,-1.0347e-09,0,-0.49451,-0.49451,-33886,27407
2.552e+06,0.00232,0.00232,29993,29993,0.00232,0.00232,29993,29993,-1.0639e-12,5.8709e-11,-3.219e-13,4.2966e-10,-0.00232,-0.00232,-29993,29993,3.5085e+06,0.50757,0.50757,33275,33275,0.50757,0.50757,33275,33275,2.6027e-10,4.2516e-10,9.4458e-10,1.0674e-09,0.48585,0.48585,-27864,33275,2.5084e+06,0.0021338,0.0021338,29655,29655,0.0021338,0.0021338,29655,29655,0,0,0,3.5075e-10,-0.0021338,-0.0021338,-29655,29655,1.7481e+06,-0.48585,-0.48585,27864,27864,-0.48585,-0.48585,27864,27864,-4.2516e-10,-2.2029e-10,-1.0489e-09,0,-0.50757,-0.50757,-33275,27864
2.6296e+06,0.01052,0.010817,30109,30109,0.01052,0.010817,30109,30109,-1.1494e-12,5.9277e-11,-3.4063e-13,4.3437e-10,-0.01052,-0.010817,-30109,30109,3.643e+06,0.55742,0.47348,32763,32763,0.55742,0.47348,32763,32763,2.6221e-10,4.2973e-10,9.5538e-10,1.0799e-09,0.44639,0.4427,-28259,32763,2.5883e+06,0.011572,0.011459,29874,29874,0.011572,0.011459,29874,29874,0,0,0,3.549e-10,-0.011572,-0.011459,-29874,29874,1.7598e+06,-0.44639,-0.4427,28259,28259,-0.44639,-0.4427,28259,28259,-4.2973e-10,-2.2289e-10,-1.0612e-09,0,-0.55742,-0.47348,-32763,28259
2.6948e+06,0.0086612,0.0088877,30196,30196,0.0086612,0.0088877,30196,30196,-1.2255e-12,5.9749e-11,-3.585e-13,4.3836e-10,-0.0086612,-0.0088877,-30196,30196,3.7466e+06,0.53803,0.47416,32337,32337,0.53803,0.47416,32337,32337,2.6381e-10,4.3354e-10,9.6466e-10,1.0906e-09,0.45249,0.44968,-28597,32337,2.6572e+06,0.0098107,0.010331,30038,30038,0.0098107,0.010331,30038,30038,0,0,0,3.5842e-10,-0.0098107,-0.010331,-30038,30038,1.7729e+06,-0.45249,-0.44968,28597,28597,-0.45249,-0.44968,28597,28597,-4.3354e-10,-2.2512e-10,-1.0717e-09,0,-0.53803,-0.47416,-32337,28597
2.7493e+06,-0.010411,-0.010691,30259,30259,-0.010411,-0.010691,30259,30259,-1.2923e-12,6.014e-11,-3.7505e-13,4.4172e-10,0.010411,0.010691,-30259,30259,3.8259e+06,0.43188,0.51061,31985,31985,0.43188,0.51061,31985,31985,2.6512e-10,4.367e-10,9.7258e-10,1.0998e-09,0.48714,0.4906,-28884,31985,2.7161e+06,-0.012317,-0.011795,30158,30158,-0.012317,-0.011795,30158,30158,0,0,0,3.6139e-10,0.012317,0.011795,-30158,30158,1.7867e+06,-0.48714,-0.4906,28884,28884,-0.48714,-0.4906,28884,28884,-4.367e-10,-2.2702e-10,-1.0807e-09,0,-0.43188,-0.51061,-31985,28884
2.7946e+06,0.00010382,-0.00016895,30304,30304,0.00010382,-0.00016895,30304,30304,-1.3505e-12,6.0462e-11,-3.902e-13,4.4453e-10,-0.00010382,0.00016895,-30304,30304,3.8864e+06,0.42618,0.50302,31696,31696,0.42618,0.50302,31696,31696,2.6619e-10,4.3931e-10,9.7931e-10,1.1075e-09,0.48646,0.48984,-29128,31696,2.766e+06,0.00061383,0.00037017,30244,30244,0.00061383,0.00037017,30244,30244,0,0,0,3.6387e-10,-0.00061383,-0.00037017,-30244,30244,1.8005e+06,-0.48646,-0.48984,29128,29128,-0.48646,-0.48984,29128,29128,-4.3931e-10,-2.2862e-10,-1.0883e-09,0,-0.42618,-0.50302,-31696,29128
