"Time","avg(qr)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(qr)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(qr)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(qr)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(qr)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(qr)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(qr)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
50,0,-0.00072854,-0.00072854,1260.7,1260.8,0,130.76,130.76,7242.6,7243.9,0,-0.00026073,-0.00026073,251.56,251.56,0,-130.76,-130.76,1.3651,1.3651,0,-0.0035127,-0.0035127,16.951,16.951,0,0.00099962,0.00099962,1777.9,1777.9,0,22.159,22.159,1963.3,1963.5
100,0,-0.010658,-0.010658,1305.8,1305.8,0,89.482,89.482,5276.3,5277.2,0,-0.01255,-0.01255,619.17,619.17,0,-89.337,-89.337,29.198,29.199,0,-0.063808,-0.063808,117.18,117.18,0,0.016688,0.016688,1970.3,1970.3,0,15.238,15.238,1535.2,1535.3
150,0,-0.014862,-0.014862,1326.1,1326.2,0,72.439,72.439,4347,4347.7,0,-0.022098,-0.022098,894.43,894.43,0,-72.343,-72.343,106.78,106.78,0,-0.077872,-0.077872,275.18,275.18,0,0.024733,0.024733,1992,1992.2,0,12.337,12.337,1275.9,1275.9
200,0,-0.011419,-0.011419,1338.3,1338.3,0,62.484,62.484,3781,3781.6,0,-0.020076,-0.020076,967.73,967.73,0,-62.418,-62.418,226.14,226.14,0,-0.071721,-0.071721,412.59,412.59,0,0.028854,0.028854,2026.9,2026.9,0,10.639,10.639,1088,1088
250,0,-0.0088358,-0.0088358,1346.6,1346.7,0,55.765,55.765,3391,3391.5,0,-0.016768,-0.016768,1052.5,1052.5,0,-55.717,-55.717,355.55,355.55,0,-0.060788,-0.060788,550.57,550.57,0,0.029202,0.029202,2055.3,2055.3,0,9.4925,9.4925,941.96,942.01
300,0,-0.0071295,-0.0071295,1352.8,1352.8,0,50.852,50.852,3102.2,3102.7,0,-0.015229,-0.015229,1041.2,1041.2,0,-50.815,-50.815,475.11,475.11,0,-0.054769,-0.054769,639.98,639.98,0,0.02883,0.02883,2037.1,2037.1,0,8.6547,8.6547,825.28,825.32
350,0,-0.0059323,-0.0059323,1357.5,1357.5,0,47.077,47.077,2878.7,2879.1,0,-0.011123,-0.011123,1097.5,1097.5,0,-47.047,-47.047,582.81,582.81,0,-0.045708,-0.045708,731.24,731.24,0,0.027375,0.027375,2000.9,2000.9,0,8.012,8.012,730.74,730.78
400,0,-0.0050355,-0.0050355,1361.2,1361.2,0,44.081,44.081,2700.4,2700.8,0,-0.0096466,-0.0096466,1098.6,1098.6,0,-44.057,-44.057,668.86,668.86,0,-0.041579,-0.041579,787.61,787.61,0,0.024799,0.024799,1959,1959,0,7.5037,7.5037,653.4,653.43
450,0,-0.0043308,-0.0043308,1364.2,1364.2,0,41.65,41.65,2555.2,2555.6,0,-0.0083595,-0.0083595,1125.5,1125.6,0,-41.63,-41.63,741.34,741.34,0,-0.038144,-0.038144,845.94,845.94,0,0.022309,0.022309,1916.8,1916.8,0,7.094,7.094,589.52,589.55
500,0,-0.0037618,-0.0037618,1366.6,1366.6,0,39.645,39.645,2435.1,2435.4,0,-0.0076124,-0.0076124,1145.8,1145.8,0,-39.628,-39.628,797.61,797.61,0,-0.036214,-0.036214,875.92,875.92,0,0.020916,0.020916,1876.5,1876.5,0,6.7594,6.7594,536.19,536.21
550,0,-0.003291,-0.003291,1368.5,1368.6,0,37.969,37.969,2334.5,2334.9,0,-0.0057067,-0.0057067,1205.5,1205.5,0,-37.955,-37.955,839.97,839.97,0,-0.032135,-0.032135,894.48,894.48,0,0.019158,0.019158,1838.9,1838.9,0,6.4842,6.4842,491.12,491.14
600,0,-0.0028997,-0.0028997,1370.1,1370.2,0,36.554,36.554,2249.4,2249.8,0,-0.0045164,-0.0045164,1252.2,1252.2,0,-36.542,-36.542,872.82,872.82,0,-0.029089,-0.029089,933.74,933.74,0,0.017007,0.017007,1804.4,1804.4,0,6.2566,6.2566,452.53,452.55
650,0,-0.002566,-0.002566,1371.4,1371.4,0,35.348,35.348,2176.8,2177.1,0,-0.0034958,-0.0034958,1288.4,1288.4,0,-35.338,-35.338,894.19,894.19,0,-0.027111,-0.027111,966.12,966.12,0,0.016128,0.016128,1772.8,1772.8,0,6.0678,6.0678,419.04,419.06
700,0,-0.0022837,-0.0022837,1372.4,1372.5,0,34.312,34.312,2114.2,2114.5,0,-0.0033477,-0.0033477,1316.5,1316.5,0,-34.303,-34.303,899.35,899.35,0,-0.024418,-0.024418,985.4,985.4,0,0.015289,0.015289,1743.9,1743.9,0,5.9111,5.9111,389.6,389.62
750,0,-0.0020416,-0.0020416,1373.3,1373.3,0,33.413,33.413,2059.9,2060.2,0,-0.0029659,-0.0029659,1338.1,1338.1,0,-33.405,-33.405,906.4,906.41,0,-0.022163,-0.022163,1009.4,1009.5,0,0.014791,0.014791,1717.5,1717.5,0,5.7811,5.7811,363.38,363.4
800,0,-0.0018333,-0.0018333,1373.9,1373.9,0,32.629,32.629,2012.5,2012.8,0,-0.0026994,-0.0026994,1354.6,1354.6,0,-32.622,-32.622,916.35,916.35,0,-0.020392,-0.020392,1027.5,1027.5,0,0.013755,0.013755,1693.4,1693.4,0,5.6733,5.6733,339.77,339.79
850,0,-0.0016531,-0.0016531,1374.4,1374.4,0,31.939,31.939,1970.7,1971,0,-0.0024811,-0.0024811,1367.1,1367.1,0,-31.933,-31.933,928.53,928.53,0,-0.018784,-0.018784,1049,1049,0,0.013556,0.013556,1671.2,1671.2,0,5.5842,5.5842,318.3,318.32
900,0,-0.0014983,-0.0014983,1374.8,1374.8,0,31.329,31.329,1933.7,1934,0,-0.0025199,-0.0025199,1376.5,1376.5,0,-31.324,-31.324,942.37,942.38,0,-0.017735,-0.017735,1072.9,1072.9,0,0.012607,0.012607,1650.9,1650.9,0,5.5108,5.5108,298.62,298.63
950,0,-0.0013599,-0.0013599,1375.1,1375.1,0,30.786,30.786,1900.7,1901,0,-0.0019794,-0.0019794,1383.3,1383.3,0,-30.781,-30.781,957.41,957.42,0,-0.0168,-0.0168,1094.5,1094.5,0,0.012151,0.012151,1632.1,1632.1,0,5.4507,5.4507,280.45,280.47
1000,0,-0.0012422,-0.0012422,1375.3,1375.3,0,30.299,30.299,1871.2,1871.4,0,-0.0018187,-0.0018187,1388.2,1388.2,0,-30.295,-30.295,973.25,973.25,0,-0.015696,-0.015696,1114.1,1114.1,0,0.011455,0.011455,1614.8,1614.8,0,5.4016,5.4016,263.6,263.61
1050,0,-0.0011382,-0.0011382,1375.5,1375.5,0,29.861,29.861,1844.5,1844.8,0,-0.0014983,-0.0014983,1391.6,1391.6,0,-29.857,-29.857,989.56,989.57,0,-0.014545,-0.014545,1131.8,1131.8,0,0.010964,0.010964,1598.7,1598.7,0,5.362,5.362,247.89,247.91
1100,0,-0.0010468,-0.0010468,1375.6,1375.6,0,29.464,29.464,1820.3,1820.6,0,-0.0012729,-0.0012729,1393.7,1393.7,0,-29.46,-29.46,1006.1,1006.1,0,-0.013391,-0.013391,1147.9,1147.9,0,0.010495,0.010495,1583.8,1583.8,0,5.3301,5.3301,233.22,233.23
