"N","Time","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
180,500,10.873,3.8146,49599,49680,7412.9,7201.5,86093,86099,11.311,92.574,48124,48179,-5398.9,-5991.9,27877,27969,-1204.1,-1210.3,40806,40925,1144.6,1009.4,56292,56298,2035.5,1939.3,12055,12048,1
180,1000,10.488,3.6397,49601,49682,7423.9,7214,86165,86171,10.797,92.809,48101,48156,-5391.1,-6002.5,27933,28026,-1204.2,-1211.9,40822,40940,1142.1,1008.9,56245,56252,2035.8,1939.7,12046,12039,1
180,1500,9.838,3.3162,49604,49685,7442,7234.2,86285,86291,10.055,93.046,48106,48136,-5378.4,-6019.9,28025,28118,-1204.5,-1214.5,40855,40964,1136.6,1008,56180,56247,2036.2,1940.3,12033,12026,1
180,2000,8.9207,2.8502,49608,49689,7466.3,7261.9,86448,86453,8.8955,93.207,48016,48079,-5361.2,-6043.3,28149,28242,-1207.1,-1217.8,40899,40996,1129,1006.9,56229,56296,2036.8,1941.2,12016,12009,1
180,2500,7.8308,2.2478,49614,49695,7494.4,7294.8,86638,86644,7.4452,91.493,47971,47999,-5340.8,-6070.6,28253,28347,-1210.2,-1221.5,40952,41022,1119.6,1005.8,56287,56354,2037.4,1942.3,11998,11991,1
180,3000,6.6524,1.5931,49620,49701,7523.9,7330.8,86842,86847,5.6242,88.218,47902,47956,-5318.7,-6099.6,28118,28398,-1213.9,-1225,41083,41147,1109.3,1004.8,56350,56356,2038.1,1943.5,11981,11975,1
180,3500,5.5048,0.95864,49627,49708,7552.5,7367.1,87043,87049,3.5944,85.235,47924,47969,-5296.6,-6128.1,27983,28446,-1217.6,-1228.3,41064,41168,1098.9,1004.1,56340,56345,2038.7,1944.7,11968,11961,1
180,4000,4.5016,0.3942,49633,49714,7578.6,7401.9,87231,87237,1.7155,82.729,47883,47921,-5275.5,-6154.6,27857,28316,-1221.1,-1231.1,41072,41158,1089.2,1003.6,56330,56335,2039.2,1945.9,11957,11950,1
180,4500,3.6844,-0.049779,49638,49719,7601.5,7433.2,87397,87403,0.05982,80.786,47854,47902,-5256.4,-6177.9,27744,28201,-1224.3,-1233.4,41078,41114,1080.7,1003.2,56321,56328,2039.6,1947,11949,11943,1
180,5000,3.0599,-0.38773,49641,49722,7620.9,7460.5,87539,87545,-1.2845,79.393,47829,47949,-5239.7,-6198,27646,28100,-1227.1,-1235.2,41020,41089,1073.6,1003.6,56322,56333,2039.9,1948,11944,11938,1
