"avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
86.586,-1.1279,4903.7,5465.6,2316.4,2533.1,51136,51561,7.6907,3.4855,258.21,910.99,-2185.5,-6494.6,-3517.6,10.514,449.22,672.87,10398,10145
68.765,-3.3026,5642.6,6207.6,2179.5,2584.8,51296,51453,8.0339,4.1508,522.33,1280.9,-2654.4,-4004.5,-3414.7,12.255,439.97,582.41,10170,9861
69.042,-13.459,6040.9,6606.6,1858.3,2361.6,45429,45503,9.4677,2.7277,938.49,1890.6,-2533.9,-2590.4,-3297.2,11.662,414.43,496.83,9563.2,9202.3
64.205,-13.399,6271.1,6835.1,1624.2,2118.6,40266,40318,11.811,2.8174,1541.8,2192.5,-2318.1,-2114.5,-3168.1,50.817,400.19,451.45,8961.5,8558.2
54.18,-17.147,6418.5,6973.5,1453.4,1928.7,36360,36402,13.91,1.8445,2359.4,2508.2,-2144.6,-1904.6,-3054.3,17.129,394.46,418.28,8417,7981.6
48.626,-22.351,6519.7,7060,1328.2,1779.2,33374,33411,12.923,-0.20688,3351.9,3355.5,-1995.5,-1746.4,-3025.2,22.177,384.91,391.89,7927.6,7468.2
46.025,-25.57,6590.9,7110.6,1230.9,1658.2,31003,31036,6.7886,-2.8675,4422.3,4429,-1867.3,-1621.2,-2962.6,87.047,374.22,370.96,7481.6,7006.8
43.957,-25.921,6641.9,7129.9,1172.1,1557.8,29057,29087,6.7059,-4.8718,5514,5520.5,-1758.1,-1518.5,-2861.5,21.023,365.34,354.13,7071.5,6596.2
41.488,-24.788,6679.5,7127,1130.4,1472.7,27422,27450,5.8189,-4.8358,6414.5,6442.3,-1664.5,-1432.3,-2715.7,13.731,357.85,340.37,6691.5,6229.6
38.396,-23.607,6708.3,7110.7,1084.4,1399.5,26023,26049,4.2297,-5.0516,6669,6673.3,-1583.5,-1358.8,-2516.7,158.05,350.73,328.89,6335.5,5897.5
34.57,-23.024,6731.1,7074.5,1040.5,1335.7,24808,24833,3.0721,-1.6804,6944.4,6955.3,-1512.4,-1294.9,-2253.1,80.309,343.24,318.8,5998.1,5606.4
30.053,-23.176,6749.1,7027.1,1000.2,1279.2,23737,23761,-0.10233,0.46666,7096.7,7108.7,-1449.2,-1238.8,-1911.3,24.467,335.17,309.43,5674.6,5344
25.282,-23.999,6762.2,6974.3,963.58,1228.6,22782,22805,0.45752,-1.681,7104.3,7113,-1392.6,-1188.7,-1494.6,117.99,326.73,300.51,5360.3,5099.2
20.941,-25.267,6770.3,6907.4,930.07,1182.8,21920,21941,1.0016,6.1728,6899.6,6924.6,-1341.1,-1143.5,-1150.3,28.965,318.32,292.02,5051.8,4880.8
17.511,-26.597,6773.1,6846.5,899.14,1140.8,21133,21153,-2.8995,8.0659,6854.6,6864.4,-1294,-1102.4,-736.4,44.226,310.3,284.05,4746.8,4658.8
15.033,-27.654,6771,6794.9,870.32,1102.1,20407,20427,4.305,3.6713,6786.8,6790.5,-1250.3,-1064.4,-245.11,85.82,302.79,276.68,4445.3,4427.7
13.302,-28.336,6764.2,6774.4,843.22,1065.9,19732,19751,8.9613,-4.0263,6707.8,6711.5,-1209.5,-1029.1,165.98,169.59,295.86,269.99,4150.1,4152.7
12.125,-28.766,6753.4,6763.3,817.6,1032,19099,19118,5.4976,-6.746,6671.8,6691.5,-1171.2,-996.06,497.43,500.18,289.53,264.03,3865.2,3867.7
11.376,-29.133,6739.5,6749.3,793.35,1000.1,18504,18522,2.1323,-6.8867,6511,6531.2,-1135.1,-964.98,857.4,860.45,283.84,258.83,3595.5,3597.7
10.943,-29.565,6723.4,6733.1,770.47,970,17944,17961,1.987,-6.6799,6398.5,6416.2,-1101.1,-935.7,1233.9,1237.4,278.8,254.37,3345.5,3347.3
10.715,-30.093,6706.3,6715.9,749.03,941.71,17416,17433,5.2688,-10.519,6265.2,6290.3,-1069.1,-908.15,1613.5,1617.5,274.43,250.62,3118.4,3119.9
10.597,-30.69,6689,6698.6,729.08,915.22,16922,16939,4.4793,-14.227,6322.7,6343.4,-1039.2,-882.34,1854.2,1857.2,270.72,247.53,2916.4,2917.5
10.525,-31.312,6672.4,6682,710.69,890.57,16462,16478,8.9221,-22.555,6229.3,6235.9,-1011.4,-858.28,2033.7,2036.8,267.64,245.02,2740.1,2740.9
10.459,-31.919,6657.1,6666.6,693.87,867.8,16036,16051,7.6959,-25.455,6164,6173.6,-985.65,-836.02,2193.7,2197.1,265.14,243.02,2589.1,2589.6
10.378,-32.486,6643.3,6652.8,678.64,846.92,15645,15660,9.1073,-28.326,6107.8,6118.3,-962.09,-815.58,2335.8,2339.4,263.16,241.46,2462,2462.3
10.252,-33.013,6631.2,6640.7,664.89,828.01,15289,15304,8.412,-29.295,6194.8,6198.7,-940.74,-796.98,2461.5,2465.4,261.59,240.27,2357,2357.1
10.132,-33.468,6620.7,6630.3,652.69,810.88,14968,14982,6.0202,-29.821,6267.6,6282.2,-921.43,-780.15,2572.4,2576.4,260.4,239.38,2271.5,2271.4
