%"Time","avg(Temp)"
10,312.79
20,328.6
30,344.3
40,359.83
50,375.16
60,390.24
70,405.01
80,419.44
90,433.47
100,447.08
110,460.23
120,472.92
130,485.14
140,496.89
150,508.18
160,519.03
170,529.46
180,539.48
190,549.13
200,558.41
210,567.35
220,575.98
230,584.3
240,592.34
250,600.12
260,607.64
270,614.92
280,621.97
290,628.8
300,635.43
310,641.85
320,648.09
330,654.14
340,660.02
350,665.73
360,671.27
370,676.65
380,681.88
390,686.96
400,691.89
410,696.68
420,701.33
430,705.85
440,710.23
450,714.49
460,718.62
470,722.63
480,726.52
490,730.3
500,733.96
510,737.51
520,740.95
530,744.28
540,747.52
550,750.65
560,753.68
570,756.61
580,759.45
590,762.2
600,764.86
610,767.43
620,769.91
630,772.32
640,774.64
650,776.88
660,779.05
670,781.14
680,783.16
690,785.11
700,786.99
710,788.8
720,790.55
730,792.24
740,793.87
750,795.44
760,796.95
770,798.4
780,799.81
790,801.16
800,802.46
810,803.71
820,804.92
830,806.08
840,807.19
850,808.27
860,809.3
870,810.3
880,811.25
890,812.17
900,813.06
910,813.91
920,814.72
930,815.51
940,816.26
950,816.99
960,817.69
970,818.36
980,819
990,819.62
1000,820.21
1010,820.78
1020,821.33
1030,821.86
1040,822.36
1050,822.85
1060,823.31
1070,823.76
1080,824.19
1090,824.6
1100,825
1110,825.38
1120,825.74
1130,826.09
1140,826.42
1150,826.75
1160,827.05
1170,827.35
1180,827.64
1190,827.91
1200,828.17
1210,828.42
1220,828.66
1230,828.89
1240,829.11
1250,829.33
1260,829.53
1270,829.73
1280,829.91
1290,830.09
1300,830.27
1310,830.43
1320,830.59
1330,830.74
1340,830.89
1350,831.03
1360,831.16
1370,831.29
1380,831.41
1390,831.53
1400,831.65
1410,831.75
1420,831.86
1430,831.96
1440,832.05
1450,832.15
1460,832.23
1470,832.32
1480,832.4
1490,832.48
1500,832.55
1510,832.62
1520,832.69
1530,832.76
1540,832.82
1550,832.88
1560,832.94
1570,832.99
1580,833.05
1590,833.1
1600,833.14
1610,833.19
1620,833.24
1630,833.28
1640,833.32
1650,833.36
1660,833.4
1670,833.43
1680,833.47
1690,833.5
1700,833.53
1710,833.56
1720,833.59
1730,833.62
1740,833.65
1750,833.67
1760,833.7
1770,833.72
1780,833.75
1790,833.77
1800,833.79
1810,833.81
1820,833.83
1830,833.85
1840,833.86
1850,833.88
1860,833.9
1870,833.91
1880,833.93
1890,833.94
1900,833.96
1910,833.97
1920,833.98
1930,833.99
1940,834.01
1950,834.02
1960,834.03
1970,834.04
1980,834.05
1990,834.06
2000,834.07
2010,834.07
2020,834.08
2030,834.09
2040,834.1
2050,834.1
2060,834.11
2070,834.12
2080,834.13
2090,834.13
2100,834.14
2110,834.14
2120,834.15
2130,834.15
2140,834.16
2150,834.16
2160,834.17
2170,834.17
2180,834.18
2190,834.18
2200,834.19
2210,834.19
2220,834.19
2230,834.2
2240,834.2
2250,834.2
2260,834.21
2270,834.21
2280,834.21
2290,834.21
2300,834.22
2310,834.22
2320,834.22
2330,834.22
2340,834.23
2350,834.23
2360,834.23
2370,834.23
2380,834.23
2390,834.24
2400,834.24
2410,834.24
2420,834.24
2430,834.24
2440,834.24
2450,834.24
2460,834.25
2470,834.25
2480,834.25
2490,834.25
2500,834.25
2510,834.25
2520,834.25
2530,834.25
2540,834.25
2550,834.26
2560,834.26
2570,834.26
2580,834.26
2590,834.26
2600,834.26
2610,834.26
2620,834.26
2630,834.26
2640,834.26
2650,834.26
2660,834.26
2670,834.26
2680,834.26
2690,834.26
2700,834.27
2710,834.27
2720,834.27
2730,834.27
2740,834.27
2750,834.27
2760,834.27
2770,834.27
2780,834.27
2790,834.27
2800,834.27
2810,834.27
2820,834.27
2830,834.27
2840,834.27
2850,834.27
2860,834.27
2870,834.27
2880,834.27
2890,834.27
2900,834.27
2910,834.27
2920,834.27
2930,834.27
2940,834.27
2950,834.27
2960,834.27
2970,834.27
2980,834.27
2990,834.27
3000,834.27
3010,834.27
3020,834.27
3030,834.27
3040,834.27
3050,834.27
3060,834.27
3070,834.27
3080,834.27
3090,834.27
3100,834.27
3110,834.27
3120,834.27
3130,834.27
3140,834.27
3150,834.27
3160,834.27
3170,834.27
3180,834.27
3190,834.27
3200,834.27
3210,834.27
3220,834.27
3230,834.27
3240,834.27
3250,834.27
3260,834.27
3270,834.27
3280,834.27
3290,834.27
3300,834.27
3310,834.27
3320,834.27
3330,834.27
3340,834.27
3350,834.27
3360,834.27
3370,834.27
3380,834.27
3390,834.27
3400,834.27
3410,834.27
3420,834.27
3430,834.27
3440,834.27
3450,834.27
3460,834.27
3470,834.27
3480,834.27
3490,834.27
3500,834.27
3510,834.27
3520,834.27
3530,834.27
3540,834.27
3550,834.27
3560,834.27
3570,834.27
3580,834.27
3590,834.27
3600,834.27
3610,834.27
3620,834.27
3630,834.27
3640,834.27
3650,834.27
3660,834.27
3670,834.27
3680,834.27
3690,834.27
3700,834.27
3710,834.27
