%"N","Time","avg(X)","avg(Y)","avg(Z)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(X)","max(Y)","max(Z)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(X)","med(Y)","med(Z)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(X)","min(Y)","min(Z)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(X)","q1(Y)","q1(Z)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(X)","q3(Y)","q3(Z)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(X)","std(Y)","std(Z)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
336,10,0.0015,0.0015,0.01,-0.00026296,-0.00026296,5086,5665,0.003,0.003,0.02,0.051754,0.051754,50630,50630,0.0015,0.0015,0.01,6.4008e-07,6.4033e-07,27.565,342.17,0,0,0,-0.055325,-0.055325,-3073.8,0.68448,0.0005,0.0005,0.005,-0.001995,-0.001995,-69.543,64.065,0.0025,0.0025,0.015,0.0020933,0.0020933,1605.3,3073.8,0.0011197,0.0011197,0.0060643,0.010854,0.010854,12692,12444,1
336,20,0.0015,0.0015,0.01,-0.0001987,-0.0001987,5330.8,5914.7,0.003,0.003,0.02,0.052712,0.052712,40556,40556,0.0015,0.0015,0.01,3.885e-07,3.9038e-07,58.512,630.68,0,0,0,-0.065869,-0.065869,-2940.3,3.4383,0.0005,0.0005,0.005,-0.0027861,-0.0027861,-87.091,87.091,0.0025,0.0025,0.015,0.0026983,0.0026983,2941.4,2941.4,0.0011197,0.0011197,0.0060643,0.01263,0.01263,11459,11168,1
336,30,0.0015,0.0015,0.01,-2.225e-05,-2.2246e-05,5534,6122.7,0.003,0.003,0.02,0.080938,0.080938,34067,34067,0.0015,0.0015,0.01,-1.6689e-06,-1.6657e-06,108.9,880.3,0,0,0,-0.12864,-0.12864,-2800.8,11.688,0.0005,0.0005,0.005,-0.0051869,-0.0051869,-105.77,108.9,0.0025,0.0025,0.015,0.0049991,0.0049991,4792.5,4792.5,0.0011197,0.0011197,0.0060643,0.023454,0.023454,10638,10309,1
336,40,0.0015,0.0015,0.01,-0.00010957,-0.00010956,5682.4,6275.4,0.003,0.003,0.02,0.054738,0.054738,29792,29792,0.0015,0.0015,0.01,1.3772e-05,1.3776e-05,185.42,942.05,0,0,0,-0.06427,-0.06427,-2662.6,12.51,0.0005,0.0005,0.005,-0.0040656,-0.0040656,-125.06,185.42,0.0025,0.0025,0.015,0.0040935,0.0040935,6972.5,6972.5,0.0011197,0.0011197,0.0060643,0.016535,0.016535,10008,9645.9,1
336,50,0.0015,0.0015,0.01,-0.00012163,-0.00012162,5791.1,6387.5,0.003,0.003,0.02,0.040772,0.040772,26789,26789,0.0015,0.0015,0.01,6.4533e-06,6.443e-06,296.25,1303.4,0,0,0,-0.044407,-0.044407,-2531.1,7.0725,0.0005,0.0005,0.005,-0.0037016,-0.0037015,-144.39,288.99,0.0025,0.0025,0.015,0.0036446,0.0036446,9139.1,9139.1,0.0011197,0.0011197,0.0060643,0.012037,0.012037,9486.5,9094.5,1
336,60,0.0015,0.0015,0.01,-9.8455e-05,-9.8448e-05,5873.5,6472,0.003,0.003,0.02,0.12074,0.12074,24540,24540,0.0015,0.0015,0.01,-4.9159e-06,-4.9571e-06,450.82,1675.8,0,0,0,-0.13046,-0.13046,-2409.4,3.3233,0.0005,0.0005,0.005,-0.009345,-0.0093452,-163.18,323.3,0.0025,0.0025,0.015,0.010117,0.010117,10970,10970,0.0011197,0.0011197,0.0060643,0.034208,0.034208,9040,8620.3,1
336,70,0.0015,0.0015,0.01,-0.00013407,-0.00013407,5938.1,6538.5,0.003,0.003,0.02,0.10768,0.10768,22776,22776,0.0015,0.0015,0.01,-3.4757e-05,-3.4766e-05,659.23,1666.4,0,0,0,-0.11852,-0.11852,-2298.2,20.639,0.0005,0.0005,0.005,-0.0085839,-0.0085839,-180.65,356.38,0.0025,0.0025,0.015,0.0094399,0.0094399,12310,12310,0.0011197,0.0011197,0.0060643,0.030195,0.030195,8649.7,8204,1
336,80,0.0015,0.0015,0.01,-0.00013231,-0.00013231,5990.5,6591.3,0.003,0.003,0.02,0.11047,0.11047,21345,21345,0.0015,0.0015,0.01,1.9359e-06,1.9059e-06,931.57,1855.2,0,0,0,-0.13285,-0.13285,-2197.4,46.786,0.0005,0.0005,0.005,-0.016204,-0.016204,-196.17,448.11,0.0025,0.0025,0.015,0.016597,0.016597,13163,13163,0.0011197,0.0011197,0.0060643,0.034397,0.034397,8303.4,7833.6,1
336,90,0.0015,0.0015,0.01,-5.3415e-05,-5.3416e-05,6034,6633.5,0.003,0.003,0.02,0.094631,0.094631,20154,20154,0.0015,0.0015,0.01,1.7649e-06,1.6815e-06,1275.7,2106.1,0,0,0,-0.11382,-0.11382,-2106.1,58.56,0.0005,0.0005,0.005,-0.015293,-0.015293,-208.71,627.61,0.0025,0.0025,0.015,0.015116,0.015116,13624,13624,0.0011197,0.0011197,0.0060643,0.03112,0.03112,7992.1,7500.4,1
336,100,0.0015,0.0015,0.01,-5.3668e-05,-5.3682e-05,6070.8,6667.1,0.003,0.003,0.02,0.081159,0.081159,19143,19143,0.0015,0.0015,0.01,-5.2839e-05,-5.2674e-05,1696.2,2023.3,0,0,0,-0.10352,-0.10352,-2023.3,43.281,0.0005,0.0005,0.005,-0.013194,-0.013194,-217.32,756.55,0.0025,0.0025,0.015,0.013695,0.013695,13807,13807,0.0011197,0.0011197,0.0060643,0.02668,0.02668,7709.2,7198.2,1
336,110,0.0015,0.0015,0.01,-5.5308e-05,-5.5339e-05,6102.4,6693.1,0.003,0.003,0.02,0.069358,0.069358,18270,18270,0.0015,0.0015,0.01,7.7823e-06,8.2575e-06,2191,2191,0,0,0,-0.085936,-0.085936,-1947.8,18.844,0.0005,0.0005,0.005,-0.012334,-0.012334,-220.84,783.76,0.0025,0.0025,0.015,0.010668,0.010668,13809,13809,0.0011197,0.0011197,0.0060643,0.022837,0.022837,7449.7,6922.3,1
