%"N","Time","avg(X)","avg(Y)","avg(Z)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(X)","max(Y)","max(Z)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(X)","med(Y)","med(Z)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(X)","min(Y)","min(Z)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(X)","q1(Y)","q1(Z)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(X)","q3(Y)","q3(Z)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(X)","std(Y)","std(Z)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
336,10,0.0015,0.0015,0.01,-6.9202e-05,-6.9202e-05,5064,5647.8,0.003,0.003,0.02,0.033225,0.033225,52832,52832,0.0015,0.0015,0.01,1.5979e-06,1.5979e-06,53.043,456.67,0,0,0,-0.041709,-0.041709,-2913.6,1.5236,0.0005,0.0005,0.005,-0.0016946,-0.0016946,-98.411,98.411,0.0025,0.0025,0.015,0.0015047,0.0015047,1848.5,2913.6,0.0011197,0.0011197,0.0060643,0.0068361,0.0068361,12844,12598,1
336,20,0.0015,0.0015,0.01,0.00010778,0.00010778,5100.6,5685.3,0.003,0.003,0.02,0.048609,0.048609,51097,51097,0.0015,0.0015,0.01,-2.6726e-07,-2.6726e-07,62.841,521.92,0,0,0,-0.046262,-0.046262,-2883.8,3.2056,0.0005,0.0005,0.005,-0.0024654,-0.0024654,-103.55,103.55,0.0025,0.0025,0.015,0.002807,0.002807,2062,2883.8,0.0011197,0.0011197,0.0060643,0.0096312,0.0096312,12591,12337,1
336,30,0.0015,0.0015,0.01,0.00015129,0.00015129,5159.1,5744.7,0.003,0.003,0.02,0.069684,0.069684,48327,48327,0.0015,0.0015,0.01,1.133e-06,1.133e-06,76.493,616.5,0,0,0,-0.063578,-0.063578,-2852.9,5.8452,0.0005,0.0005,0.005,-0.003375,-0.003375,-108.72,108.72,0.0025,0.0025,0.015,0.0038049,0.0038049,2386.2,2852.9,0.0011197,0.0011197,0.0060643,0.013558,0.013558,12216,11951,1
336,40,0.0015,0.0015,0.01,0.00016192,0.00016192,5233.5,5819.9,0.003,0.003,0.02,0.082103,0.082103,44962,44962,0.0015,0.0015,0.01,3.2327e-07,3.2327e-07,94.04,739.19,0,0,0,-0.062731,-0.062731,-2821,9.4913,0.0005,0.0005,0.005,-0.0038017,-0.0038017,-113.9,113.9,0.0025,0.0025,0.015,0.0045886,0.0045886,2811.4,2821,0.0011197,0.0011197,0.0060643,0.015181,0.015181,11792,11513,1
336,50,0.0015,0.0015,0.01,0.00011506,0.00011506,5314.5,5901.6,0.003,0.003,0.02,0.081795,0.081795,41591,41591,0.0015,0.0015,0.01,-2.5013e-06,-2.5013e-06,115.18,863.45,0,0,0,-0.051959,-0.051959,-2788.1,14.096,0.0005,0.0005,0.005,-0.0041189,-0.0041189,-119.09,119.09,0.0025,0.0025,0.015,0.0042631,0.0042631,3315.9,3315.9,0.0011197,0.0011197,0.0060643,0.014446,0.014446,11392,11098,1
336,60,0.0015,0.0015,0.01,4.2747e-05,4.2747e-05,5395.1,5982.9,0.003,0.003,0.02,0.070619,0.070619,38562,38562,0.0015,0.0015,0.01,3.6372e-07,3.6372e-07,139.81,876.75,0,0,0,-0.044046,-0.044046,-2754.4,15.935,0.0005,0.0005,0.005,-0.0039514,-0.0039514,-124.28,139.81,0.0025,0.0025,0.015,0.0038086,0.0038086,3884.3,3884.3,0.0011197,0.0011197,0.0060643,0.012604,0.012604,11041,10733,1
336,70,0.0015,0.0015,0.01,0.00013168,0.00013168,5471.3,6059.7,0.003,0.003,0.02,0.19577,0.19577,35970,35970,0.0015,0.0015,0.01,1.469e-06,1.469e-06,168.01,890.27,0,0,0,-0.20204,-0.20204,-2720,14.154,0.0005,0.0005,0.005,-0.0043748,-0.0043748,-129.45,168.01,0.0025,0.0025,0.015,0.005214,0.005214,4507.3,4507.3,0.0011197,0.0011197,0.0060643,0.031607,0.031607,10738,10416,1
336,80,0.0015,0.0015,0.01,0.00013109,0.00013109,5541.2,6130,0.003,0.003,0.02,0.1444,0.1444,33782,33782,0.0015,0.0015,0.01,-6.1503e-06,-6.1503e-06,200.06,903.94,0,0,0,-0.15182,-0.15182,-2684.9,11.813,0.0005,0.0005,0.005,-0.0043869,-0.0043869,-134.59,200.06,0.0025,0.0025,0.015,0.0049564,0.0049564,5177.5,5177.5,0.0011197,0.0011197,0.0060643,0.023872,0.023872,10469,10135,1
336,90,0.0015,0.0015,0.01,0.00012762,0.00012762,5604,6193.1,0.003,0.003,0.02,0.097631,0.097631,31927,31927,0.0015,0.0015,0.01,-1.1709e-05,-1.1709e-05,236.21,917.7,0,0,0,-0.10781,-0.10781,-2649.4,8.8748,0.0005,0.0005,0.005,-0.004215,-0.004215,-139.66,236.21,0.0025,0.0025,0.015,0.0050124,0.0050124,5886.8,5886.8,0.0011197,0.0011197,0.0060643,0.018886,0.018886,10226,9879.3,1
336,100,0.0015,0.0015,0.01,0.00012404,0.00012404,5659.9,6249.2,0.003,0.003,0.02,0.081296,0.081296,30338,30338,0.0015,0.0015,0.01,-7.5711e-06,-7.5711e-06,276.78,1031,0,0,0,-0.087106,-0.087106,-2613.6,5.2809,0.0005,0.0005,0.005,-0.0045183,-0.0045183,-144.64,276.78,0.0025,0.0025,0.015,0.0039468,0.0039468,6625.2,6625.2,0.0011197,0.0011197,0.0060643,0.018168,0.018168,10002,9643.7,1
