%"Time","avg(Temp)"
10,311.83
20,325.82
30,338.92
40,350.95
50,361.97
60,372.11
70,381.55
80,390.4
90,398.76
100,406.7
110,414.29
120,421.57
130,428.57
140,435.32
150,441.86
160,448.19
170,454.33
180,460.31
190,466.13
200,471.81
210,477.36
220,482.78
230,488.08
240,493.27
250,498.36
260,503.35
270,508.25
280,513.06
290,517.79
300,522.44
310,527.01
320,531.51
330,535.95
340,540.32
350,544.62
360,548.87
370,553.06
380,557.19
390,561.27
400,565.29
410,569.27
420,573.2
430,577.08
440,580.92
450,584.71
460,588.46
470,592.17
480,595.85
490,599.48
500,603.07
510,606.63
520,610.15
530,613.63
540,617.08
550,620.5
560,623.88
570,627.24
580,630.56
590,633.84
600,637.1
610,640.33
620,643.53
630,646.69
640,649.83
650,652.94
660,656.02
670,659.08
680,662.1
690,665.1
700,668.07
710,671.01
720,673.92
730,676.81
740,679.66
750,682.49
760,685.3
770,688.07
780,690.82
790,693.53
800,696.22
810,698.89
820,701.52
830,704.12
840,706.7
850,709.24
860,711.76
870,714.24
880,716.7
890,719.13
900,721.52
910,723.89
920,726.22
930,728.52
940,730.79
950,733.03
960,735.24
970,737.41
980,739.55
990,741.66
1000,743.73
1010,745.78
1020,747.79
1030,749.76
1040,751.71
1050,753.62
1060,755.49
1070,757.33
1080,759.14
1090,760.92
1100,762.66
1110,764.37
1120,766.05
1130,767.69
1140,769.31
1150,770.89
1160,772.43
1170,773.95
1180,775.43
1190,776.89
1200,778.31
1210,779.7
1220,781.06
1230,782.4
1240,783.7
1250,784.97
1260,786.22
1270,787.44
1280,788.63
1290,789.79
1300,790.93
1310,792.04
1320,793.12
1330,794.18
1340,795.21
1350,796.22
1360,797.2
1370,798.17
1380,799.1
1390,800.02
1400,800.91
1410,801.78
1420,802.63
1430,803.46
1440,804.27
1450,805.06
1460,805.83
1470,806.58
1480,807.31
1490,808.03
1500,808.72
1510,809.4
1520,810.06
1530,810.7
1540,811.33
1550,811.94
1560,812.54
1570,813.12
1580,813.68
1590,814.23
1600,814.77
1610,815.29
1620,815.8
1630,816.3
1640,816.78
1650,817.25
1660,817.71
1670,818.16
1680,818.59
1690,819.02
1700,819.43
1710,819.83
1720,820.22
1730,820.6
1740,820.97
1750,821.34
1760,821.69
1770,822.03
1780,822.36
1790,822.69
1800,823
1810,823.31
1820,823.61
1830,823.9
1840,824.18
1850,824.46
1860,824.73
1870,824.99
1880,825.24
1890,825.49
1900,825.73
1910,825.96
1920,826.19
1930,826.41
1940,826.63
1950,826.84
1960,827.04
1970,827.24
1980,827.43
1990,827.62
2000,827.8
2010,827.98
2020,828.16
2030,828.32
2040,828.49
2050,828.65
2060,828.8
2070,828.95
2080,829.1
2090,829.24
2100,829.38
2110,829.52
2120,829.65
2130,829.78
2140,829.9
2150,830.02
2160,830.14
2170,830.25
2180,830.37
2190,830.47
2200,830.58
2210,830.68
2220,830.78
2230,830.88
2240,830.97
2250,831.06
2260,831.15
2270,831.24
2280,831.32
2290,831.41
2300,831.49
2310,831.56
2320,831.64
2330,831.71
2340,831.78
2350,831.85
2360,831.92
2370,831.99
2380,832.05
2390,832.11
2400,832.17
2410,832.23
2420,832.29
2430,832.34
2440,832.4
2450,832.45
2460,832.5
2470,832.55
2480,832.6
2490,832.65
2500,832.69
2510,832.74
2520,832.78
2530,832.82
2540,832.86
2550,832.9
2560,832.94
2570,832.98
2580,833.01
2590,833.05
2600,833.08
2610,833.12
2620,833.15
2630,833.18
2640,833.21
2650,833.24
2660,833.27
2670,833.3
2680,833.33
2690,833.35
2700,833.38
2710,833.4
2720,833.43
2730,833.45
2740,833.47
2750,833.5
2760,833.52
2770,833.54
2780,833.56
2790,833.58
2800,833.6
2810,833.62
2820,833.63
2830,833.65
2840,833.67
2850,833.69
2860,833.7
2870,833.72
2880,833.73
2890,833.75
2900,833.76
2910,833.78
2920,833.79
2930,833.8
2940,833.82
2950,833.83
2960,833.84
2970,833.85
2980,833.87
2990,833.88
3000,833.89
3010,833.9
3020,833.91
3030,833.92
3040,833.93
3050,833.94
3060,833.95
3070,833.95
3080,833.96
3090,833.97
3100,833.98
3110,833.99
3120,834
3130,834
3140,834.01
3150,834.02
3160,834.02
3170,834.03
3180,834.04
3190,834.04
3200,834.05
3210,834.06
3220,834.06
3230,834.07
3240,834.07
3250,834.08
3260,834.08
3270,834.09
3280,834.09
3290,834.1
3300,834.1
3310,834.11
3320,834.11
3330,834.11
3340,834.12
3350,834.12
3360,834.13
3370,834.13
3380,834.13
3390,834.14
3400,834.14
3410,834.14
3420,834.15
3430,834.15
3440,834.15
3450,834.16
3460,834.16
3470,834.16
3480,834.16
3490,834.17
3500,834.17
3510,834.17
3520,834.17
3530,834.18
3540,834.18
3550,834.18
3560,834.18
3570,834.18
3580,834.19
3590,834.19
3600,834.19
3610,834.19
3620,834.19
3630,834.2
3640,834.2
3650,834.2
3660,834.2
3670,834.2
3680,834.2
3690,834.2
3700,834.21
3710,834.21
3720,834.21
3730,834.21
3740,834.21
3750,834.21
3760,834.21
3770,834.21
3780,834.21
3790,834.21
3800,834.22
3810,834.22
3820,834.22
3830,834.22
3840,834.22
3850,834.22
3860,834.22
3870,834.22
3880,834.22
3890,834.22
3900,834.22
3910,834.22
3920,834.22
3930,834.22
3940,834.22
3950,834.22
3960,834.23
3970,834.23
3980,834.23
3990,834.23
4000,834.23
4010,834.23
4020,834.23
4030,834.23
4040,834.23
4050,834.23
4060,834.23
4070,834.23
4080,834.23
4090,834.23
4100,834.23
4110,834.23
4120,834.23
4130,834.23
4140,834.23
4150,834.23
4160,834.23
4170,834.23
4180,834.23
4190,834.23
4200,834.23
4210,834.23
4220,834.23
4230,834.23
4240,834.23
4250,834.23
4260,834.23
4270,834.23
4280,834.23
4290,834.23
4300,834.23
4310,834.23
4320,834.23
4330,834.23
4340,834.23
4350,834.23
4360,834.23
4370,834.23
4380,834.23
4390,834.23
4400,834.23
4410,834.23
4420,834.23
4430,834.23
4440,834.23
4450,834.23
4460,834.23
4470,834.23
4480,834.23
4490,834.23
4500,834.23
4510,834.23
4520,834.23
4530,834.23
4540,834.23
4550,834.23
4560,834.23
4570,834.23
4580,834.23
4590,834.23
4600,834.23
4610,834.23
4620,834.23
4630,834.23
4640,834.23
4650,834.23
4660,834.23
4670,834.23
4680,834.23
4690,834.23
4700,834.23
4710,834.23
4720,834.23
4730,834.23
4740,834.23
4750,834.23
4760,834.23
4770,834.23
4780,834.23
4790,834.23
4800,834.23
4810,834.23
4820,834.23
4830,834.23
4840,834.23
4850,834.23
4860,834.23
4870,834.23
4880,834.23
4890,834.23
4900,834.23
4910,834.23
4920,834.23
4930,834.23
4940,834.23
4950,834.23
4960,834.23
4970,834.23
4980,834.23
4990,834.23
5000,834.23
