%"Time","avg(Temp)"
10,308.12
20,318.14
30,328.07
40,337.86
50,347.49
60,356.92
70,366.12
80,375.07
90,383.76
100,392.19
110,400.35
120,408.25
130,415.89
140,423.29
150,430.45
160,437.39
170,444.13
180,450.67
190,457.02
200,463.2
210,469.23
220,475.1
230,480.83
240,486.42
250,491.89
260,497.24
270,502.47
280,507.6
290,512.63
300,517.57
310,522.41
320,527.16
330,531.83
340,536.42
350,540.93
360,545.37
370,549.73
380,554.03
390,558.27
400,562.43
410,566.54
420,570.59
430,574.58
440,578.51
450,582.39
460,586.21
470,589.99
480,593.71
490,597.38
500,601.01
510,604.58
520,608.11
530,611.6
540,615.04
550,618.43
560,621.78
570,625.1
580,628.36
590,631.59
600,634.78
610,637.92
620,641.03
630,644.1
640,647.13
650,650.12
660,653.07
670,655.99
680,658.87
690,661.71
700,664.52
710,667.29
720,670.03
730,672.73
740,675.39
750,678.03
760,680.62
770,683.19
780,685.72
790,688.22
800,690.68
810,693.12
820,695.52
830,697.88
840,700.22
850,702.53
860,704.8
870,707.05
880,709.26
890,711.44
900,713.59
910,715.72
920,717.81
930,719.87
940,721.91
950,723.92
960,725.89
970,727.84
980,729.76
990,731.66
1000,733.52
1010,735.36
1020,737.17
1030,738.96
1040,740.71
1050,742.44
1060,744.15
1070,745.83
1080,747.48
1090,749.11
1100,750.71
1110,752.29
1120,753.84
1130,755.37
1140,756.87
1150,758.35
1160,759.81
1170,761.24
1180,762.65
1190,764.03
1200,765.39
1210,766.73
1220,768.05
1230,769.34
1240,770.61
1250,771.86
1260,773.09
1270,774.3
1280,775.48
1290,776.65
1300,777.79
1310,778.91
1320,780.02
1330,781.1
1340,782.16
1350,783.2
1360,784.23
1370,785.23
1380,786.22
1390,787.19
1400,788.14
1410,789.07
1420,789.98
1430,790.87
1440,791.75
1450,792.61
1460,793.45
1470,794.28
1480,795.09
1490,795.88
1500,796.66
1510,797.42
1520,798.17
1530,798.9
1540,799.62
1550,800.32
1560,801.01
1570,801.68
1580,802.34
1590,802.98
1600,803.61
1610,804.23
1620,804.83
1630,805.42
1640,806
1650,806.57
1660,807.12
1670,807.66
1680,808.19
1690,808.71
1700,809.21
1710,809.71
1720,810.19
1730,810.67
1740,811.13
1750,811.58
1760,812.02
1770,812.46
1780,812.88
1790,813.29
1800,813.69
1810,814.09
1820,814.47
1830,814.85
1840,815.21
1850,815.57
1860,815.92
1870,816.27
1880,816.6
1890,816.93
1900,817.24
1910,817.56
1920,817.86
1930,818.16
1940,818.45
1950,818.73
1960,819
1970,819.27
1980,819.54
1990,819.79
2000,820.04
2010,820.29
2020,820.53
2030,820.76
2040,820.99
2050,821.21
2060,821.43
2070,821.64
2080,821.84
2090,822.04
2100,822.24
2110,822.43
2120,822.62
2130,822.8
2140,822.98
2150,823.15
2160,823.32
2170,823.48
2180,823.65
2190,823.8
2200,823.96
2210,824.1
2220,824.25
2230,824.39
2240,824.53
2250,824.66
2260,824.8
2270,824.92
2280,825.05
2290,825.17
2300,825.29
2310,825.41
2320,825.52
2330,825.63
2340,825.74
2350,825.84
2360,825.94
2370,826.04
2380,826.14
2390,826.24
2400,826.33
2410,826.42
2420,826.51
2430,826.59
2440,826.68
2450,826.76
2460,826.84
2470,826.91
2480,826.99
2490,827.06
2500,827.13
2510,827.2
2520,827.27
2530,827.34
2540,827.4
2550,827.46
2560,827.53
2570,827.59
2580,827.64
2590,827.7
2600,827.76
2610,827.81
2620,827.86
2630,827.91
2640,827.96
2650,828.01
2660,828.06
2670,828.11
2680,828.15
2690,828.19
2700,828.24
2710,828.28
2720,828.32
2730,828.36
2740,828.4
2750,828.43
2760,828.47
2770,828.51
2780,828.54
2790,828.58
2800,828.61
2810,828.64
2820,828.67
2830,828.7
2840,828.73
2850,828.76
2860,828.79
2870,828.82
2880,828.84
2890,828.87
2900,828.9
2910,828.92
2920,828.94
2930,828.97
2940,828.99
2950,829.01
2960,829.03
2970,829.06
2980,829.08
2990,829.1
3000,829.12
3010,829.14
3020,829.15
3030,829.17
3040,829.19
3050,829.21
3060,829.22
3070,829.24
3080,829.26
3090,829.27
3100,829.29
3110,829.3
3120,829.32
3130,829.33
3140,829.34
3150,829.36
3160,829.37
3170,829.38
3180,829.39
3190,829.41
3200,829.42
3210,829.43
3220,829.44
3230,829.45
3240,829.46
3250,829.47
3260,829.48
3270,829.49
3280,829.5
3290,829.51
3300,829.52
3310,829.53
3320,829.54
3330,829.55
3340,829.55
3350,829.56
3360,829.57
3370,829.58
3380,829.58
3390,829.59
3400,829.6
3410,829.6
3420,829.61
3430,829.62
3440,829.62
3450,829.63
3460,829.64
3470,829.64
3480,829.65
3490,829.65
3500,829.66
3510,829.66
3520,829.67
3530,829.67
3540,829.68
3550,829.68
3560,829.69
3570,829.69
3580,829.7
3590,829.7
3600,829.7
3610,829.71
3620,829.71
3630,829.72
3640,829.72
3650,829.72
3660,829.73
3670,829.73
3680,829.73
3690,829.74
3700,829.74
3710,829.74
3720,829.75
3730,829.75
3740,829.75
3750,829.75
3760,829.76
3770,829.76
3780,829.76
3790,829.76
3800,829.77
3810,829.77
3820,829.77
3830,829.77
3840,829.78
3850,829.78
3860,829.78
3870,829.78
3880,829.78
3890,829.79
3900,829.79
3910,829.79
3920,829.79
3930,829.79
3940,829.79
3950,829.8
3960,829.8
3970,829.8
3980,829.8
3990,829.8
4000,829.8
4010,829.81
4020,829.81
4030,829.81
4040,829.81
4050,829.81
4060,829.81
4070,829.81
4080,829.81
4090,829.82
4100,829.82
4110,829.82
4120,829.82
4130,829.82
4140,829.82
4150,829.82
4160,829.82
4170,829.82
4180,829.82
4190,829.83
4200,829.83
4210,829.83
4220,829.83
4230,829.83
4240,829.83
4250,829.83
4260,829.83
4270,829.83
4280,829.83
4290,829.83
4300,829.83
4310,829.83
4320,829.83
4330,829.83
4340,829.84
4350,829.84
4360,829.84
4370,829.84
4380,829.84
4390,829.84
4400,829.84
4410,829.84
4420,829.84
4430,829.84
4440,829.84
4450,829.84
4460,829.84
4470,829.84
4480,829.84
4490,829.84
4500,829.84
4510,829.84
4520,829.84
4530,829.84
4540,829.84
4550,829.84
4560,829.84
4570,829.85
4580,829.85
4590,829.85
4600,829.85
4610,829.85
4620,829.85
4630,829.85
4640,829.85
4650,829.85
4660,829.85
4670,829.85
4680,829.85
4690,829.85
4700,829.85
4710,829.85
4720,829.85
4730,829.85
4740,829.85
4750,829.85
4760,829.85
4770,829.85
4780,829.85
4790,829.85
4800,829.85
4810,829.85
4820,829.85
4830,829.85
4840,829.85
4850,829.85
4860,829.85
4870,829.85
4880,829.85
4890,829.85
4900,829.85
4910,829.85
4920,829.85
4930,829.85
4940,829.85
4950,829.85
4960,829.85
4970,829.85
4980,829.85
4990,829.85
5000,829.85
