%"N","Time","avg(X)","avg(Y)","avg(Z)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(X)","max(Y)","max(Z)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(X)","med(Y)","med(Z)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(X)","min(Y)","min(Z)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","q1(X)","q1(Y)","q1(Z)","q1(radHeatFlux (0))","q1(radHeatFlux (1))","q1(radHeatFlux (2))","q1(radHeatFlux (Magnitude))","q3(X)","q3(Y)","q3(Z)","q3(radHeatFlux (0))","q3(radHeatFlux (1))","q3(radHeatFlux (2))","q3(radHeatFlux (Magnitude))","std(X)","std(Y)","std(Z)","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))","vtkValidPointMask"
336,10,0.0015,0.0015,0.01,0.34991,-1.2257,5879.3,6545.8,0.003,0.003,0.02,4235.7,5245.7,46892,46960,0.0015,0.0015,0.01,0.070595,-0.23404,507.4,1425.4,0,0,0,-2730.3,-9650.3,-2611.9,8.188,0.0005,0.0005,0.005,-16.757,-17.332,-240.58,371.12,0.0025,0.0025,0.015,17.035,20.988,5838.7,5846.9,0.0011197,0.0011197,0.0060643,450.49,811.19,11659,11335,1
336,20,0.0015,0.0015,0.01,0.68586,-0.6109,5902.4,6567.1,0.003,0.003,0.02,4162,5221.9,46210,46280,0.0015,0.0015,0.01,0.37417,-0.28753,535.96,1432.8,0,0,0,-2693.6,-9579.8,-2594.2,9.753,0.0005,0.0005,0.005,-17.83,-17.63,-241.28,381.28,0.0025,0.0025,0.015,18.001,21.353,6017.1,6025.3,0.0011197,0.0011197,0.0060643,444.33,806.51,11568,11240,1
336,30,0.0015,0.0015,0.01,1.2241,0.34256,5938.3,6600.8,0.003,0.003,0.02,4045.3,5194.4,45155,45230,0.0015,0.0015,0.01,0.38801,0.25308,573.92,1439.7,0,0,0,-2645,-9485.7,-2575.8,16.865,0.0005,0.0005,0.005,-18.476,-17.15,-241.11,386.92,0.0025,0.0025,0.015,19.546,21.883,6282.8,6291.1,0.0011197,0.0011197,0.0060643,435.04,800.74,11437,11104,1
336,40,0.0015,0.0015,0.01,1.859,1.4824,5986,6645.9,0.003,0.003,0.02,3901.8,5161.1,43772,43852,0.0015,0.0015,0.01,0.26863,0.69777,621.6,1523,0,0,0,-2592,-9372.6,-2556.8,28.269,0.0005,0.0005,0.005,-19.125,-17.007,-240.01,404.26,0.0025,0.0025,0.015,19.637,21.063,6634.9,6643.4,0.0011197,0.0011197,0.0060643,423.88,794.01,11272,10932,1
336,50,0.0015,0.0015,0.01,2.4617,2.5867,6042.4,6699.3,0.003,0.003,0.02,3759.3,5114.3,42166,42250,0.0015,0.0015,0.01,0.47583,0.65939,678.26,1579,0,0,0,-2533.8,-9239.3,-2537.1,40.756,0.0005,0.0005,0.005,-19.778,-17.701,-237.96,414.98,0.0025,0.0025,0.015,20.59,23.947,7059.7,7064.2,0.0011197,0.0011197,0.0060643,412.5,785.87,11087,10739,1
336,60,0.0015,0.0015,0.01,2.9233,3.4495,6103.8,6757.4,0.003,0.003,0.02,3635.3,5047.7,40450,40539,0.0015,0.0015,0.01,1.1281,0.62373,743.03,1637.3,0,0,0,-2469.4,-9084.7,-2517,45.501,0.0005,0.0005,0.005,-19.248,-18.766,-235.1,449.8,0.0025,0.0025,0.015,21.525,24.381,7520.8,7525.5,0.0011197,0.0011197,0.0060643,401.85,775.61,10894,10537,1
336,70,0.0015,0.0015,0.01,3.1907,4.0184,6167,6817,0.003,0.003,0.02,3529.4,4958.1,38717,38808,0.0015,0.0015,0.01,1.0427,0.58121,815.02,1679,0,0,0,-2399.9,-8905.8,-2496.4,37.075,0.0005,0.0005,0.005,-19.742,-19.479,-231.43,469.83,0.0025,0.0025,0.015,23.876,25.211,8017.1,8022,0.0011197,0.0011197,0.0060643,391.93,762.62,10702,10335,1
336,80,0.0015,0.0015,0.01,3.2717,4.3741,6229.7,6875.6,0.003,0.003,0.02,3432.5,4846.9,37028,37120,0.0015,0.0015,0.01,1.5328,0.45629,893.61,1727.8,0,0,0,-2328.3,-8701.2,-2475.2,27.57,0.0005,0.0005,0.005,-19.506,-19.989,-226.94,492.69,0.0025,0.0025,0.015,23.793,24.538,8537.4,8542.2,0.0011197,0.0011197,0.0060643,382.36,746.76,10515,10138,1
336,90,0.0015,0.0015,0.01,3.2034,4.6379,6290.3,6931.8,0.003,0.003,0.02,3335.9,4719,35422,35513,0.0015,0.0015,0.01,1.8007,0.47772,978.55,1726.6,0,0,0,-2257.4,-8473.8,-2453.7,17.151,0.0005,0.0005,0.005,-20.031,-21.024,-221.78,529.55,0.0025,0.0025,0.015,24.146,26.657,9104.7,9109.6,0.0011197,0.0011197,0.0060643,372.82,728.44,10335,9948.1,1
336,100,0.0015,0.0015,0.01,3.0344,4.906,6347.7,6984.5,0.003,0.003,0.02,3236.2,4581.2,34373,34378,0.0015,0.0015,0.01,1.1218,0.80982,1069.5,1780.9,0,0,0,-2189.2,-8231,-2431.7,6.3105,0.0005,0.0005,0.005,-20.454,-20.348,-215.78,564.42,0.0025,0.0025,0.015,25.023,26.931,9680.5,9685.5,0.0011197,0.0011197,0.0060643,363.24,708.53,10161,9765.5,1
